date,open,high,low,close,adj_close,volume
2024-07-11,803.01,804.7,791.02,795.7,795.7,502251
2024-07-12,799.68,818.33,791.52,805.74,805.74,1551313
2024-07-15,807.88,811.32,792.96,796.54,796.54,492816
2024-07-16,799.68,814.85,790.97,795.25,795.25,1090356
2024-07-18,801.62,806.89,781.22,785.2,785.2,875229
2024-07-19,784.0,784.0,769.08,776.84,776.84,949241
2024-07-22,776.84,791.82,761.32,787.89,787.89,900314
2024-07-23,793.85,793.85,737.49,753.56,753.56,1625765
2024-07-24,761.12,779.63,755.95,772.02,772.02,900083
2024-07-25,766.1,791.96,759.38,777.29,777.29,1600605
2024-07-26,785.99,798.93,782.91,789.83,789.83,1956104
2024-07-29,795.84,802.91,786.69,790.87,790.87,763203
2024-07-30,777.04,784.4,774.7,776.0,776.0,5745630
2024-07-31,778.04,807.88,775.55,801.42,801.42,4904880
2024-08-01,805.64,821.81,796.84,805.45,805.45,3258960
2024-08-02,796.94,818.68,788.13,806.44,806.44,1802886
2024-08-05,787.98,788.03,764.16,770.97,770.97,1893441
2024-08-06,779.03,802.31,779.03,786.84,786.84,1963673
2024-08-07,799.92,815.3,789.38,805.25,805.25,1473418
2024-08-08,804.9,816.84,796.34,800.12,800.12,781450
2024-08-09,807.68,832.06,806.69,816.84,816.84,2041897
2024-08-12,816.84,842.81,811.51,831.86,831.86,2246162
2024-08-13,833.75,839.77,797.19,799.53,799.53,1054794
2024-08-14,805.79,830.77,793.95,826.19,826.19,1683061
2024-08-16,830.77,834.65,817.53,820.42,820.42,721549
2024-08-19,827.68,827.78,815.0,818.23,818.23,374968
2024-08-20,821.81,822.76,804.9,806.79,806.79,945890
2024-08-21,822.81,904.39,821.81,888.32,888.32,15244806
2024-08-22,880.36,882.25,857.28,862.75,862.75,6575199
2024-08-23,860.81,874.54,834.35,862.21,862.21,2321002
2024-08-26,862.55,880.76,846.54,873.65,873.65,1811960
2024-08-27,878.42,884.79,866.24,876.28,876.28,972324
2024-08-28,879.32,922.3,877.98,897.92,897.92,5961776
2024-08-29,902.05,967.67,892.15,942.1,942.1,10183222
2024-08-30,942.2,989.96,932.0,972.49,972.49,4981438
2024-09-02,980.01,989.81,963.19,969.76,969.76,2176780
2024-09-03,969.76,1008.86,946.18,997.72,997.72,3798587
2024-09-04,967.42,1083.18,954.88,1047.51,1047.51,7807837
