date,open,high,low,close,adj_close,volume
2024-07-11,326.14,326.37,320.05,320.8,320.8,
2024-07-12,320.8,323.7,318.28,321.08,321.08,
2024-07-15,323.24,323.24,318.37,321.79,321.79,
2024-07-16,320.76,324.73,319.59,320.48,320.48,
2024-07-18,320.05,322.58,315.33,319.35,319.35,
2024-07-19,317.76,319.91,309.76,310.88,310.88,
2024-07-22,308.82,317.62,308.36,316.87,316.87,
2024-07-23,317.34,318.65,300.5,312.8,312.8,
2024-07-24,309.67,317.06,309.11,315.52,315.52,
2024-07-25,309.25,320.62,309.25,317.67,317.67,
2024-07-26,318.51,323.38,316.78,322.11,322.11,
2024-07-29,318.0,323.7,316.08,320.38,320.38,
2024-07-30,322.86,334.05,321.27,327.35,327.35,
2024-07-31,325.9,328.15,320.62,325.86,325.86,
2024-08-01,328.62,339.24,327.68,337.93,337.93,
2024-08-02,335.03,337.88,331.28,335.26,335.26,
2024-08-05,330.11,332.03,319.59,320.8,320.8,
2024-08-06,320.8,328.29,317.48,318.88,318.88,
2024-08-07,323.66,329.93,321.36,329.46,329.46,
2024-08-08,332.22,332.22,319.35,320.66,320.66,
2024-08-09,325.58,326.56,322.21,323.8,323.8,
2024-08-12,320.99,321.74,317.71,319.26,319.26,
2024-08-13,315.38,320.48,313.64,315.33,315.33,
2024-08-14,315.38,316.64,311.16,312.1,312.1,
2024-08-16,314.22,320.4,311.96,319.51,319.51,
2024-08-19,323.33,323.94,320.17,321.11,321.11,
2024-08-20,321.25,323.33,319.7,321.3,321.3,
2024-08-21,320.83,321.72,317.2,317.67,317.67,
2024-08-22,317.05,318.66,311.86,315.17,315.17,
2024-08-23,315.78,317.95,314.55,317.29,317.29,
2024-08-26,317.48,322.24,316.91,319.18,319.18,
2024-08-27,319.88,322.2,316.11,316.44,316.44,
2024-08-28,316.44,319.79,314.93,315.59,315.59,
2024-08-29,313.75,316.96,310.26,314.51,314.51,
2024-08-30,316.11,321.63,315.21,318.37,318.37,
2024-09-02,319.32,320.73,315.36,316.63,316.63,
2024-09-03,317.05,318.89,315.17,315.78,315.78,
2024-09-04,312.52,315.83,312.34,314.13,314.13,
2024-09-05,313.61,315.45,311.01,312.57,312.57,
2024-09-06,314.27,314.32,306.67,311.2,311.2,
2024-09-09,309.22,310.64,305.31,310.02,310.02,
2024-09-10,308.56,316.39,308.56,315.31,315.31,
2024-09-11,317.9,318.23,313.28,314.41,314.41,
2024-09-12,315.97,319.88,314.46,319.13,319.13,
2024-09-13,320.64,322.01,317.15,318.23,318.23,
2024-09-16,318.23,322.24,318.04,319.18,319.18,
2024-09-17,317.71,320.83,315.64,317.9,317.9,
2024-09-18,319.41,319.79,314.32,315.45,315.45,
2024-09-19,317.24,319.27,314.32,316.02,316.02,
2024-09-20,319.08,323.61,315.87,321.63,321.63,
2024-09-23,322.72,323.19,321.06,321.91,321.91,
2024-09-24,325.12,331.21,323.05,330.31,330.31,
2024-09-25,333.9,345.6,332.48,343.24,343.24,
2024-09-26,343.52,345.46,337.06,344.84,344.84,
2024-09-27,341.78,342.81,333.43,334.27,334.27,
2024-09-30,334.27,337.29,329.98,332.95,332.95,
2024-10-01,331.3,335.93,330.22,331.02,331.02,
2024-10-03,323.66,330.17,323.28,324.74,324.74,
2024-10-04,323.66,327.86,318.71,319.74,319.74,
2024-10-07,320.83,320.83,306.67,310.4,310.4,
2024-10-08,308.84,312.34,304.17,308.7,308.7,
2024-10-09,308.56,313.09,307.15,311.16,311.16,
2024-10-10,311.58,319.04,311.49,315.5,315.5,
2024-10-11,315.59,316.44,310.92,311.44,311.44,
2024-10-14,311.44,312.81,309.32,312.05,312.05,
2024-10-15,314.65,314.65,309.03,311.25,311.25,
2024-10-16,313.0,313.89,306.63,308.75,308.75,
2024-10-17,309.98,313.19,306.3,312.48,312.48,
2024-10-18,312.81,315.03,309.74,313.33,313.33,
2024-10-21,314.22,314.93,310.87,312.48,312.48,
2024-10-22,314.13,316.72,302.95,304.55,304.55,
2024-10-23,301.2,303.75,296.15,299.03,299.03,
2024-10-24,297.47,302.71,297.47,301.15,301.15,
2024-10-25,303.37,303.37,295.59,297.99,297.99,
2024-10-28,296.77,302.38,293.23,300.35,300.35,
2024-10-29,298.28,303.09,296.44,302.48,302.48,
2024-10-30,300.59,307.05,298.89,300.49,300.49,
2024-10-31,302.33,304.5,299.93,302.71,302.71,
2024-11-01,304.27,304.5,301.96,303.89,303.89,
2024-11-04,306.25,306.39,294.03,297.66,297.66,
2024-11-05,294.74,299.79,294.41,298.75,298.75,
2024-11-06,299.5,302.29,296.2,300.54,300.54,
2024-11-07,301.01,301.01,294.12,295.3,295.3,
2024-11-08,294.27,299.64,291.29,298.42,298.42,
2024-11-11,295.87,313.66,295.16,311.2,311.2,
2024-11-12,312.81,313.75,303.65,304.5,304.5,
2024-11-13,304.46,306.3,299.27,300.07,300.07,
