date,open,high,low,close,adj_close,volume
2024-07-11,12849.25,13360.52,12591.92,12672.77,12672.77,48547
2024-07-12,12851.75,12981.67,12142.21,12354.27,12354.27,48038
2024-07-15,12243.14,12313.15,11700.79,12052.41,12052.41,76029
2024-07-16,12193.22,12641.89,11972.32,12047.77,12047.77,74129
2024-07-18,12242.14,12392.05,11692.09,11820.96,11820.96,61546
2024-07-19,11924.2,12137.26,11070.44,11183.17,11183.17,86571
2024-07-22,11152.84,11612.65,10973.36,11261.12,11261.12,44190
2024-07-23,11400.73,11542.49,10908.85,11389.49,11389.49,54777
2024-07-24,11446.7,12194.97,11402.78,12022.58,12022.58,74363
2024-07-25,11980.31,12292.11,11517.61,11742.76,11742.76,84682
2024-07-26,11762.45,11792.38,11333.63,11540.19,11540.19,79745
2024-07-29,11661.31,11932.29,11504.02,11890.42,11890.42,68224
2024-07-30,11974.41,12042.17,11732.97,11864.68,11864.68,44806
2024-07-31,11769.49,11927.19,11502.82,11599.65,11599.65,29788
2024-08-01,11744.16,12532.85,11700.09,12384.2,12384.2,98631
2024-08-02,12384.15,12665.57,11980.56,12031.83,12031.83,56046
2024-08-05,11634.63,11978.46,11373.7,11581.82,11581.82,59470
2024-08-06,11581.82,11972.32,10798.47,10903.95,10903.95,71665
2024-08-07,11173.78,11380.64,10823.05,10933.28,10933.28,42396
2024-08-08,10962.96,11242.78,10800.12,10993.14,10993.14,43354
2024-08-09,11332.68,11332.68,10893.01,11003.74,11003.74,30221
2024-08-12,11003.74,11604.4,10798.02,11507.41,11507.41,45199
2024-08-13,11567.97,11772.44,11242.78,11367.5,11367.5,30750
2024-08-14,11366.1,11471.62,11006.81,11117.43,11117.43,14307
2024-08-16,11146.77,11856.56,11141.77,11825.27,11825.27,35705
2024-08-19,12095.49,12421.4,11879.71,12342.62,12342.62,45784
2024-08-20,12296.43,12511.12,11946.54,12402.3,12402.3,48574
2024-08-21,12482.88,12514.57,12137.58,12410.65,12410.65,25598
2024-08-22,12392.36,12392.36,11972.53,12046.46,12046.46,39026
2024-08-23,12046.46,12238.1,11856.56,12198.66,12198.66,21634
2024-08-26,12284.44,12292.43,11946.59,12027.76,12027.76,21560
2024-08-27,12052.3,12224.4,11983.32,12172.62,12172.62,15535
2024-08-28,12122.03,12343.17,12022.31,12190.51,12190.51,27729
2024-08-29,12199.46,12254.5,11736.6,11766.59,11766.59,23371
2024-08-30,11766.59,12208.11,11636.63,12091.54,12091.54,40202
2024-09-02,12116.49,12155.17,11671.62,11876.26,11876.26,31777
2024-09-03,11870.56,11967.18,11498.32,11642.52,11642.52,20058
2024-09-04,11596.64,11792.53,11399.79,11742.29,11742.29,32033
2024-09-05,11736.6,11836.72,11578.64,11761.79,11761.79,40074
2024-09-06,11823.67,11823.67,11501.86,11620.08,11620.08,28258
2024-09-09,11514.46,11594.19,11206.75,11433.58,11433.58,44298
2024-09-10,11329.71,11994.97,11329.71,11899.55,11899.55,38556
2024-09-11,11899.6,12246.45,11799.63,12162.17,12162.17,41252
2024-09-12,12192.76,12346.42,11996.52,12304.78,12304.78,25686
2024-09-13,12697.02,12896.26,12406.4,12819.13,12819.13,39066
