date,open,high,low,close,adj_close,volume
2024-09-03,988.04,992.58,800.52,838.24,838.24,58922092
2024-09-04,814.99,870.93,801.46,840.24,840.24,11523876
2024-09-05,854.41,1008.25,850.52,1002.81,1002.81,36818046
2024-09-06,1008.0,1186.55,980.06,1093.88,1093.88,44767796
2024-09-09,1117.79,1232.56,1102.82,1206.26,1206.26,28659020
2024-09-10,1237.55,1265.44,1109.7,1171.38,1171.38,22676122
2024-09-11,1151.92,1165.64,1080.51,1095.93,1095.93,8804576
2024-09-12,1108.8,1155.41,1082.86,1130.26,1130.26,8259315
2024-09-13,1140.64,1141.74,1094.28,1109.95,1109.95,3507316
2024-09-16,1107.81,1121.78,1042.94,1107.66,1107.66,5561217
2024-09-17,1102.32,1126.47,1080.51,1111.1,1111.1,3828734
2024-09-18,1120.68,1146.33,1087.85,1132.61,1132.61,3803064
2024-09-19,1142.74,1155.06,1072.88,1096.93,1096.93,3699807
2024-09-20,1137.75,1137.75,1098.03,1107.01,1107.01,1730908
2024-09-23,1113.8,1117.79,1077.87,1088.74,1088.74,1625670
2024-09-24,1081.76,1085.7,1060.25,1074.97,1074.97,1541568
2024-09-25,1068.19,1070.88,1021.98,1034.3,1034.3,2041656
2024-09-26,1026.97,1084.2,1014.99,1047.28,1047.28,3779481
2024-09-27,1033.05,1074.87,1029.96,1049.57,1049.57,1876970
2024-09-30,1042.94,1088.84,1010.05,1080.76,1080.76,4677852
2024-10-01,1077.87,1119.78,1066.04,1107.16,1107.16,3881983
2024-10-03,1081.86,1091.49,1053.96,1078.32,1078.32,3090856
2024-10-04,1063.89,1101.72,1028.26,1045.33,1045.33,2277332
2024-10-07,1043.68,1057.11,975.77,995.23,995.23,2917540
2024-10-08,988.04,1019.98,971.08,1012.3,1012.3,2846197
2024-10-09,1028.86,1085.65,1019.33,1076.92,1076.92,4106614
2024-10-10,1082.86,1117.09,1066.89,1103.52,1103.52,2442587
2024-10-11,1099.12,1116.79,1087.9,1105.21,1105.21,1518596
2024-10-14,1117.79,1214.4,1117.79,1131.36,1131.36,8088647
2024-10-15,1140.74,1164.3,1116.09,1145.98,1145.98,2089567
2024-10-16,1132.76,1148.68,1123.48,1133.11,1133.11,1369581
2024-10-17,1142.44,1142.44,1076.67,1081.96,1081.96,1842194
2024-10-18,1073.87,1109.75,1053.02,1092.49,1092.49,1676203
2024-10-21,1097.83,1103.81,1033.05,1040.24,1040.24,1225626
2024-10-22,1046.83,1048.37,989.04,995.68,995.68,1319705
2024-10-23,998.02,1032.76,989.79,996.88,996.88,1831265
2024-10-24,1012.94,1016.49,973.12,976.42,976.42,941634
2024-10-25,983.05,990.49,923.27,943.18,943.18,2223957
2024-10-28,950.97,980.06,921.03,958.35,958.35,2051338
2024-10-29,962.94,966.09,944.03,950.87,950.87,800779
2024-10-30,948.12,1017.69,946.28,999.67,999.67,2344186
2024-10-31,998.42,1032.36,996.08,1019.18,1019.18,1803848
2024-11-01,1031.76,1087.85,1030.51,1073.82,1073.82,1301411
2024-11-04,1101.17,1117.44,1042.94,1073.52,1073.52,3707097
2024-11-05,1071.53,1182.66,1059.25,1165.84,1165.84,7614525
2024-11-06,1197.63,1242.54,1167.69,1186.75,1186.75,7807522
2024-11-07,1162.7,1174.62,1082.86,1090.94,1090.94,3856973
2024-11-08,1099.47,1140.74,1080.91,1125.72,1125.72,3522594
2024-11-11,1097.83,1097.83,999.02,1038.54,1038.54,7238299
2024-11-12,1043.73,1084.15,1022.68,1026.62,1026.62,3596126
2024-11-13,1026.97,1047.88,973.12,980.76,980.76,2890543
2024-11-14,988.04,1007.21,955.21,967.04,967.04,2200387
2024-11-18,983.05,1095.73,967.53,1082.96,1082.96,6860406
2024-11-19,1061.95,1135.65,1047.93,1091.64,1091.64,5523677
2024-11-21,1078.86,1120.78,1065.54,1083.31,1083.31,3480938
2024-11-22,1090.84,1107.71,1047.93,1059.3,1059.3,2134800
2024-11-25,1084.85,1102.67,1050.12,1093.73,1093.73,2663046
2024-11-26,1126.77,1134.75,1094.83,1098.68,1098.68,2939791
2024-11-27,1108.8,1146.73,1090.94,1108.8,1108.8,2506692
2024-11-28,1099.87,1166.49,1099.87,1135.2,1135.2,5990868
2024-11-29,1140.49,1239.55,1122.78,1220.53,1220.53,6446974
2024-12-02,1232.56,1275.47,1179.76,1241.24,1241.24,7664138
2024-12-03,1243.54,1249.23,1192.64,1212.4,1212.4,4478213
2024-12-04,1211.6,1293.44,1199.68,1282.06,1282.06,6995299
2024-12-05,1299.43,1326.37,1256.51,1270.88,1270.88,6023408
2024-12-06,1270.43,1301.52,1253.57,1261.25,1261.25,3061584
2024-12-09,1265.1,1322.38,1262.55,1289.05,1289.05,3827579
2024-12-10,1297.43,1332.21,1248.93,1278.77,1278.77,4235642
2024-12-11,1287.45,1341.84,1287.45,1326.52,1326.52,5097261
2024-12-12,1333.46,1346.23,1292.44,1304.77,1304.77,3193266
2024-12-13,1304.42,1314.15,1261.5,1292.29,1292.29,3163298
2024-12-16,1297.18,1378.27,1293.19,1370.79,1370.79,5096000
2024-12-17,1370.29,1385.26,1317.39,1321.33,1321.33,2517300
2024-12-18,1324.98,1330.67,1275.47,1287.95,1287.95,2050792
2024-12-19,1256.51,1314.75,1249.63,1292.84,1292.84,2151769
2024-12-20,1318.29,1352.37,1286.45,1293.84,1293.84,3591672
2024-12-23,1309.81,1336.35,1282.26,1319.04,1319.04,1909099
2024-12-24,1319.84,1335.86,1305.12,1317.59,1317.59,1395348
2024-12-26,1326.17,1332.36,1272.28,1283.41,1283.41,1910072
2024-12-27,1282.46,1322.18,1279.22,1307.76,1307.76,1703857
2024-12-30,1307.91,1362.1,1294.94,1331.96,1331.96,2341595
2024-12-31,1327.37,1357.36,1297.43,1350.43,1350.43,1810356
2025-01-01,1354.32,1381.27,1322.38,1329.97,1329.97,1609505
2025-01-02,1329.02,1338.95,1307.11,1325.18,1325.18,1264813
2025-01-03,1333.36,1376.28,1314.7,1322.08,1322.08,2433129
2025-01-06,1331.36,1336.35,1261.05,1272.23,1272.23,1770229
2025-01-07,1277.47,1308.41,1268.74,1302.57,1302.57,1112019
2025-01-08,1292.44,1302.32,1217.84,1253.17,1253.17,1908335
2025-01-09,1249.53,1249.53,1198.78,1209.61,1209.61,1242117
2025-01-10,1197.63,1207.41,1113.8,1124.87,1124.87,2187068
2025-01-13,1112.8,1168.64,1088.4,1093.73,1093.73,2321556
2025-01-14,1119.78,1135.05,1083.95,1113.8,1113.8,1977483
2025-01-15,1163.8,1176.67,1124.42,1144.73,1144.73,2772232
2025-01-16,1157.71,1181.16,1154.56,1168.14,1168.14,1200386
2025-01-17,1166.79,1166.79,1132.01,1138.65,1138.65,655244
2025-01-20,1145.73,1196.63,1142.79,1191.59,1191.59,1358542
2025-01-21,1190.39,1209.61,1167.69,1173.73,1173.73,1158878
2025-01-22,1177.67,1177.67,1021.08,1036.75,1036.75,3153329
2025-01-23,1027.97,1054.26,1009.0,1034.4,1034.4,3033184
2025-01-24,1039.94,1060.1,969.23,997.38,997.38,2155689
2025-01-27,969.18,989.34,923.97,930.56,930.56,2520932
2025-01-28,931.06,940.04,816.38,878.36,878.36,5966126
2025-01-29,888.49,943.88,878.61,937.34,937.34,4790205
2025-01-30,942.13,964.99,916.19,947.62,947.62,2235479
2025-01-31,995.98,1046.93,974.62,1030.01,1030.01,5257280
2025-02-01,1037.95,1115.89,1036.95,1090.79,1090.79,3756879
2025-02-03,1077.72,1079.01,1015.49,1068.29,1068.29,2453915
2025-02-04,1142.74,1167.69,995.18,1017.24,1017.24,9921270
2025-02-05,1032.86,1046.28,1012.3,1018.98,1018.98,1896868
2025-02-06,1025.97,1040.64,1013.19,1019.93,1019.93,1089124
2025-02-07,1020.78,1040.34,1010.1,1034.4,1034.4,1137893
2025-02-10,1026.52,1032.46,976.17,982.11,982.11,1145912
2025-02-11,981.66,985.25,913.19,932.8,932.8,1888494
2025-02-12,927.56,981.66,892.73,968.68,968.68,3248435
2025-02-13,974.22,1018.43,962.2,998.27,998.27,1977917
2025-02-14,1013.4,1016.45,952.69,960.38,960.38,2295939
2025-02-17,959.58,976.56,926.18,967.62,967.62,1458839
2025-02-18,975.26,985.54,946.1,978.2,978.2,1379669
2025-02-19,968.57,1010.51,957.98,998.42,998.42,1553437
2025-02-20,988.54,1016.85,978.55,984.69,984.69,870348
2025-02-21,981.25,996.53,957.58,969.42,969.42,858321
2025-02-24,952.59,962.98,934.82,939.01,939.01,753520
2025-02-25,943.6,962.03,941.16,943.75,943.75,516657
2025-02-27,951.49,952.14,906.01,922.94,922.94,744649
2025-02-28,873.71,904.66,838.91,872.01,872.01,3020606
2025-03-03,876.7,883.29,825.88,854.44,854.44,2212033
2025-03-04,843.7,880.7,836.76,856.23,856.23,831012
2025-03-05,860.03,944.6,858.08,900.02,900.02,2479725
2025-03-06,909.16,925.48,904.21,921.84,921.84,1154720
2025-03-07,919.64,958.18,917.64,939.06,939.06,1080186
2025-03-10,938.61,947.35,888.69,895.83,895.83,624450
2025-03-11,882.1,914.55,877.5,910.2,910.2,1048513
2025-03-12,914.65,918.59,889.14,893.93,893.93,413414
2025-03-13,898.67,905.66,880.6,886.84,886.84,509422
2025-03-17,889.28,917.64,882.0,886.64,886.64,1373666
2025-03-18,886.64,886.64,886.64,886.64,886.64,0
2025-03-19,895.63,936.12,894.68,929.33,929.33,1049924
2025-03-20,934.62,952.49,926.93,946.55,946.55,902891
2025-03-21,950.59,950.59,899.57,914.35,914.35,7125588
2025-03-24,927.33,933.57,910.75,919.89,919.89,1261491
2025-03-25,925.73,940.41,904.06,908.71,908.71,2023075
2025-03-26,913.65,917.29,889.68,896.87,896.87,886027
2025-03-27,894.73,959.88,882.0,947.2,947.2,2075003
2025-03-28,947.55,950.99,928.88,936.57,936.57,1075416
2025-04-01,922.64,934.27,906.66,908.66,908.66,579415
