date,open,high,low,close,adj_close,volume
2024-07-11,1796.21,1799.55,1746.31,1763.98,1763.98,
2024-07-12,1763.98,1806.69,1747.36,1761.43,1761.43,
2024-07-15,1747.31,1785.18,1697.97,1750.95,1750.95,
2024-07-16,1747.31,1850.79,1747.31,1804.14,1804.14,
2024-07-18,1801.2,1828.14,1726.36,1752.9,1752.9,
2024-07-19,1757.29,1791.22,1708.84,1783.73,1783.73,
2024-07-22,1742.37,1789.57,1730.1,1770.56,1770.56,
2024-07-23,1764.28,1831.08,1665.68,1758.54,1758.54,
2024-07-24,1761.28,1896.0,1752.05,1883.77,1883.77,
2024-07-25,1883.77,1883.77,1826.0,1846.15,1846.15,
2024-07-26,1851.04,1912.96,1816.17,1829.59,1829.59,
2024-07-29,1830.74,1900.94,1812.52,1877.24,1877.24,
2024-07-30,1876.04,1876.99,1833.13,1844.31,1844.31,
2024-07-31,1862.77,1873.0,1801.75,1812.07,1812.07,
2024-08-01,1814.02,1816.17,1744.37,1751.65,1751.65,
2024-08-02,1741.32,1741.32,1667.38,1692.18,1692.18,
2024-08-05,1647.52,1682.85,1589.0,1620.03,1620.03,
2024-08-06,1691.43,1711.14,1624.87,1632.4,1632.4,
2024-08-07,1677.46,1691.43,1629.06,1643.28,1643.28,
2024-08-08,1645.58,1694.92,1645.58,1665.48,1665.48,
2024-08-09,1694.42,1721.37,1663.09,1714.53,1714.53,
2024-08-12,1711.49,1767.27,1689.63,1762.93,1762.93,
2024-08-13,1766.27,1789.17,1722.66,1774.3,1774.3,
2024-08-14,1784.63,1854.58,1771.86,1783.73,1783.73,
2024-08-16,1801.2,1841.01,1786.73,1813.42,1813.42,
2024-08-19,1843.36,1874.54,1832.28,1837.72,1837.72,
2024-08-20,1836.12,1837.72,1757.59,1767.42,1767.42,
2024-08-21,1768.37,1771.26,1724.41,1735.89,1735.89,
2024-08-22,1754.9,1761.83,1711.39,1741.22,1741.22,
2024-08-23,1736.33,1750.85,1665.08,1674.12,1674.12,
2024-08-26,1677.86,1770.26,1651.51,1757.84,1757.84,
2024-08-27,1756.29,1768.17,1690.68,1702.71,1702.71,
2024-08-28,1714.73,1759.19,1693.43,1710.89,1710.89,
2024-08-29,1726.36,1753.75,1688.78,1721.92,1721.92,
2024-08-30,1751.3,1867.71,1735.14,1809.33,1809.33,
2024-09-02,1785.93,1841.11,1772.26,1781.84,1781.84,
2024-09-03,1781.84,1824.05,1766.37,1782.99,1782.99,
2024-09-04,1776.3,1877.04,1753.55,1864.71,1864.71,
2024-09-05,1866.06,1880.93,1761.38,1778.4,1778.4,
2024-09-06,1811.18,1826.09,1766.27,1815.17,1815.17,
2024-09-09,1791.22,1824.15,1736.38,1797.26,1797.26,
2024-09-10,1803.99,1850.09,1767.27,1832.63,1832.63,
2024-09-11,1826.14,1826.14,1766.37,1785.48,1785.48,
2024-09-12,1790.22,1915.36,1771.26,1880.93,1880.93,
2024-09-13,1856.08,1914.46,1840.12,1854.68,1854.68,
2024-09-16,1847.3,1887.62,1801.2,1831.03,1831.03,
2024-09-17,1843.81,1967.85,1797.36,1913.36,1913.36,
2024-09-18,1912.96,1912.96,1851.09,1870.45,1870.45,
2024-09-19,1880.98,1946.84,1842.11,1895.5,1895.5,
2024-09-20,1885.02,1947.64,1862.97,1874.94,1874.94,
2024-09-23,1891.72,1916.79,1862.86,1890.22,1890.22,
2024-09-24,1897.82,1926.58,1845.28,1866.9,1866.9,
2024-09-25,1847.87,1863.8,1797.93,1837.98,1837.98,
2024-09-26,1847.87,1912.8,1795.08,1823.85,1823.85,
2024-09-27,1823.85,1877.64,1779.3,1866.35,1866.35,
2024-09-30,1835.89,1867.85,1798.93,1843.13,1843.13,
2024-10-01,1830.39,1830.39,1790.49,1815.56,1815.56,
2024-10-03,1778.95,1831.79,1738.0,1753.78,1753.78,
2024-10-04,1742.04,1772.96,1685.16,1748.79,1748.79,
2024-10-07,1733.01,1748.99,1698.59,1737.55,1737.55,
2024-10-08,1703.04,1826.9,1701.44,1814.36,1814.36,
2024-10-09,1814.36,1870.85,1794.98,1856.06,1856.06,
