date,open,high,low,close,adj_close,volume
2024-07-11,241.53,244.4,239.55,242.92,242.92,
2024-07-12,243.91,246.88,242.52,243.56,243.56,
2024-07-15,243.96,245.14,238.56,243.91,243.91,
2024-07-16,243.91,245.49,240.79,241.38,241.38,
2024-07-18,242.52,243.31,239.65,240.15,240.15,
2024-07-19,240.15,242.42,236.63,237.92,237.92,
2024-07-22,240.74,244.5,236.98,240.0,240.0,
2024-07-23,240.0,242.42,229.11,233.37,233.37,
2024-07-24,235.34,238.31,233.51,235.54,235.54,
2024-07-25,228.66,230.84,225.74,227.87,227.87,
2024-07-26,230.06,236.44,226.28,235.0,235.0,
2024-07-29,237.54,240.77,233.35,234.45,234.45,
2024-07-30,234.75,238.23,233.85,236.29,236.29,
2024-07-31,236.64,237.34,233.25,234.35,234.35,
2024-08-01,235.24,236.09,229.73,230.28,230.28,
2024-08-02,226.18,229.81,223.7,226.08,226.08,
2024-08-05,221.2,222.18,210.74,213.6,213.6,
2024-08-06,217.21,219.89,209.24,211.15,211.15,
2024-08-07,216.11,216.11,210.24,213.54,213.54,
2024-08-08,214.37,216.98,211.98,214.36,214.36,
2024-08-09,217.21,218.36,214.87,216.06,216.06,
2024-08-12,217.66,217.66,212.73,215.4,215.4,
2024-08-13,215.22,215.4,212.74,213.47,213.47,
2024-08-14,213.32,214.17,204.51,204.92,204.92,
2024-08-16,208.74,208.74,204.76,206.36,206.36,
2024-08-19,208.29,211.51,206.8,207.82,207.82,
2024-08-20,209.24,218.8,208.6,217.93,217.93,
2024-08-21,219.0,228.12,218.03,227.27,227.27,
2024-08-22,229.42,234.4,228.17,229.23,229.23,
2024-08-23,229.17,229.17,222.59,223.53,223.53,
2024-08-26,226.56,228.07,222.71,227.4,227.4,
2024-08-27,228.16,231.3,226.78,230.4,230.4,
2024-08-28,231.16,231.85,224.78,226.74,226.74,
2024-08-29,226.18,227.97,222.8,225.96,225.96,
2024-08-30,228.11,230.65,226.01,226.63,226.63,
2024-09-02,227.52,228.17,223.99,226.96,226.96,
2024-09-03,227.12,227.67,224.83,225.22,225.22,
2024-09-04,219.3,223.11,215.55,216.11,216.11,
2024-09-05,217.61,217.98,214.92,215.18,215.18,
2024-09-06,215.25,216.71,210.29,211.45,211.45,
2024-09-09,210.34,211.01,206.9,209.27,209.27,
2024-09-10,210.53,214.99,210.53,212.91,212.91,
2024-09-11,213.32,214.12,208.29,208.93,208.93,
2024-09-12,211.23,213.82,209.46,212.85,212.85,
2024-09-13,213.57,215.82,212.87,213.44,213.44,
2024-09-16,214.92,216.36,213.22,214.14,214.14,
2024-09-17,215.72,216.0,212.74,215.5,215.5,
2024-09-18,215.22,217.61,209.89,210.64,210.64,
2024-09-19,213.22,214.67,206.45,208.75,208.75,
2024-09-20,210.68,213.12,209.68,212.07,212.07,
2024-09-23,212.73,214.22,210.09,213.46,213.46,
2024-09-24,214.02,214.6,209.75,210.44,210.44,
2024-09-25,210.34,211.13,205.4,207.01,207.01,
2024-09-26,208.29,208.68,202.37,207.25,207.25,
2024-09-27,208.24,210.97,206.42,206.77,206.77,
2024-09-30,207.25,207.76,202.76,203.54,203.54,
2024-10-01,203.06,204.81,202.02,202.45,202.45,
2024-10-03,201.27,203.64,197.58,198.51,198.51,
2024-10-04,198.52,202.26,196.04,196.97,196.97,
2024-10-07,199.18,206.45,189.02,189.78,189.78,
2024-10-08,189.78,196.29,188.93,195.3,195.3,
2024-10-09,196.28,198.8,194.09,195.37,195.37,
2024-10-10,196.39,201.6,194.94,199.97,199.97,
2024-10-11,200.77,204.26,199.66,203.67,203.67,
2024-10-14,204.69,208.24,203.81,205.95,205.95,
2024-10-15,205.95,208.79,203.89,207.96,207.96,
2024-10-16,206.76,210.86,205.75,209.94,209.94,
2024-10-17,209.94,211.24,200.78,201.72,201.72,
2024-10-18,201.27,207.4,198.93,204.52,204.52,
2024-10-21,192.3,194.99,174.28,175.5,175.5,
2024-10-22,177.73,177.93,165.61,166.59,166.59,
2024-10-23,166.89,170.86,162.58,165.25,165.25,
2024-10-24,166.3,168.39,164.71,165.32,165.32,
2024-10-25,165.9,166.1,157.83,161.33,161.33,
2024-10-28,162.38,169.88,160.72,165.95,165.95,
2024-10-29,166.64,173.17,165.61,172.49,172.49,
2024-10-30,170.38,176.04,170.32,174.97,174.97,
2024-10-31,174.76,178.44,167.59,169.13,169.13,
2024-11-01,169.68,176.11,169.39,175.32,175.32,
2024-11-04,174.37,175.05,166.84,171.34,171.34,
2024-11-05,170.71,171.77,165.9,170.62,170.62,
2024-11-06,172.46,173.67,168.69,172.79,172.79,
2024-11-07,173.27,175.69,169.88,170.7,170.7,
2024-11-08,170.38,170.65,164.05,164.69,164.69,
2024-11-11,164.39,165.08,159.78,161.29,161.29,
2024-11-12,161.85,164.1,158.22,159.1,159.1,
2024-11-13,157.93,159.1,151.2,151.57,151.57,
2024-11-14,151.84,154.82,150.91,154.17,154.17,
2024-11-18,154.19,158.87,152.31,157.82,157.82,
2024-11-19,157.92,161.05,154.45,155.61,155.61,
2024-11-21,155.61,158.71,152.85,155.66,155.66,
2024-11-22,156.22,157.88,155.78,156.83,156.83,
2024-11-25,159.17,162.55,156.88,157.74,157.74,
2024-11-26,158.52,159.32,155.93,157.54,157.54,
2024-11-27,157.74,158.82,156.23,157.49,157.49,
2024-11-28,157.49,160.61,156.33,156.92,156.92,
2024-11-29,157.63,158.18,151.76,154.42,154.42,
2024-12-02,148.46,156.57,146.97,155.39,155.39,
2024-12-03,155.43,163.66,155.43,162.12,162.12,
2024-12-04,163.41,173.58,163.17,172.77,172.77,
2024-12-05,172.87,176.86,171.93,173.59,173.59,
2024-12-06,174.37,176.2,170.45,174.03,174.03,
2024-12-09,173.37,179.35,169.98,170.74,170.74,
2024-12-10,171.38,178.75,168.49,177.43,177.43,
2024-12-11,178.45,179.98,176.56,178.4,178.4,
2024-12-12,177.83,178.35,171.87,173.01,173.01,
2024-12-13,172.98,173.6,168.59,172.62,172.62,
2024-12-16,174.27,175.72,170.88,171.9,171.9,
2024-12-17,171.87,172.51,165.16,166.44,166.44,
2024-12-18,165.75,171.88,164.3,165.28,165.28,
2024-12-19,162.41,165.45,161.81,163.73,163.73,
2024-12-20,164.4,164.4,150.71,152.24,152.24,
2024-12-23,152.47,155.93,152.05,154.45,154.45,
2024-12-24,154.54,163.28,154.06,162.72,162.72,
2024-12-26,163.41,168.13,160.67,161.82,161.82,
2024-12-27,163.41,163.7,156.48,159.28,159.28,
2024-12-30,160.11,161.19,155.18,156.25,156.25,
2024-12-31,155.34,158.02,154.71,157.43,157.43,
2025-01-01,157.48,158.61,155.98,157.23,157.23,
2025-01-02,157.78,159.62,153.11,158.54,158.54,
2025-01-03,158.82,163.41,157.74,162.2,162.2,
2025-01-06,163.3,169.07,161.36,166.19,166.19,
2025-01-07,166.18,168.62,163.9,165.42,165.42,
2025-01-08,165.4,165.4,159.14,161.07,161.07,
2025-01-09,162.11,163.5,156.95,157.81,157.81,
2025-01-10,158.01,158.41,152.3,153.65,153.65,
