date,open,high,low,close,adj_close,volume
2024-07-11,581.4,595.22,576.39,593.2,593.2,
2024-07-12,594.76,600.74,578.37,585.44,585.44,
2024-07-15,587.88,592.19,579.75,582.13,582.13,
2024-07-16,582.36,585.03,566.34,567.39,567.39,
2024-07-18,567.39,570.29,549.3,560.37,560.37,
2024-07-19,561.01,570.88,547.83,549.66,549.66,
2024-07-22,546.54,570.06,543.23,568.4,568.4,
2024-07-23,571.71,573.27,520.41,546.77,546.77,
2024-07-24,549.3,565.83,547.64,555.31,555.31,
2024-07-25,548.38,560.69,543.83,558.48,558.48,
2024-07-26,564.09,577.82,558.02,574.92,574.92,
2024-07-29,569.5,593.85,565.46,592.1,592.1,
2024-07-30,590.63,597.61,581.77,589.9,589.9,
2024-07-31,589.67,595.45,588.38,591.78,591.78,
2024-08-01,587.88,594.26,573.13,574.28,574.28,
2024-08-02,562.89,573.64,558.21,561.28,561.28,
2024-08-05,540.2,548.56,526.01,531.94,531.94,
2024-08-06,541.95,559.81,517.65,519.4,519.4,
2024-08-07,536.16,545.03,527.62,542.36,542.36,
2024-08-08,538.27,545.81,534.51,536.02,536.02,
2024-08-09,545.31,548.45,540.69,542.35,542.35,
2024-08-12,539.07,540.92,530.57,534.87,534.87,
2024-08-13,532.28,538.47,524.33,525.77,525.77,
2024-08-14,527.89,529.42,517.54,520.91,520.91,
2024-08-16,528.77,537.32,521.19,535.65,535.65,
2024-08-19,540.97,546.42,535.98,539.95,539.95,
2024-08-20,542.4,555.85,537.36,554.37,554.37,
2024-08-21,557.09,559.03,547.39,549.1,549.1,
2024-08-22,550.02,552.56,546.47,550.16,550.16,
2024-08-23,549.01,551.73,541.29,542.17,542.17,
2024-08-26,552.66,553.44,542.54,545.08,545.08,
2024-08-27,545.22,573.22,542.03,570.49,570.49,
2024-08-28,572.48,578.72,568.6,571.6,571.6,
2024-08-29,581.26,587.73,572.11,578.72,578.72,
2024-08-30,580.52,584.03,571.09,572.71,572.71,
2024-09-02,572.85,575.25,564.9,570.31,570.31,
2024-09-03,571.55,583.06,566.75,581.63,581.63,
2024-09-04,571.09,578.49,570.31,577.24,577.24,
2024-09-05,577.75,587.17,577.65,582.74,582.74,
2024-09-06,578.16,583.01,558.16,561.34,561.34,
