date,open,high,low,close,adj_close,volume
2024-07-11,1568.58,1585.13,1551.79,1561.82,1561.82,
2024-07-12,1565.62,1586.02,1555.74,1577.7,1577.7,
2024-07-15,1585.33,1586.72,1566.61,1578.19,1578.19,
2024-07-16,1574.51,1580.94,1550.43,1557.47,1557.47,
2024-07-18,1557.22,1574.91,1539.26,1567.77,1567.77,
2024-07-19,1567.1,1571.03,1534.3,1536.62,1536.62,
2024-07-22,1518.93,1519.18,1481.41,1482.79,1482.79,
2024-07-23,1483.11,1487.81,1445.57,1470.17,1470.17,
2024-07-24,1467.31,1491.51,1458.81,1477.88,1477.88,
2024-07-25,1463.35,1482.6,1459.47,1474.62,1474.62,
2024-07-26,1474.62,1494.4,1472.59,1491.04,1491.04,
2024-07-29,1493.93,1509.3,1493.76,1501.99,1501.99,
2024-07-30,1498.95,1506.83,1492.01,1495.12,1495.12,
2024-07-31,1486.08,1492.45,1483.26,1487.49,1487.49,
2024-08-01,1493.98,1499.91,1486.38,1497.24,1497.24,
2024-08-02,1487.07,1491.34,1475.48,1481.46,1481.46,
2024-08-05,1462.36,1466.22,1416.17,1430.08,1430.08,
2024-08-06,1437.81,1459.89,1434.03,1438.7,1438.7,
2024-08-07,1451.5,1454.95,1444.09,1447.37,1447.37,
2024-08-08,1440.16,1447.54,1428.7,1431.86,1431.86,
2024-08-09,1442.6,1458.91,1438.65,1456.73,1456.73,
2024-08-12,1452.48,1455.45,1440.38,1443.22,1443.22,
2024-08-13,1443.34,1452.56,1440.63,1446.19,1446.19,
2024-08-14,1446.11,1454.46,1436.38,1444.43,1444.43,
2024-08-16,1451.15,1462.76,1440.68,1460.59,1460.59,
2024-08-19,1469.81,1485.47,1467.82,1475.66,1475.66,
2024-08-20,1484.41,1491.05,1477.27,1483.14,1483.14,
2024-08-21,1480.46,1494.96,1477.24,1485.84,1485.84,
2024-08-22,1490.13,1493.6,1477.89,1485.3,1485.3,
2024-08-23,1490.87,1498.38,1485.6,1487.13,1487.13,
2024-08-26,1494.07,1509.96,1490.13,1499.65,1499.65,
2024-08-27,1497.57,1500.52,1486.61,1487.6,1487.6,
2024-08-28,1492.11,1494.57,1480.22,1485.47,1485.47,
2024-08-29,1490.23,1523.84,1481.21,1507.9,1507.9,
2024-08-30,1520.87,1526.54,1490.45,1496.7,1496.7,
2024-09-02,1497.94,1513.73,1493.73,1503.27,1503.27,
2024-09-03,1508.23,1509.96,1494.59,1496.2,1496.2,
2024-09-04,1487.85,1504.51,1486.66,1501.58,1501.58,
2024-09-05,1506.04,1512.71,1474.32,1480.19,1480.19,
2024-09-06,1479.72,1484.18,1449.11,1452.28,1452.28,
2024-09-09,1453.94,1457.34,1443.14,1449.93,1449.93,
2024-09-10,1448.0,1459.45,1445.1,1449.01,1449.01,
2024-09-11,1450.52,1456.17,1435.16,1439.07,1439.07,
2024-09-12,1444.53,1473.28,1433.5,1467.13,1467.13,
2024-09-13,1463.76,1470.45,1456.92,1460.02,1460.02,
2024-09-16,1464.9,1468.22,1452.21,1458.75,1458.75,
2024-09-17,1461.38,1464.82,1454.07,1459.69,1459.69,
2024-09-18,1457.41,1469.31,1448.04,1450.92,1450.92,
2024-09-19,1453.7,1463.86,1443.09,1457.09,1457.09,
2024-09-20,1461.38,1482.2,1458.78,1473.2,1473.2,
2024-09-23,1478.23,1488.64,1476.2,1480.59,1480.59,
2024-09-24,1475.76,1487.65,1475.14,1476.62,1476.62,
2024-09-25,1471.19,1483.69,1467.53,1481.16,1481.16,
2024-09-26,1477.89,1491.12,1475.31,1485.12,1485.12,
2024-09-27,1486.17,1520.35,1479.23,1513.11,1513.11,
2024-09-30,1506.39,1511.92,1461.78,1463.93,1463.93,
2024-10-01,1467.97,1475.21,1450.3,1452.28,1452.28,
2024-10-03,1424.28,1436.99,1390.07,1394.93,1394.93,
2024-10-04,1391.9,1405.21,1369.94,1374.65,1374.65,
2024-10-07,1381.57,1384.54,1349.72,1358.99,1358.99,
2024-10-08,1361.22,1389.0,1353.41,1385.39,1385.39,
2024-10-09,1385.56,1388.98,1360.75,1362.83,1362.83,
2024-10-10,1368.21,1374.13,1357.7,1359.31,1359.31,
2024-10-11,1358.27,1371.43,1357.11,1360.35,1360.35,
2024-10-14,1367.64,1368.26,1356.54,1360.77,1360.77,
2024-10-15,1346.89,1359.96,1329.22,1332.52,1332.52,
2024-10-16,1328.53,1352.32,1326.17,1342.48,1342.48,
2024-10-17,1354.01,1356.73,1340.47,1344.81,1344.81,
2024-10-18,1340.6,1356.71,1329.84,1347.66,1347.66,
2024-10-21,1355.42,1362.24,1346.1,1357.48,1357.48,
2024-10-22,1357.48,1364.22,1328.75,1331.85,1331.85,
2024-10-23,1326.05,1345.85,1323.57,1327.06,1327.06,
2024-10-24,1323.84,1332.2,1311.8,1328.33,1328.33,
2024-10-25,1332.0,1332.84,1310.68,1316.48,1316.48,
2024-10-28,1325.55,1341.42,1310.78,1322.93,1322.93,
2024-10-29,1316.73,1331.7,1309.0,1328.53,1328.53,
2024-10-30,1323.57,1338.44,1314.0,1332.39,1332.39,
2024-10-31,1328.53,1331.5,1314.8,1320.65,1320.65,
2024-11-01,1321.64,1330.46,1321.59,1327.19,1327.19,
2024-11-04,1326.4,1328.53,1274.1,1291.0,1291.0,
2024-11-05,1281.93,1298.34,1275.14,1294.12,1294.12,
2024-11-06,1298.78,1316.93,1289.07,1314.0,1314.0,
2024-11-07,1312.66,1312.66,1291.45,1294.47,1294.47,
2024-11-08,1286.54,1290.51,1264.08,1272.76,1272.76,
2024-11-11,1268.0,1274.99,1256.15,1261.8,1261.8,
2024-11-12,1264.63,1278.26,1256.65,1263.34,1263.34,
2024-11-13,1259.37,1264.53,1238.8,1241.33,1241.33,
2024-11-14,1242.87,1261.7,1240.39,1256.75,1256.75,
2024-11-18,1256.75,1262.0,1233.25,1249.96,1249.96,
2024-11-19,1249.96,1270.53,1224.57,1231.02,1231.02,
2024-11-21,1231.02,1233.3,1206.83,1212.53,1212.53,
2024-11-22,1218.87,1257.99,1211.98,1254.57,1254.57,
2024-11-25,1278.95,1293.28,1271.47,1275.98,1275.98,
2024-11-26,1283.86,1286.74,1273.2,1284.61,1284.61,
2024-11-27,1282.43,1292.69,1274.99,1282.13,1282.13,
2024-11-28,1278.91,1285.5,1258.18,1259.92,1259.92,
2024-11-29,1269.04,1288.37,1264.33,1281.14,1281.14,
2024-12-02,1276.97,1300.12,1266.12,1297.94,1297.94,
2024-12-03,1305.72,1315.44,1295.81,1311.97,1311.97,
2024-12-04,1314.65,1317.03,1292.88,1297.74,1297.74,
2024-12-05,1303.1,1318.56,1294.97,1310.73,1310.73,
2024-12-06,1312.56,1312.56,1298.78,1300.32,1300.32,
2024-12-09,1291.84,1303.74,1282.03,1284.06,1284.06,
2024-12-10,1278.21,1283.81,1269.24,1273.85,1273.85,
2024-12-11,1274.0,1278.95,1265.12,1267.26,1267.26,
2024-12-12,1259.13,1267.26,1249.81,1252.09,1252.09,
2024-12-13,1249.21,1264.28,1228.99,1261.95,1261.95,
2024-12-16,1264.08,1270.03,1255.71,1257.44,1257.44,
2024-12-17,1250.25,1253.08,1232.16,1234.64,1234.64,
2024-12-18,1230.03,1249.16,1230.03,1242.52,1242.52,
2024-12-19,1228.39,1234.24,1218.48,1219.91,1219.91,
2024-12-20,1213.52,1228.89,1191.21,1194.98,1194.98,
2024-12-23,1204.6,1216.69,1202.81,1211.83,1211.83,
2024-12-24,1211.83,1222.99,1210.55,1212.28,1212.28,
2024-12-26,1213.77,1217.19,1203.85,1206.13,1206.13,
2024-12-27,1207.87,1217.39,1206.58,1210.6,1210.6,
2024-12-30,1205.99,1212.73,1197.76,1200.33,1200.33,
2024-12-31,1197.66,1208.66,1195.82,1205.04,1205.04,
2025-01-01,1204.45,1215.8,1201.23,1210.79,1210.79,
2025-01-02,1210.79,1233.79,1209.55,1231.17,1231.17,
2025-01-03,1233.25,1251.24,1224.92,1240.44,1240.44,
2025-01-06,1243.21,1251.19,1204.6,1207.57,1207.57,
2025-01-07,1211.54,1233.84,1210.79,1230.23,1230.23,
2025-01-08,1238.31,1260.17,1234.69,1254.66,1254.66,
2025-01-09,1256.15,1258.88,1237.36,1244.01,1244.01,
2025-01-10,1243.11,1245.99,1225.42,1231.27,1231.27,
2025-01-13,1219.47,1234.59,1215.9,1229.23,1229.23,
2025-01-14,1233.45,1242.62,1216.74,1228.14,1228.14,
2025-01-15,1234.29,1246.24,1231.22,1241.48,1241.48,
2025-01-16,1248.12,1264.08,1240.59,1255.61,1255.61,
2025-01-17,1310.93,1314.65,1274.0,1291.2,1291.2,
2025-01-20,1304.73,1304.73,1289.12,1294.27,1294.27,
2025-01-21,1299.28,1301.76,1259.32,1262.79,1262.79,
2025-01-22,1267.36,1271.92,1257.84,1266.17,1266.17,
2025-01-23,1259.13,1266.41,1250.8,1252.83,1252.83,
2025-01-24,1255.16,1262.1,1232.85,1235.63,1235.63,
2025-01-27,1228.49,1229.83,1209.55,1218.82,1218.82,
2025-01-28,1227.4,1234.09,1208.07,1223.83,1223.83,
2025-01-29,1225.42,1232.11,1217.54,1224.92,1224.92,
2025-01-30,1224.97,1246.24,1221.85,1242.32,1242.32,
2025-01-31,1245.1,1256.15,1238.31,1254.27,1254.27,
2025-02-01,1254.27,1259.67,1230.37,1253.77,1253.77,
2025-02-03,1240.29,1245.25,1226.95,1235.23,1235.23,
2025-02-04,1237.36,1277.77,1235.93,1274.2,1274.2,
2025-02-05,1271.67,1279.45,1265.77,1267.26,1267.26,
