date,open,high,low,close,adj_close,volume
2024-07-11,627.23,635.97,598.63,622.34,622.34,95328327
2024-07-12,620.36,637.16,602.73,619.13,619.13,56153729
2024-07-15,629.26,639.13,614.68,618.39,618.39,29639356
2024-07-16,617.4,624.12,597.64,612.61,612.61,29931644
2024-07-18,604.56,618.39,575.57,579.02,579.02,35159677
2024-07-19,575.27,630.14,563.37,606.29,606.29,73240329
2024-07-22,607.52,623.03,591.17,616.51,616.51,34133877
2024-07-23,627.08,631.23,554.87,583.12,583.12,57366312
2024-07-24,583.96,599.62,575.91,586.53,586.53,18166209
2024-07-25,582.83,588.61,566.63,568.7,568.7,17201205
2024-07-26,569.49,576.41,543.36,545.63,545.63,21601968
2024-07-29,550.72,600.16,548.8,598.93,598.93,48942004
2024-07-30,607.23,619.18,603.57,606.98,606.98,26215668
2024-07-31,606.53,608.21,590.73,594.19,594.19,11846077
2024-08-01,597.89,599.62,583.81,588.26,588.26,9507451
2024-08-02,572.95,586.53,571.96,582.63,582.63,11185800
2024-08-05,552.99,568.01,537.73,544.1,544.1,21657722
2024-08-06,556.75,568.01,535.76,539.41,539.41,13085001
2024-08-07,558.43,562.03,539.16,558.92,558.92,13370669
2024-08-08,558.18,575.91,524.94,531.9,531.9,30489387
2024-08-09,531.46,531.46,507.75,511.85,511.85,23773689
2024-08-12,517.63,575.91,516.05,568.85,568.85,61951226
2024-08-13,574.63,594.58,558.13,562.53,562.53,42007554
2024-08-14,565.05,568.01,543.46,547.36,547.36,19122889
2024-08-16,554.28,574.83,554.28,563.71,563.71,21355519
2024-08-19,574.73,582.83,564.06,566.53,566.53,16785488
2024-08-20,568.01,568.8,553.19,554.87,554.87,9499106
2024-08-21,553.19,565.79,546.28,557.04,557.04,10316563
2024-08-22,564.06,569.74,560.11,563.81,563.81,10606181
2024-08-23,563.81,587.27,561.74,565.74,565.74,26306003
2024-08-26,570.48,578.53,568.5,570.18,570.18,11254234
2024-08-27,572.75,579.86,565.05,569.1,569.1,13076800
2024-08-28,572.75,589.25,570.33,571.17,571.17,22101243
2024-08-29,576.41,577.64,565.64,572.75,572.75,13756438
2024-08-30,576.9,607.52,573.59,600.02,600.02,121690785
2024-09-02,603.08,611.97,586.38,593.89,593.89,22525336
2024-09-03,596.66,599.03,589.74,593.2,593.2,9558037
2024-09-04,590.73,593.4,583.47,585.49,585.49,7537912
2024-09-05,588.26,589.54,573.15,574.78,574.78,7030270
2024-09-06,575.12,577.69,558.58,562.63,562.63,9015277
2024-09-09,562.63,565.29,546.62,556.06,556.06,8885002
2024-09-10,562.97,571.76,556.35,558.53,558.53,7591740
2024-09-11,560.9,560.9,548.55,549.93,549.93,4565818
2024-09-12,552.99,555.07,538.47,545.29,545.29,6327534
2024-09-13,545.78,556.06,541.24,548.55,548.55,6911510
2024-09-16,543.31,547.61,536.0,538.67,538.67,4885521
2024-09-17,534.42,536.2,523.56,524.1,524.1,6414408
2024-09-18,521.63,531.8,520.59,522.17,522.17,5345676
2024-09-19,524.05,529.14,495.11,504.0,504.0,13094055
2024-09-20,506.27,542.33,499.65,537.63,537.63,25018038
2024-09-23,539.73,539.87,524.6,529.61,529.61,4782927
2024-09-24,525.59,525.59,517.71,521.88,521.88,4043522
2024-09-25,516.67,527.87,511.71,521.78,521.78,4430623
2024-09-26,521.73,525.1,513.2,517.51,517.51,4399204
2024-09-27,519.35,526.59,518.26,521.97,521.97,4343344
2024-09-30,517.16,530.55,512.06,527.03,527.03,4486451
2024-10-01,526.09,529.06,518.65,520.34,520.34,2945750
2024-10-03,506.7,514.14,502.79,505.26,505.26,3394155
2024-10-04,502.79,506.55,479.63,489.3,489.3,6487238
2024-10-07,486.32,493.86,438.62,447.94,447.94,13067372
2024-10-08,439.47,490.74,422.9,483.0,483.0,19576332
2024-10-09,489.89,496.59,471.05,476.85,476.85,7833917
2024-10-10,478.19,481.81,471.25,476.55,476.55,3384210
2024-10-11,471.05,483.3,468.08,471.45,471.45,4345765
2024-10-14,472.04,474.92,463.37,466.59,466.59,2873914
2024-10-15,467.03,473.03,462.77,470.26,470.26,2779345
2024-10-16,469.02,483.2,466.79,475.61,475.61,4889153
2024-10-17,484.98,510.37,480.97,485.53,485.53,19634045
2024-10-18,479.78,482.46,466.19,473.33,473.33,4706252
2024-10-21,473.33,478.93,459.15,461.78,461.78,2924934
2024-10-22,456.23,459.89,436.34,438.87,438.87,4776339
2024-10-23,436.29,449.18,417.6,438.47,438.47,7676464
2024-10-24,440.71,446.16,432.03,438.28,438.28,3737733
2024-10-25,438.42,441.9,410.66,416.26,416.26,5291153
2024-10-28,415.37,432.87,404.76,428.71,428.71,6738378
2024-10-29,428.71,438.33,424.0,435.25,435.25,3962720
2024-10-30,436.34,475.07,432.42,461.48,461.48,14783053
2024-10-31,463.12,475.71,457.71,467.88,467.88,6608995
2024-11-01,467.08,472.98,464.11,467.03,467.03,1408627
2024-11-04,465.4,465.4,439.81,442.49,442.49,5262254
2024-11-05,448.29,453.2,437.68,447.15,447.15,7278500
2024-11-06,462.13,468.57,456.67,465.75,465.75,6251705
2024-11-07,471.05,482.65,469.37,473.88,473.88,8328110
2024-11-08,440.31,453.6,439.61,444.23,444.23,8178730
2024-11-11,441.3,442.29,425.63,432.92,432.92,4899446
2024-11-12,440.31,447.1,428.41,434.06,434.06,3668960
2024-11-13,428.66,448.09,414.52,416.36,416.36,5236303
2024-11-14,416.06,424.89,412.64,416.01,416.01,3814197
2024-11-18,415.17,424.29,406.1,412.74,412.74,4451811
2024-11-19,417.0,431.43,416.01,428.56,428.56,5166306
2024-11-21,424.14,428.21,416.51,418.34,418.34,3599338
2024-11-22,418.34,420.62,413.24,416.71,416.71,2708144
2024-11-25,447.8,459.05,430.39,434.46,434.46,12098123
2024-11-26,436.64,440.21,428.61,430.39,430.39,3718972
2024-11-27,431.38,443.09,427.91,435.75,435.75,5527098
2024-11-28,438.08,447.05,436.39,439.66,439.66,4500271
2024-11-29,440.66,440.85,430.39,432.23,432.23,3572568
2024-12-02,433.86,443.38,431.43,433.42,433.42,4210283
