date,open,high,low,close,adj_close,volume
2024-07-11,148.81,150.09,147.58,148.81,148.81,
2024-07-12,149.5,150.26,146.19,147.41,147.41,
2024-07-15,147.98,150.14,145.82,148.99,148.99,
2024-07-16,149.45,150.87,147.59,147.97,147.97,
2024-07-18,147.78,147.78,143.77,144.93,144.93,
2024-07-19,144.5,144.5,138.01,138.98,138.98,
2024-07-22,138.57,140.73,135.46,140.42,140.42,
2024-07-23,141.02,141.7,132.59,138.56,138.56,
2024-07-24,138.67,144.65,138.56,144.05,144.05,
2024-07-25,142.0,142.0,138.58,139.74,139.74,
2024-07-26,142.1,145.02,140.96,144.44,144.44,
2024-07-29,146.16,147.0,143.86,144.79,144.79,
2024-07-30,144.52,146.62,143.37,145.14,145.14,
2024-07-31,146.51,150.93,144.71,149.98,149.98,
2024-08-01,150.97,153.22,146.05,147.03,147.03,
2024-08-02,144.78,145.22,142.2,143.31,143.31,
2024-08-05,138.18,139.16,132.3,133.89,133.89,
2024-08-06,136.5,138.67,131.99,132.75,132.75,
2024-08-07,137.0,139.99,134.47,138.8,138.8,
2024-08-08,138.47,138.47,133.77,134.7,134.7,
2024-08-09,133.28,134.42,126.31,126.76,126.76,
2024-08-12,126.67,130.29,124.56,129.07,129.07,
2024-08-13,129.56,129.85,125.17,125.58,125.58,
2024-08-14,126.47,126.91,122.5,122.73,122.73,
2024-08-16,125.22,126.11,124.07,125.71,125.71,
2024-08-19,127.4,129.02,126.67,128.69,128.69,
2024-08-20,129.84,130.78,128.19,130.49,130.49,
2024-08-21,130.63,132.63,129.8,132.34,132.34,
2024-08-22,132.47,132.68,130.61,131.2,131.2,
2024-08-23,131.22,132.33,128.87,129.15,129.15,
2024-08-26,130.72,136.0,129.75,135.0,135.0,
2024-08-27,135.0,135.49,132.89,133.18,133.18,
2024-08-28,133.18,133.67,130.68,131.36,131.36,
2024-08-29,131.22,132.3,129.21,131.57,131.57,
2024-08-30,131.9,133.33,130.68,131.02,131.02,
2024-09-02,131.18,131.46,129.08,130.51,130.51,
2024-09-03,129.86,130.93,128.64,129.14,129.14,
2024-09-04,126.42,129.2,126.13,127.85,127.85,
2024-09-05,127.94,129.65,127.85,128.6,128.6,
2024-09-06,128.77,129.31,125.73,126.79,126.79,
2024-09-09,126.32,126.76,123.59,125.35,125.35,
2024-09-10,125.44,128.43,125.35,126.56,126.56,
2024-09-11,126.5,127.39,123.76,124.43,124.43,
2024-09-12,126.91,128.45,124.36,128.08,128.08,
2024-09-13,128.87,131.7,128.79,129.56,129.56,
2024-09-16,130.34,131.4,129.12,130.38,130.38,
2024-09-17,130.11,130.34,127.89,129.29,129.29,
2024-09-18,129.02,129.25,126.08,127.06,127.06,
2024-09-19,128.88,129.37,122.27,124.97,124.97,
2024-09-20,125.67,126.7,123.86,124.72,124.72,
2024-09-23,124.93,128.39,124.93,128.07,128.07,
2024-09-24,129.87,133.4,129.66,132.22,132.22,
2024-09-25,133.33,135.45,132.34,132.57,132.57,
2024-09-26,133.33,137.86,130.66,137.48,137.48,
2024-09-27,138.27,142.42,137.93,138.8,138.8,
2024-09-30,139.65,142.16,138.61,139.61,139.61,
2024-10-01,139.64,140.36,136.18,139.28,139.28,
2024-10-03,136.84,139.9,134.46,135.33,135.33,
2024-10-04,134.86,138.86,132.48,137.29,137.29,
2024-10-07,138.24,138.78,129.1,130.55,130.55,
2024-10-08,128.98,131.97,126.26,129.74,129.74,
2024-10-09,129.77,131.67,128.25,128.72,128.72,
2024-10-10,129.38,131.3,128.02,128.36,128.36,
2024-10-11,128.59,133.45,128.36,132.37,132.37,
2024-10-14,134.12,135.63,132.01,132.67,132.67,
2024-10-15,132.67,133.23,128.88,129.32,129.32,
2024-10-16,128.59,130.02,127.48,128.31,128.31,
2024-10-17,129.28,129.37,125.97,126.25,126.25,
2024-10-18,124.93,128.97,123.87,127.43,127.43,
2024-10-21,128.6,129.57,124.47,124.89,124.89,
2024-10-22,125.03,125.8,119.16,120.29,120.29,
2024-10-23,119.01,121.12,114.86,116.67,116.67,
2024-10-24,117.23,117.42,115.26,115.68,115.68,
2024-10-25,115.68,116.55,109.03,110.1,110.1,
2024-10-28,110.97,114.44,109.82,113.25,113.25,
2024-10-29,113.46,114.76,111.33,114.28,114.28,
2024-10-30,113.63,116.13,112.19,114.59,114.59,
2024-10-31,114.76,116.24,112.94,114.32,114.32,
2024-11-01,115.08,117.33,114.92,116.29,116.29,
2024-11-04,116.54,116.77,111.21,112.49,112.49,
2024-11-05,112.34,117.32,112.34,117.06,117.06,
2024-11-06,118.51,122.71,116.01,122.36,122.36,
2024-11-07,122.47,125.28,121.06,121.83,121.83,
2024-11-08,119.01,119.51,113.46,116.75,116.75,
2024-11-11,116.34,117.72,114.07,114.46,114.46,
2024-11-12,114.56,115.95,112.25,112.76,112.76,
2024-11-13,111.7,113.07,109.63,110.31,110.31,
2024-11-14,110.31,112.96,110.05,110.46,110.46,
2024-11-18,110.81,113.69,109.88,111.37,111.37,
2024-11-19,111.75,113.03,109.71,110.07,110.07,
2024-11-21,110.12,110.81,107.31,109.22,109.22,
2024-11-22,109.33,112.23,109.03,111.43,111.43,
2024-11-25,113.58,114.42,112.44,112.68,112.68,
2024-11-26,112.79,115.0,112.47,114.4,114.4,
2024-11-27,114.13,115.62,113.09,114.82,114.82,
2024-11-28,114.82,115.87,113.78,114.84,114.84,
2024-11-29,115.06,116.64,114.37,115.66,115.66,
2024-12-02,115.06,117.94,114.43,117.61,117.61,
2024-12-03,117.72,121.66,117.72,121.27,121.27,
2024-12-04,121.48,122.01,119.59,120.66,120.66,
2024-12-05,120.99,122.12,119.62,120.95,120.95,
2024-12-06,120.95,123.57,120.56,122.36,122.36,
2024-12-09,122.47,124.95,121.09,124.57,124.57,
2024-12-10,125.43,126.91,124.69,125.24,125.24,
2024-12-11,125.08,127.12,124.48,125.38,125.38,
2024-12-12,125.35,128.48,123.98,127.66,127.66,
2024-12-13,127.02,127.16,120.33,123.22,123.22,
2024-12-16,123.02,123.3,121.53,122.08,122.08,
2024-12-17,121.28,122.91,118.76,119.61,119.61,
2024-12-18,120.49,120.88,116.44,118.33,118.33,
2024-12-19,115.68,118.33,115.06,117.44,117.44,
2024-12-20,116.69,119.36,113.77,114.66,114.66,
2024-12-23,115.55,120.1,115.54,119.69,119.69,
2024-12-24,118.96,119.69,116.69,117.59,117.59,
2024-12-26,117.04,117.92,114.82,116.13,116.13,
2024-12-27,116.02,117.02,113.84,114.1,114.1,
2024-12-30,114.07,114.08,109.63,110.35,110.35,
2024-12-31,110.35,112.24,109.93,111.73,111.73,
2025-01-01,111.13,111.93,110.76,111.53,111.53,
2025-01-02,111.53,112.93,110.64,112.66,112.66,
2025-01-03,112.49,114.47,112.1,112.76,112.76,
2025-01-06,112.69,113.13,108.64,109.05,109.05,
2025-01-07,109.05,110.86,109.05,110.09,110.09,
2025-01-08,109.82,110.07,107.7,108.4,108.4,
2025-01-09,108.74,109.26,106.71,106.92,106.92,
2025-01-10,106.92,107.75,103.5,104.72,104.72,
2025-01-13,103.6,104.19,98.43,98.85,98.85,
2025-01-14,100.43,105.02,100.07,104.57,104.57,
2025-01-15,104.98,106.41,103.11,103.91,103.91,
2025-01-16,105.18,107.05,104.62,106.19,106.19,
2025-01-17,105.77,108.1,105.61,107.47,107.47,
2025-01-20,107.65,108.89,106.4,108.51,108.51,
2025-01-21,108.64,110.19,106.86,108.52,108.52,
2025-01-22,108.15,109.03,103.47,105.77,105.77,
2025-01-23,105.26,108.49,105.18,107.79,107.79,
2025-01-24,107.65,109.43,106.25,106.83,106.83,
2025-01-27,105.43,105.63,101.59,102.15,102.15,
2025-01-28,103.7,103.7,99.95,101.57,101.57,
2025-01-29,101.73,103.87,101.73,103.07,103.07,
2025-01-30,103.21,105.28,102.81,104.14,104.14,
2025-01-31,104.27,106.85,102.67,106.1,106.1,
2025-02-01,106.36,106.96,103.11,105.21,105.21,
2025-02-03,102.71,103.02,99.06,101.0,101.0,
2025-02-04,102.71,105.94,102.42,105.36,105.36,
2025-02-05,105.36,108.29,105.36,107.49,107.49,
2025-02-06,107.65,108.3,105.86,106.64,106.64,
2025-02-07,106.71,109.92,106.13,108.95,108.95,
2025-02-10,107.7,108.14,103.51,103.88,103.88,
2025-02-11,103.89,104.05,98.27,98.78,98.78,
2025-02-12,98.86,104.76,97.92,104.44,104.44,
2025-02-13,104.08,109.92,103.65,107.98,107.98,
2025-02-14,108.74,111.8,103.14,104.4,104.4,
2025-02-17,103.11,104.49,101.3,104.03,104.03,
2025-02-18,103.49,104.44,100.74,103.1,103.1,
2025-02-19,102.13,105.86,102.07,105.21,105.21,
2025-02-20,104.69,109.08,104.24,108.48,108.48,
2025-02-21,107.95,113.73,107.4,111.36,111.36,
2025-02-24,109.72,110.78,106.32,106.87,106.87,
2025-02-25,106.77,108.13,104.49,104.86,104.86,
2025-02-27,104.89,106.64,103.37,104.67,104.67,
2025-02-28,103.45,104.19,100.34,103.72,103.72,
2025-03-03,104.0,105.97,101.46,105.04,105.04,
2025-03-04,103.29,107.45,102.77,106.33,106.33,
2025-03-05,106.17,111.5,106.17,111.14,111.14,
2025-03-06,112.1,113.48,109.53,110.58,110.58,
2025-03-07,110.12,111.51,108.84,109.54,109.54,
2025-03-10,109.53,111.27,105.48,105.94,105.94,
2025-03-11,104.19,107.47,103.31,106.79,106.79,
2025-03-12,107.11,107.54,103.55,105.34,105.34,
2025-03-13,105.86,108.32,104.22,104.58,104.58,
2025-03-17,105.33,106.0,103.75,104.83,104.83,
2025-03-19,112.1,112.98,109.24,111.83,111.83,
2025-03-20,112.64,113.53,110.25,112.55,112.55,
2025-03-21,112.59,114.46,112.05,113.87,113.87,
2025-03-24,114.66,117.16,114.61,115.79,115.79,
2025-03-25,116.39,116.39,112.69,113.28,113.28,
2025-03-26,113.28,114.56,111.6,111.89,111.89,
2025-03-27,111.4,113.68,111.3,112.47,112.47,
2025-03-28,112.49,114.71,112.19,113.75,113.75,
2025-04-01,112.93,116.0,112.02,115.43,115.43,
2025-04-02,115.43,117.72,112.84,117.23,117.23,
2025-04-03,115.85,118.15,115.39,117.07,117.07,
2025-04-04,116.12,116.47,110.62,111.21,111.21,
2025-04-07,100.09,104.83,100.09,103.33,103.33,
2025-04-08,106.12,106.8,101.48,103.53,103.53,
2025-04-09,102.71,104.1,99.88,103.67,103.67,
2025-04-11,106.51,108.84,105.68,107.0,107.0,
2025-04-15,108.85,112.31,108.3,111.85,111.85,
2025-04-16,111.6,114.84,110.51,113.87,113.87,
2025-04-17,113.08,114.41,111.65,112.55,112.55,
2025-04-21,112.55,115.7,111.4,114.55,114.55,
2025-04-22,116.88,117.52,114.02,114.54,114.54,
2025-04-23,115.41,115.9,112.97,115.31,115.31,
2025-04-24,115.07,117.07,114.76,116.57,116.57,
2025-04-25,117.13,118.86,111.99,113.39,113.39,
2025-04-28,113.58,116.33,113.01,115.32,115.32,
2025-04-29,115.3,116.84,113.58,113.85,113.85,
2025-04-30,113.57,114.32,111.46,112.3,112.3,
2025-05-02,112.29,115.44,110.92,111.68,111.68,
2025-05-05,112.59,114.0,111.72,113.37,113.37,
2025-05-06,113.18,114.37,109.74,110.19,110.19,
2025-05-07,108.61,112.73,108.37,112.27,112.27,
2025-05-08,112.59,113.38,107.1,107.89,107.89,
2025-05-09,105.68,107.97,104.93,107.66,107.66,
2025-05-12,111.37,116.98,111.01,116.78,116.78,
2025-05-13,116.78,117.63,114.31,114.56,114.56,
2025-05-14,115.55,121.47,115.14,121.16,121.16,
2025-05-15,121.47,122.12,120.15,121.18,121.18,
2025-05-16,121.08,122.01,120.06,120.96,120.96,
2025-05-19,120.96,121.92,119.25,120.6,120.6,
2025-05-20,121.38,123.84,120.67,121.0,121.0,
2025-05-21,121.33,123.65,120.82,123.33,123.33,
2025-05-22,122.47,125.18,121.97,124.18,124.18,
2025-05-23,124.19,125.22,123.8,124.36,124.36,
2025-05-26,124.64,127.01,124.25,126.21,126.21,
2025-05-27,126.12,127.8,125.35,126.99,126.99,
2025-05-28,126.82,128.49,125.67,127.36,127.36,
2025-05-29,130.12,130.17,127.21,128.35,128.35,
2025-05-30,128.44,129.08,127.21,127.58,127.58,
2025-06-02,125.43,129.88,124.87,129.07,129.07,
2025-06-03,129.17,131.43,128.1,128.6,128.6,
2025-06-04,129.02,130.51,128.05,130.2,130.2,
2025-06-05,130.37,132.34,130.11,131.46,131.46,
2025-06-06,131.81,133.63,130.77,133.37,133.37,
2025-06-09,133.53,134.3,131.9,132.17,132.17,
2025-06-10,132.44,133.48,131.02,131.28,131.28,
2025-06-11,131.97,132.59,130.97,131.5,131.5,
2025-06-12,131.35,132.02,128.1,128.36,128.36,
2025-06-13,124.98,128.34,124.98,127.75,127.75,
2025-06-16,127.4,128.22,125.24,127.32,127.32,
2025-06-17,127.32,128.29,124.74,125.34,125.34,
2025-06-18,125.17,125.76,123.86,125.46,125.46,
2025-06-19,125.43,125.74,122.32,123.6,123.6,
2025-06-20,123.21,126.31,123.21,125.9,125.9,
2025-06-23,124.63,126.79,124.31,125.03,125.03,
2025-06-24,126.46,131.21,126.46,129.12,129.12,
2025-06-25,129.76,130.01,126.51,126.67,126.67,
2025-06-26,127.3,132.34,126.93,131.97,131.97,
2025-06-27,132.84,134.65,129.78,130.07,130.07,
2025-06-30,130.7,131.11,129.6,130.36,130.36,
2025-07-01,130.38,132.12,128.44,131.69,131.69,
2025-07-02,131.7,136.29,131.52,135.78,135.78,
2025-07-03,136.19,138.25,134.33,134.81,134.81,
2025-07-04,134.14,135.06,132.05,133.05,133.05,
2025-07-07,132.1,132.69,130.7,131.82,131.82,
2025-07-08,131.35,133.65,131.23,133.38,133.38,
2025-07-09,133.33,133.43,129.38,132.22,132.22,
2025-07-10,131.85,133.63,131.85,133.11,133.11,
2025-07-11,132.54,135.11,131.83,132.67,132.67,
2025-07-14,131.95,133.89,131.35,132.53,132.53,
2025-07-15,132.15,133.46,130.94,133.21,133.21,
2025-07-16,132.2,133.02,130.86,131.93,131.93,
2025-07-17,132.34,133.02,131.08,131.95,131.95,
2025-07-18,131.81,135.06,131.76,134.76,134.76,
2025-07-21,135.3,137.03,134.21,135.24,135.24,
2025-07-22,135.29,136.99,133.82,134.31,134.31,
2025-07-23,134.91,134.91,132.24,133.12,133.12,
2025-07-24,133.13,135.5,133.11,134.48,134.48,
2025-07-25,134.2,134.25,128.47,129.05,129.05,
2025-07-28,127.01,127.02,122.59,124.04,124.04,
2025-07-29,123.44,125.18,121.77,124.45,124.45,
2025-07-30,124.44,125.01,122.34,122.62,122.62,
2025-07-31,121.48,123.11,121.0,122.66,122.66,
2025-08-01,122.29,122.94,118.27,118.63,118.63,
2025-08-04,119.17,124.24,118.87,123.93,123.93,
2025-08-05,123.45,124.32,121.7,123.61,123.61,
2025-08-06,123.34,123.66,120.98,121.92,121.92,
2025-08-07,120.99,122.34,119.01,121.83,121.83,
2025-08-08,121.48,122.25,119.21,119.57,119.57,
2025-08-11,119.57,120.42,118.42,120.16,120.16,
2025-08-12,119.9,121.96,119.81,120.68,120.68,
2025-08-13,120.98,123.1,120.64,122.51,122.51,
2025-08-14,122.66,122.81,118.71,118.88,118.88,
2025-08-18,121.28,122.47,120.01,120.92,120.92,
