date,open,high,low,close,adj_close,volume
2024-07-11,745.16,745.16,732.64,736.41,736.41,
2024-07-12,737.46,741.08,731.3,733.88,733.88,
2024-07-15,735.67,736.86,729.81,733.78,733.78,
2024-07-16,733.73,738.95,724.39,726.18,726.18,
2024-07-18,726.28,729.71,717.34,728.76,728.76,
2024-07-19,730.1,731.2,711.67,713.96,713.96,
2024-07-22,712.37,724.19,707.0,723.05,723.05,
2024-07-23,725.28,729.26,708.39,726.13,726.13,
2024-07-24,729.76,740.19,721.86,738.8,738.8,
2024-07-25,737.21,737.21,719.37,725.78,725.78,
2024-07-26,725.68,725.68,713.46,717.04,717.04,
2024-07-29,698.46,717.04,697.71,703.33,703.33,
2024-07-30,707.4,720.27,703.53,714.36,714.36,
2024-07-31,717.78,723.05,714.45,722.15,722.15,
2024-08-01,720.32,721.56,713.36,715.8,715.8,
2024-08-02,711.37,715.9,708.39,709.93,709.93,
2024-08-05,703.43,708.3,693.49,697.81,697.81,
2024-08-06,698.81,705.41,692.94,694.14,694.14,
2024-08-07,698.51,715.2,695.23,709.29,709.29,
2024-08-08,708.89,712.77,703.82,710.98,710.98,
2024-08-09,713.36,717.29,703.92,705.22,705.22,
2024-08-12,705.41,706.36,694.53,695.43,695.43,
2024-08-13,696.47,703.03,684.7,687.43,687.43,
2024-08-14,687.48,691.4,684.55,685.2,685.2,
2024-08-16,688.47,695.48,685.94,694.14,694.14,
2024-08-19,694.98,698.41,692.5,695.38,695.38,
2024-08-20,695.48,708.34,695.48,706.11,706.11,
2024-08-21,703.38,709.93,701.99,704.97,704.97,
2024-08-22,708.39,712.37,703.53,709.84,709.84,
2024-08-23,711.33,714.01,709.39,712.02,712.02,
2024-08-26,712.37,718.73,711.42,715.7,715.7,
2024-08-27,715.85,735.17,715.0,731.99,731.99,
2024-08-28,735.02,738.9,723.5,726.58,726.58,
2024-08-29,726.23,726.23,711.87,716.54,716.54,
2024-08-30,725.28,725.53,716.69,718.53,718.53,
2024-09-02,721.76,743.17,717.93,739.54,739.54,
2024-09-03,743.17,770.94,737.6,761.1,761.1,
2024-09-04,760.01,765.42,749.97,763.59,763.59,
2024-09-05,763.59,771.98,759.61,762.74,762.74,
2024-09-06,774.02,806.75,773.87,795.48,795.48,
2024-09-09,795.63,803.53,781.12,797.17,797.17,
2024-09-10,799.8,800.94,785.24,788.77,788.77,
2024-09-11,788.77,800.5,787.58,791.7,791.7,
2024-09-12,795.83,800.79,791.4,797.07,797.07,
2024-09-13,802.78,812.12,798.56,800.0,800.0,
2024-09-16,799.9,802.18,787.88,795.33,795.33,
2024-09-17,795.03,799.05,784.25,787.33,787.33,
2024-09-18,784.85,790.06,772.88,774.81,774.81,
2024-09-19,780.92,799.7,772.83,790.01,790.01,
2024-09-20,796.82,796.87,775.66,781.87,781.87,
2024-09-23,784.9,793.94,771.98,789.91,789.91,
2024-09-24,789.17,792.75,773.12,774.91,774.91,
2024-09-25,774.96,776.9,761.7,766.86,766.86,
2024-09-26,766.86,777.94,763.04,776.2,776.2,
2024-09-27,777.94,796.82,777.5,781.22,781.22,
2024-09-30,777.94,786.44,767.21,768.7,768.7,
2024-10-01,769.0,774.96,762.14,765.22,765.22,
2024-10-03,757.08,774.96,741.13,744.91,744.91,
2024-10-04,748.63,752.56,734.47,738.35,738.35,
2024-10-07,739.24,746.15,720.22,726.23,726.23,
2024-10-08,726.23,731.84,721.86,727.52,727.52,
2024-10-09,731.25,740.63,729.31,734.43,734.43,
2024-10-10,738.7,739.29,729.36,732.54,732.54,
2024-10-11,734.62,736.21,726.28,729.01,729.01,
2024-10-14,730.45,734.72,726.68,732.79,732.79,
2024-10-15,736.71,737.16,725.83,734.28,734.28,
2024-10-16,730.25,739.49,730.25,736.01,736.01,
2024-10-17,736.61,739.34,728.27,735.22,735.22,
2024-10-18,736.71,738.4,726.03,735.37,735.37,
2024-10-21,735.37,736.31,709.39,714.31,714.31,
2024-10-22,714.85,714.9,698.11,699.4,699.4,
2024-10-23,699.4,708.39,696.77,701.34,701.34,
2024-10-24,702.93,708.84,698.46,707.6,707.6,
2024-10-25,707.6,707.65,671.83,686.98,686.98,
2024-10-28,688.87,689.52,661.1,663.24,663.24,
2024-10-29,668.6,697.47,655.54,680.77,680.77,
2024-10-30,660.7,691.4,660.7,679.58,679.58,
2024-10-31,676.15,694.98,666.81,683.95,683.95,
2024-11-01,682.61,694.48,679.88,690.31,690.31,
2024-11-04,690.36,691.16,675.91,684.0,684.0,
2024-11-05,682.96,692.99,675.61,690.46,690.46,
2024-11-06,695.53,700.3,690.56,695.53,695.53,
2024-11-07,695.53,699.9,692.5,695.83,695.83,
2024-11-08,695.08,699.1,691.85,694.88,694.88,
2024-11-11,694.88,696.37,687.13,688.08,688.08,
2024-11-12,689.52,692.7,672.63,674.86,674.86,
2024-11-13,674.86,688.52,668.9,675.91,675.91,
2024-11-14,680.58,686.69,676.6,678.94,678.94,
2024-11-18,685.54,685.54,671.63,672.68,672.68,
2024-11-19,675.61,681.57,671.68,680.13,680.13,
2024-11-21,680.13,680.13,665.72,670.69,670.69,
2024-11-22,671.98,679.38,669.94,675.31,675.31,
2024-11-25,687.28,697.42,681.67,690.26,690.26,
2024-11-26,690.01,703.23,687.38,694.48,694.48,
2024-11-27,697.96,703.43,691.01,700.94,700.94,
2024-11-28,701.39,713.36,698.96,707.3,707.3,
2024-11-29,706.51,706.51,694.48,696.07,696.07,
2024-12-02,695.48,707.05,692.4,698.51,698.51,
2024-12-03,698.51,705.61,698.51,699.85,699.85,
2024-12-04,703.87,711.47,700.45,710.08,710.08,
2024-12-05,710.38,722.3,710.08,719.72,719.72,
2024-12-06,720.32,721.06,711.77,712.77,712.77,
2024-12-09,715.35,720.22,710.03,715.0,715.0,
2024-12-10,715.4,738.1,713.26,724.79,724.79,
2024-12-11,725.28,731.69,720.37,726.03,726.03,
2024-12-12,726.92,732.54,720.27,722.11,722.11,
2024-12-13,722.01,723.74,710.38,720.76,720.76,
2024-12-16,720.76,727.67,718.33,723.65,723.65,
2024-12-17,722.3,725.78,709.44,710.73,710.73,
2024-12-18,709.39,714.36,704.02,705.96,705.96,
2024-12-19,695.48,704.77,692.5,698.86,698.86,
2024-12-20,698.86,703.58,680.67,682.56,682.56,
2024-12-23,685.34,695.98,683.85,686.83,686.83,
2024-12-24,681.62,700.74,678.39,691.4,691.4,
2024-12-26,690.61,693.69,672.97,674.81,674.81,
2024-12-27,675.46,680.43,669.65,670.94,670.94,
2024-12-30,670.99,674.46,662.74,665.18,665.18,
2024-12-31,663.19,667.81,658.77,659.56,659.56,
2025-01-01,663.69,675.46,659.71,673.42,673.42,
2025-01-02,677.5,700.45,673.67,698.16,698.16,
2025-01-03,695.48,723.99,693.54,718.88,718.88,
2025-01-06,736.21,755.98,723.15,725.78,725.78,
2025-01-07,725.28,736.31,719.97,728.22,728.22,
2025-01-08,727.72,734.67,713.51,732.49,732.49,
2025-01-09,735.22,735.22,712.42,725.98,725.98,
2025-01-10,720.32,728.91,713.51,717.88,717.88,
2025-01-13,710.33,711.57,700.99,708.94,708.94,
2025-01-14,703.97,731.84,702.58,729.95,729.95,
2025-01-15,732.24,736.21,719.62,730.45,730.45,
