date,open,high,low,close,adj_close,volume
2024-07-11,1556.87,1564.49,1541.07,1553.68,1553.68,
2024-07-12,1557.77,1564.84,1542.27,1557.72,1557.72,
2024-07-15,1557.72,1615.58,1552.78,1608.15,1608.15,
2024-07-16,1608.1,1634.21,1586.97,1616.02,1616.02,
2024-07-18,1614.68,1659.48,1609.74,1654.35,1654.35,
2024-07-19,1626.64,1653.1,1626.64,1642.29,1642.29,
2024-07-22,1635.71,1642.29,1613.33,1615.82,1615.82,
2024-07-23,1615.82,1632.62,1572.87,1589.61,1589.61,
2024-07-24,1574.81,1644.58,1574.46,1627.59,1627.59,
2024-07-25,1639.6,1695.76,1639.6,1689.83,1689.83,
2024-07-26,1680.71,1771.86,1680.71,1745.2,1745.2,
2024-07-29,1746.74,1757.76,1730.8,1740.96,1740.96,
2024-07-30,1734.78,1740.56,1702.39,1715.4,1715.4,
2024-07-31,1715.4,1754.22,1714.35,1747.89,1747.89,
2024-08-01,1785.22,1785.27,1752.32,1761.44,1761.44,
2024-08-02,1754.22,1763.09,1725.31,1739.17,1739.17,
2024-08-05,1674.48,1733.64,1674.43,1716.54,1716.54,
2024-08-06,1716.54,1774.15,1664.61,1669.0,1669.0,
2024-08-07,1684.5,1693.32,1671.59,1680.16,1680.16,
2024-08-08,1665.61,1709.52,1664.56,1700.69,1700.69,
2024-08-09,1714.35,1727.71,1702.39,1719.43,1719.43,
2024-08-12,1717.24,1724.32,1686.49,1699.4,1699.4,
2024-08-13,1699.4,1715.65,1666.56,1676.87,1676.87,
2024-08-14,1690.63,1701.74,1667.5,1686.54,1686.54,
2024-08-16,1693.42,1696.51,1660.68,1683.35,1683.35,
2024-08-19,1691.23,1691.23,1660.53,1666.06,1666.06,
2024-08-20,1667.3,1764.98,1667.25,1755.51,1755.51,
2024-08-21,1755.51,1798.52,1745.15,1794.68,1794.68,
2024-08-22,1795.08,1806.45,1783.97,1789.35,1789.35,
2024-08-23,1783.62,1792.49,1776.15,1783.42,1783.42,
2024-08-26,1785.12,1795.53,1763.54,1790.35,1790.35,
2024-08-27,1782.52,1842.53,1778.24,1832.91,1832.91,
2024-08-28,1832.71,1848.16,1820.0,1837.64,1837.64,
2024-08-29,1833.96,1861.61,1829.47,1837.64,1837.64,
2024-08-30,1833.91,1863.66,1830.97,1844.22,1844.22,
2024-09-02,1844.22,1888.43,1842.98,1882.55,1882.55,
2024-09-03,1883.79,1929.64,1875.57,1922.31,1922.31,
2024-09-04,1903.73,1913.69,1896.1,1905.92,1905.92,
2024-09-05,1912.7,1912.7,1893.96,1901.58,1901.58,
2024-09-06,1891.86,1910.55,1883.24,1890.07,1890.07,
2024-09-09,1894.61,1926.5,1888.28,1895.5,1895.5,
2024-09-10,1883.79,1883.79,1832.71,1847.36,1847.36,
2024-09-11,1839.04,1864.9,1838.49,1853.04,1853.04,
2024-09-12,1856.88,1873.82,1834.55,1869.79,1869.79,
2024-09-13,1862.86,1865.6,1835.7,1840.43,1840.43,
2024-09-16,1844.92,1858.67,1810.13,1815.27,1815.27,
2024-09-17,1817.51,1838.24,1802.51,1813.17,1813.17,
2024-09-18,1812.23,1842.88,1809.09,1836.4,1836.4,
2024-09-19,1843.92,1853.89,1822.19,1834.9,1834.9,
2024-09-20,1843.92,1878.81,1838.94,1864.11,1864.11,
2024-09-23,1875.82,1918.68,1873.82,1913.84,1913.84,
2024-09-24,1920.77,1921.62,1848.51,1858.23,1858.23,
2024-09-25,1867.54,1868.84,1835.0,1857.48,1857.48,
2024-09-26,1866.85,1895.8,1862.36,1892.06,1892.06,
2024-09-27,1892.06,1906.72,1867.74,1876.47,1876.47,
2024-09-30,1885.78,1887.38,1832.21,1837.94,1837.94,
2024-10-01,1834.15,1853.19,1818.31,1828.17,1828.17,
2024-10-03,1801.06,1839.14,1789.15,1799.62,1799.62,
2024-10-04,1799.62,1843.92,1776.69,1792.19,1792.19,
2024-10-07,1794.09,1813.87,1770.17,1782.08,1782.08,
2024-10-08,1779.14,1793.14,1717.89,1722.37,1722.37,
2024-10-09,1742.31,1753.22,1727.36,1731.69,1731.69,
2024-10-10,1739.42,1748.69,1723.87,1728.8,1728.8,
2024-10-11,1731.79,1741.01,1712.95,1729.35,1729.35,
2024-10-14,1733.04,1738.12,1711.66,1732.59,1732.59,
2024-10-15,1736.23,1749.18,1712.85,1718.09,1718.09,
2024-10-16,1719.38,1743.25,1718.34,1728.05,1728.05,
2024-10-17,1728.3,1733.29,1690.18,1696.41,1696.41,
2024-10-18,1700.4,1711.81,1675.08,1700.45,1700.45,
2024-10-21,1709.52,1770.22,1691.23,1706.23,1706.23,
2024-10-22,1695.41,1721.28,1667.4,1692.57,1692.57,
2024-10-23,1697.6,1723.22,1686.69,1710.36,1710.36,
2024-10-24,1718.78,1718.78,1617.67,1629.93,1629.93,
2024-10-25,1639.45,1647.87,1598.68,1611.44,1611.44,
2024-10-28,1611.69,1614.68,1588.36,1600.62,1600.62,
2024-10-29,1600.72,1660.33,1590.66,1655.89,1655.89,
2024-10-30,1631.12,1643.93,1613.98,1618.81,1618.81,
2024-10-31,1624.74,1636.56,1607.75,1616.82,1616.82,
2024-11-01,1634.01,1634.01,1617.67,1623.5,1623.5,
2024-11-04,1631.62,1635.76,1582.78,1603.51,1603.51,
2024-11-05,1601.52,1636.61,1593.4,1627.83,1627.83,
2024-11-06,1627.83,1633.27,1595.19,1598.68,1598.68,
2024-11-07,1599.78,1612.63,1569.83,1584.63,1584.63,
2024-11-08,1583.78,1598.08,1561.7,1564.79,1564.79,
2024-11-11,1573.41,1573.41,1550.14,1560.86,1560.86,
2024-11-12,1563.95,1580.74,1551.88,1557.32,1557.32,
2024-11-13,1554.88,1566.84,1534.94,1541.62,1541.62,
2024-11-14,1541.12,1563.8,1540.97,1557.17,1557.17,
2024-11-18,1545.9,1561.4,1545.9,1557.47,1557.47,
2024-11-19,1562.85,1562.9,1496.07,1517.9,1517.9,
2024-11-21,1508.33,1510.52,1469.16,1473.09,1473.09,
2024-11-22,1480.47,1491.53,1470.15,1480.27,1480.27,
2024-11-25,1487.7,1506.04,1483.46,1490.29,1490.29,
2024-11-26,1490.29,1511.92,1484.36,1501.8,1501.8,
2024-11-27,1502.05,1510.97,1490.19,1500.45,1500.45,
2024-11-28,1502.2,1514.71,1398.39,1423.91,1423.91,
2024-11-29,1437.26,1455.2,1392.06,1433.03,1433.03,
2024-12-02,1423.71,1445.04,1406.51,1417.38,1417.38,
2024-12-03,1425.4,1443.59,1412.29,1436.22,1436.22,
2024-12-04,1436.27,1467.51,1430.34,1447.83,1447.83,
2024-12-05,1447.83,1451.27,1412.89,1427.15,1427.15,
2024-12-06,1430.29,1448.18,1424.6,1443.79,1443.79,
2024-12-09,1449.22,1479.52,1444.29,1464.47,1464.47,
2024-12-10,1458.89,1479.03,1446.83,1457.05,1457.05,
2024-12-11,1450.72,1468.66,1449.67,1451.37,1451.37,
2024-12-12,1445.24,1450.97,1415.68,1427.79,1427.79,
2024-12-13,1417.38,1437.21,1404.67,1424.11,1424.11,
2024-12-16,1424.11,1432.23,1411.0,1416.98,1416.98,
