date,open,high,low,close,adj_close,volume
2024-07-11,822.75,826.51,818.27,824.97,824.97,
2024-07-12,824.97,831.03,823.62,827.86,827.86,
2024-07-15,827.86,854.48,827.86,848.7,848.7,
2024-07-16,849.62,855.2,841.91,848.08,848.08,
2024-07-18,848.03,861.75,845.0,860.45,860.45,
2024-07-19,861.85,865.7,850.58,856.41,856.41,
2024-07-22,848.8,861.85,835.85,844.32,844.32,
2024-07-23,850.29,851.74,817.65,831.9,831.9,
2024-07-24,832.19,835.85,815.82,820.44,820.44,
2024-07-25,816.11,819.24,810.04,817.07,817.07,
2024-07-26,813.36,832.24,812.74,830.5,830.5,
2024-07-29,833.97,856.17,831.23,839.31,839.31,
2024-07-30,842.3,847.93,836.81,840.47,840.47,
2024-07-31,841.48,842.54,835.85,840.08,840.08,
2024-08-01,845.28,848.75,827.61,830.7,830.7,
2024-08-02,824.97,826.51,814.81,816.44,816.44,
2024-08-05,799.26,800.56,770.37,781.59,781.59,
2024-08-06,792.18,795.93,766.18,768.15,768.15,
2024-08-07,779.03,780.67,770.9,778.7,778.7,
2024-08-08,781.92,787.51,773.06,778.12,778.12,
2024-08-09,785.77,799.21,779.56,793.77,793.77,
2024-08-12,790.2,792.51,781.15,782.5,782.5,
2024-08-13,783.37,789.63,765.6,768.01,768.01,
2024-08-14,771.28,779.18,770.75,773.26,773.26,
2024-08-16,773.26,784.71,773.26,782.02,782.02,
2024-08-19,784.81,794.83,782.5,783.56,783.56,
2024-08-20,787.65,792.51,783.22,789.91,789.91,
2024-08-21,789.91,790.59,781.15,785.34,785.34,
2024-08-22,788.66,793.38,786.83,789.91,789.91,
2024-08-23,791.07,791.55,784.33,785.15,785.15,
2024-08-26,787.7,792.95,783.66,784.86,784.86,
2024-08-27,787.51,789.1,781.01,785.68,785.68,
2024-08-28,784.57,786.93,776.63,779.42,779.42,
2024-08-29,779.56,785.77,777.06,784.33,784.33,
2024-08-30,786.88,790.3,784.19,785.39,785.39,
2024-09-02,787.03,794.83,782.93,791.7,791.7,
