date,open,high,low,close,adj_close,volume
2024-07-11,27640.63,27762.78,27365.39,27536.32,27536.32,
2024-07-12,27554.57,27647.77,27232.33,27430.13,27430.13,
2024-07-15,27320.58,27598.89,26582.95,27381.9,27381.9,
2024-07-16,27510.94,28439.17,27412.24,27669.38,27669.38,
2024-07-18,27563.49,27957.11,27436.78,27822.86,27822.86,
2024-07-19,27615.05,27759.9,26877.33,27052.03,27052.03,
2024-07-22,26975.64,27754.85,26771.29,27682.27,27682.27,
2024-07-23,27618.89,28209.0,27424.62,27977.72,27977.72,
2024-07-24,27787.78,27915.83,27072.64,27371.52,27371.52,
2024-07-25,27319.81,27406.74,27021.83,27304.31,27304.31,
2024-07-26,27469.87,27687.44,27141.48,27386.17,27386.17,
2024-07-29,27617.9,27617.9,26977.12,27059.48,27059.48,
2024-07-30,27234.97,27309.93,26783.5,27135.43,27135.43,
2024-07-31,27181.27,27631.21,27133.39,27558.73,27558.73,
2024-08-01,27642.73,27717.04,27307.99,27586.6,27586.6,
2024-08-02,27375.05,27613.92,26875.39,27116.55,27116.55,
2024-08-05,26823.13,26872.71,26203.27,26659.02,26659.02,
2024-08-06,26768.5,26915.13,25839.62,25930.37,25930.37,
2024-08-07,25929.03,26520.08,24802.46,24934.19,24934.19,
2024-08-08,24885.91,24885.91,23870.06,23985.25,23985.25,
2024-08-09,24359.18,24414.02,23693.77,24137.45,24137.45,
2024-08-12,24150.76,24296.2,23851.18,24248.46,24248.46,
2024-08-13,24339.51,24348.7,23981.92,24047.39,24047.39,
2024-08-14,24050.86,24304.69,23853.81,24179.52,24179.52,
2024-08-16,24215.33,24538.25,24120.7,24481.43,24481.43,
2024-08-19,24667.65,24802.36,24537.21,24686.18,24686.18,
2024-08-20,24796.5,24796.5,24438.86,24568.55,24568.55,
2024-08-21,24595.52,24729.39,24510.88,24645.54,24645.54,
2024-08-22,24687.22,25059.71,24637.99,24848.56,24848.56,
2024-08-23,24918.1,24935.58,24476.51,24544.21,24544.21,
2024-08-26,24588.87,24770.47,24441.04,24743.3,24743.3,
2024-08-27,24743.3,24885.66,24568.06,24650.66,24650.66,
2024-08-28,24657.41,24736.89,24444.47,24530.45,24530.45,
2024-08-29,24543.72,24726.56,24379.3,24658.76,24658.76,
2024-08-30,24648.48,25394.46,24647.48,25315.08,25315.08,
2024-09-02,25422.37,25581.22,25094.53,25260.74,25260.74,
2024-09-03,25261.43,25533.99,25188.91,25340.51,25340.51,
2024-09-04,25233.62,25696.57,25189.26,25601.94,25601.94,
2024-09-05,25601.94,26107.85,25459.78,25494.15,25494.15,
2024-09-06,25718.42,25718.42,25115.45,25442.69,25442.69,
2024-09-09,25384.62,25681.61,25147.49,25629.61,25629.61,
2024-09-10,25778.03,25778.03,25483.02,25556.64,25556.64,
