date,open,high,low,close,adj_close,volume
2024-07-11,537.46,542.0,528.13,532.97,532.97,5689115
2024-07-12,535.11,556.51,535.11,543.75,543.75,9030805
2024-07-15,547.36,562.15,546.24,560.85,560.85,7400215
2024-07-16,561.74,564.29,545.22,547.46,547.46,4907090
2024-07-18,540.36,559.22,540.36,557.93,557.93,4119020
2024-07-19,556.51,559.59,542.76,546.95,546.95,3677715
2024-07-22,544.82,554.17,537.84,550.17,550.17,2717785
2024-07-23,553.02,553.02,521.02,535.85,535.85,12227465
2024-07-24,535.81,539.92,521.39,532.92,532.92,5130575
2024-07-25,528.08,530.14,515.56,524.07,524.07,10445410
2024-07-26,529.31,595.47,526.22,572.19,572.19,32196680
2024-07-29,581.0,593.86,568.28,575.72,575.72,12753435
2024-07-30,575.72,583.23,565.74,569.66,569.66,9486875
2024-07-31,573.94,576.51,570.44,573.55,573.55,4655790
2024-08-01,573.74,586.67,571.21,584.76,584.76,8859720
2024-08-02,576.11,591.35,571.22,585.32,585.32,8905205
2024-08-05,562.61,575.49,549.33,565.63,565.63,9480440
2024-08-06,571.25,575.22,552.63,554.94,554.94,5917390
2024-08-07,565.37,573.58,561.54,572.2,572.2,3986695
2024-08-08,571.22,571.22,559.2,561.87,561.87,4434050
2024-08-09,569.26,581.65,563.41,578.67,578.67,4568775
2024-08-12,577.07,589.8,572.7,582.19,582.19,5709795
2024-08-13,582.95,585.98,559.58,565.61,565.61,7249815
2024-08-14,567.5,570.55,560.26,566.34,566.34,3626125
2024-08-16,569.85,585.28,567.7,583.25,583.25,4976095
2024-08-19,592.34,603.49,589.42,601.65,601.65,9092170
2024-08-20,609.95,621.49,597.1,618.14,618.14,12149555
2024-08-21,614.24,624.03,609.72,617.98,617.98,5227030
2024-08-22,619.14,619.52,610.99,614.96,614.96,4610695
2024-08-23,618.17,618.61,609.89,611.62,611.62,2466965
2024-08-26,614.25,622.03,608.58,618.59,618.59,3366050
2024-08-27,616.97,639.47,609.56,631.75,631.75,9915805
2024-08-28,630.88,635.38,624.38,626.35,626.35,3352220
2024-08-29,625.79,638.12,621.01,626.09,626.09,5976425
2024-08-30,626.14,630.76,621.49,626.87,626.87,11026125
2024-09-02,629.89,637.41,628.74,630.93,630.93,3165735
2024-09-03,628.14,642.24,624.04,640.0,640.0,7181415
2024-09-04,633.24,642.02,631.08,634.59,634.59,3467420
2024-09-05,635.17,644.38,631.69,634.89,634.89,3368300
2024-09-06,636.53,639.09,629.94,632.96,632.96,3058060
2024-09-09,643.6,650.09,629.14,648.62,648.62,8095085
2024-09-10,651.01,652.97,631.89,637.74,637.74,6190070
2024-09-11,638.72,645.16,636.57,641.62,641.62,2946285
2024-09-12,645.55,667.54,644.68,665.26,665.26,9163615
2024-09-13,665.06,670.0,658.27,658.9,658.9,4786700
2024-09-16,660.81,672.91,657.8,668.82,668.82,4724820
2024-09-17,668.05,678.17,666.57,669.93,669.93,8030320
2024-09-18,673.82,702.27,672.94,699.29,699.29,10582475
2024-09-19,698.67,708.87,684.68,689.64,689.64,6428925
2024-09-20,692.31,701.5,688.0,690.96,690.96,6407140
2024-09-23,694.64,706.59,692.5,697.92,697.92,2935070
2024-09-24,700.62,700.62,685.07,687.87,687.87,6681865
2024-09-25,687.87,692.46,676.46,689.38,689.38,3801635
2024-09-26,691.93,711.48,690.46,709.8,709.8,5359390
2024-09-27,707.76,714.46,703.42,708.36,708.36,4967200
2024-09-30,706.97,713.03,697.98,699.73,699.73,4405700
2024-10-01,699.74,709.68,695.98,698.45,698.45,3381135
2024-10-03,698.37,699.33,665.12,666.97,666.97,8036680
2024-10-04,666.48,667.95,648.58,652.65,652.65,8827525
2024-10-07,659.21,667.66,636.94,645.42,645.42,5480765
2024-10-08,641.25,659.84,641.25,651.28,651.28,9122180
2024-10-09,656.21,680.76,653.38,662.76,662.76,6569580
2024-10-10,665.11,668.23,650.62,652.92,652.92,3740385
2024-10-11,655.33,656.88,647.13,653.61,653.61,1799620
2024-10-14,658.85,670.98,656.07,664.19,664.19,3844085
2024-10-15,669.03,672.67,658.97,665.34,665.34,5209855
2024-10-16,668.44,669.42,658.68,663.24,663.24,1607350
2024-10-17,661.01,662.37,634.98,637.45,637.45,8237815
2024-10-18,623.59,660.01,615.38,654.29,654.29,9380205
2024-10-21,656.69,661.89,640.07,648.15,648.15,5627980
2024-10-22,648.15,663.35,633.81,636.65,636.65,19691260
2024-10-23,625.99,637.83,620.13,625.55,625.55,9660305
2024-10-24,624.03,638.9,623.16,634.81,634.81,7501270
2024-10-25,636.61,636.61,592.34,604.99,604.99,15251890
2024-10-28,618.95,654.19,615.04,637.59,637.59,21602980
2024-10-29,634.23,642.75,618.63,638.86,638.86,10906400
2024-10-30,629.33,637.67,621.48,623.21,623.21,6964385
2024-10-31,623.06,623.06,604.0,614.04,614.04,8075010
2024-11-01,617.97,618.95,614.25,616.39,616.39,286730
2024-11-04,617.27,620.05,608.18,615.8,615.8,4842960
2024-11-05,617.7,621.29,597.62,618.61,618.61,7606175
2024-11-06,623.45,625.99,613.53,623.39,623.39,4294660
2024-11-07,629.14,629.14,602.37,604.76,604.76,5846920
2024-11-08,607.69,607.69,590.36,592.51,592.51,3851745
2024-11-11,592.92,602.18,582.63,590.84,590.84,4101875
2024-11-12,593.79,595.94,575.71,577.39,577.39,5430660
2024-11-13,577.26,577.26,559.28,562.16,562.16,6755505
2024-11-14,561.95,564.75,548.2,556.0,556.0,7172685
2024-11-18,556.0,564.71,551.55,561.03,561.03,4841895
2024-11-19,561.0,564.55,551.88,556.42,556.42,5942545
2024-11-21,558.63,558.84,545.25,551.98,551.98,4777400
