date,open,high,low,close,adj_close,volume
2024-07-11,4640.82,4640.82,4540.12,4548.49,4548.49,
2024-07-12,4567.21,4577.15,4446.03,4453.46,4453.46,
2024-07-15,4453.46,4486.04,4417.58,4468.82,4468.82,
2024-07-16,4480.63,4496.95,4354.29,4368.68,4368.68,
2024-07-18,4368.68,4374.5,4126.78,4165.47,4165.47,
2024-07-19,4168.13,4182.32,3992.21,4006.95,4006.95,
2024-07-22,3913.27,4116.8,3913.27,4108.12,4108.12,
2024-07-23,4117.91,4155.85,3881.07,3970.98,3970.98,
2024-07-24,3989.02,4072.35,3924.94,3960.68,3960.68,
2024-07-25,3940.74,4065.33,3902.22,3999.2,3999.2,
2024-07-26,4024.73,4081.21,4001.01,4046.2,4046.2,
2024-07-29,4075.56,4159.27,4063.75,4150.93,4150.93,
2024-07-30,4153.07,4186.94,4087.29,4106.95,4106.95,
2024-07-31,4138.42,4199.86,4047.78,4172.31,4172.31,
2024-08-01,4181.12,4190.45,4064.01,4111.42,4111.42,
2024-08-02,4036.08,4084.6,3977.62,4022.33,4022.33,
2024-08-05,3905.87,3983.44,3863.03,3915.99,3915.99,
2024-08-06,3915.99,3997.83,3840.54,3855.86,3855.86,
2024-08-07,3917.92,4018.53,3841.3,3992.65,3992.65,
2024-08-08,3954.19,4006.22,3894.7,3959.45,3959.45,
2024-08-09,4006.83,4045.0,3960.65,4029.94,4029.94,
2024-08-12,3977.59,4123.82,3957.11,4048.33,4048.33,
2024-08-13,4040.23,4120.31,4006.86,4076.5,4076.5,
2024-08-14,4077.99,4131.19,3999.52,4118.0,4118.0,
2024-08-16,4147.22,4244.76,4131.34,4204.95,4204.95,
2024-08-19,4237.3,4237.3,4145.55,4154.38,4154.38,
2024-08-20,4183.49,4183.49,4097.15,4143.74,4143.74,
2024-08-21,4143.74,4170.15,4113.35,4143.15,4143.15,
2024-08-22,4167.46,4167.46,4112.15,4127.36,4127.36,
2024-08-23,4127.36,4157.72,4100.42,4107.53,4107.53,
2024-08-26,4132.95,4132.95,4090.66,4119.76,4119.76,
2024-08-27,4141.37,4152.25,4094.57,4099.75,4099.75,
2024-08-28,4104.81,4115.05,4059.62,4066.18,4066.18,
2024-08-29,4053.66,4067.78,3980.66,4018.12,4018.12,
2024-08-30,4033.74,4058.28,4010.9,4032.04,4032.04,
2024-09-02,4052.31,4062.4,3955.39,3965.65,3965.65,
2024-09-03,3981.1,3997.45,3939.57,3959.34,3959.34,
2024-09-04,3959.34,3986.16,3925.53,3953.49,3953.49,
2024-09-05,3971.74,3977.62,3906.25,3911.02,3911.02,
2024-09-06,3885.17,3919.09,3861.18,3868.99,3868.99,
2024-09-09,3866.45,3889.23,3803.71,3836.18,3836.18,
2024-09-10,3860.6,3886.92,3823.69,3850.6,3850.6,
2024-09-11,3859.28,3921.81,3839.42,3856.33,3856.33,
2024-09-12,3888.53,3898.01,3849.92,3892.42,3892.42,
2024-09-13,3907.39,3948.34,3899.23,3925.09,3925.09,
2024-09-16,3936.64,3962.96,3923.77,3926.58,3926.58,
2024-09-17,3933.72,3962.96,3914.56,3956.47,3956.47,
2024-09-18,3977.59,3978.67,3922.6,3942.67,3942.67,
2024-09-19,3962.96,4003.18,3805.03,3934.1,3934.1,
2024-09-20,3949.42,4013.68,3926.32,3996.74,3996.74,
2024-09-23,4019.7,4071.15,4001.57,4058.54,4058.54,
2024-09-24,4058.54,4167.4,4053.63,4150.55,4150.55,
2024-09-25,4157.16,4224.99,4138.45,4198.11,4198.11,
2024-09-26,4217.41,4233.7,4088.78,4139.76,4139.76,
2024-09-27,4139.76,4284.09,4115.05,4267.25,4267.25,
2024-09-30,4266.84,4281.7,4199.34,4240.81,4240.81,
2024-10-01,4255.32,4416.29,4243.18,4393.89,4393.89,
2024-10-03,4358.79,4397.57,4272.98,4297.2,4297.2,
2024-10-04,4296.38,4310.15,4201.03,4238.97,4238.97,
2024-10-07,4273.48,4292.26,4080.59,4093.49,4093.49,
2024-10-08,4100.42,4328.52,4068.4,4312.26,4312.26,
2024-10-09,4313.93,4529.24,4308.02,4490.7,4490.7,
2024-10-10,4504.03,4527.34,4440.36,4496.28,4496.28,
2024-10-11,4498.18,4550.8,4420.97,4533.22,4533.22,
2024-10-14,4550.83,4553.75,4488.82,4518.89,4518.89,
2024-10-15,4565.74,4609.38,4506.23,4603.5,4603.5,
2024-10-16,4603.5,4755.5,4595.31,4671.5,4671.5,
2024-10-17,4671.5,4679.51,4474.96,4514.36,4514.36,
2024-10-18,4515.79,4594.46,4425.07,4564.28,4564.28,
2024-10-21,4585.92,4605.49,4360.17,4376.28,4376.28,
2024-10-22,4376.28,4376.28,4217.91,4234.2,4234.2,
2024-10-23,4233.79,4256.4,4007.39,4019.73,4019.73,
2024-10-24,4035.5,4078.17,3928.45,4005.66,4005.66,
2024-10-25,4024.38,4034.82,3893.44,3963.81,3963.81,
2024-10-28,3975.51,4016.89,3916.17,3949.13,3949.13,
2024-10-29,3971.74,4047.6,3901.54,4040.53,4040.53,
2024-10-30,4046.02,4102.06,3989.87,4053.66,4053.66,
2024-10-31,4041.93,4099.34,4041.93,4080.71,4080.71,
2024-11-01,4080.74,4099.81,4022.25,4064.8,4064.8,
2024-11-04,4098.61,4098.61,3967.76,4067.67,4067.67,
