date,open,high,low,close,adj_close,volume
2024-07-11,686.16,737.06,685.27,712.9,712.9,11050793
2024-07-12,712.99,731.07,708.59,717.35,717.35,2612054
2024-07-15,724.48,757.06,705.12,718.39,718.39,3439391
2024-07-16,720.52,723.99,701.61,707.2,707.2,792233
2024-07-18,703.09,714.88,694.92,704.58,704.58,1328438
2024-07-19,704.08,704.08,675.36,686.75,686.75,1129597
2024-07-22,680.27,703.09,671.4,701.11,701.11,1191022
2024-07-23,701.11,703.59,675.07,691.26,691.26,1200719
2024-07-24,696.16,698.14,679.33,680.76,680.76,487844
2024-07-25,692.2,711.01,682.05,691.11,691.11,3355349
2024-07-26,697.99,708.34,681.31,683.53,683.53,1069519
2024-07-29,689.08,689.53,673.43,678.38,678.38,1145859
2024-07-30,686.31,696.16,669.57,672.39,672.39,1868439
2024-07-31,676.06,676.8,660.16,672.64,672.64,1659742
2024-08-01,672.39,676.45,661.75,666.01,666.01,792866
2024-08-02,658.43,686.26,656.95,682.49,682.49,1217493
2024-08-05,664.47,670.17,641.3,651.94,651.94,3095537
2024-08-06,649.17,668.23,642.29,645.01,645.01,721444
2024-08-07,662.94,662.94,643.73,649.27,649.27,528032
2024-08-08,651.0,661.35,642.39,648.92,648.92,1150238
2024-08-09,656.95,682.3,655.81,672.2,672.2,2076432
2024-08-12,663.58,670.76,653.68,659.17,659.17,1234517
2024-08-13,658.53,668.63,650.71,653.08,653.08,721791
2024-08-14,658.98,661.25,637.49,646.0,646.0,1816896
2024-08-16,650.31,684.57,650.01,680.02,680.02,1924721
2024-08-19,687.15,688.83,672.39,683.68,683.68,553062
2024-08-20,687.99,695.37,674.97,692.79,692.79,666703
2024-08-21,693.19,694.92,673.58,675.32,675.32,980338
2024-08-22,678.24,688.68,677.64,683.24,683.24,783372
2024-08-23,683.14,693.44,678.63,688.58,688.58,740655
2024-08-26,688.88,712.5,683.44,708.74,708.74,1494572
2024-08-27,712.3,729.73,689.53,700.57,700.57,2966671
2024-08-28,698.14,710.96,690.22,693.29,693.29,1089403
2024-08-29,693.34,715.27,679.33,682.44,682.44,1577836
2024-08-30,685.22,691.9,671.4,676.7,676.7,2415730
2024-09-02,678.34,722.8,675.86,708.09,708.09,5417373
2024-09-03,714.98,729.33,700.12,703.88,703.88,2659537
2024-09-04,696.51,725.47,694.67,715.37,715.37,2386638
2024-09-05,742.7,745.08,714.68,726.71,726.71,5450342
2024-09-06,730.67,730.67,709.03,711.91,711.91,2095248
2024-09-09,707.94,707.94,678.93,693.34,693.34,1527955
2024-09-10,700.32,718.74,697.05,706.46,706.46,2571346
2024-09-11,712.95,731.17,708.64,718.34,718.34,2358392
2024-09-12,712.0,730.62,711.91,718.99,718.99,1373502
2024-09-13,724.73,738.74,714.68,717.2,717.2,1394286
2024-09-16,722.9,730.32,717.95,726.51,726.51,684524
2024-09-17,730.82,751.27,728.79,738.15,738.15,3270902
2024-09-18,734.78,743.4,704.28,710.57,710.57,2317400
2024-09-19,716.26,731.61,691.21,721.41,721.41,1576534
2024-09-20,724.88,752.06,718.0,741.07,741.07,5302786
2024-09-23,755.92,761.17,736.51,742.9,742.9,1628786
2024-09-24,741.71,746.61,726.91,728.74,728.74,943870
2024-09-25,727.85,729.28,707.1,722.95,722.95,2492409
2024-09-26,735.72,748.1,722.9,736.86,736.86,4039878
2024-09-27,736.71,736.71,723.74,728.29,728.29,1177716
2024-09-30,726.86,739.04,721.56,736.17,736.17,864479
2024-10-01,734.78,738.44,721.07,723.94,723.94,1344430
2024-10-03,709.28,715.62,696.16,699.73,699.73,1381904
2024-10-04,704.08,704.08,679.87,690.02,690.02,1983326
2024-10-07,687.25,687.74,657.84,668.88,668.88,3099047
2024-10-08,662.09,674.32,659.67,666.9,666.9,1549976
2024-10-09,675.36,687.25,664.08,666.55,666.55,1574020
2024-10-10,668.43,675.36,658.53,664.27,664.27,2571951
2024-10-11,668.43,670.41,655.06,658.63,658.63,761195
2024-10-14,660.16,661.75,650.21,653.68,653.68,1692063
2024-10-15,659.47,663.43,648.83,650.41,650.41,1137736
2024-10-16,652.59,660.06,646.55,656.1,656.1,1224255
2024-10-17,657.09,658.93,636.94,642.29,642.29,2594238
2024-10-18,642.29,647.34,628.82,631.1,631.1,1557380
2024-10-21,631.1,632.78,620.75,627.39,627.39,2147746
2024-10-22,632.78,643.38,625.9,629.17,629.17,3989483
2024-10-23,624.02,648.33,622.93,637.83,637.83,1610895
2024-10-24,657.54,737.65,657.29,722.35,722.35,27594688
2024-10-25,720.42,725.18,688.24,692.45,692.45,2648854
2024-10-28,692.45,702.89,677.39,684.13,684.13,4605722
2024-10-29,685.07,696.46,664.03,679.52,679.52,1177278
2024-10-30,675.36,685.91,672.39,678.58,678.58,2147148
2024-10-31,676.35,684.28,663.28,679.03,679.03,984886
2024-11-01,679.77,712.99,679.77,690.42,690.42,321861
2024-11-04,694.03,694.03,673.83,682.2,682.2,696834
2024-11-05,681.11,690.96,668.68,682.2,682.2,1178166
2024-11-06,685.27,709.58,683.29,702.45,702.45,1939077
2024-11-07,702.79,713.89,696.46,697.79,697.79,955455
2024-11-08,700.91,702.99,691.46,697.15,697.15,1522921
2024-11-11,694.18,707.65,683.29,692.4,692.4,730090
2024-11-12,692.4,700.91,672.49,677.39,677.39,892443
2024-11-13,673.38,673.93,655.71,659.47,659.47,980137
2024-11-14,672.1,676.31,654.12,662.14,662.14,756869
2024-11-18,672.39,672.39,652.24,661.25,661.25,943201
2024-11-19,661.45,689.82,661.45,673.78,673.78,1167001
2024-11-21,673.78,688.09,667.44,677.25,677.25,1491622
2024-11-22,677.25,684.28,668.43,679.03,679.03,760433
2024-11-25,687.25,694.18,660.51,665.96,665.96,2637722
2024-11-26,665.96,683.68,665.76,669.27,669.27,1043903
2024-11-27,677.15,677.15,661.8,667.24,667.24,673597
2024-11-28,669.13,672.39,656.75,658.23,658.23,718669
2024-11-29,659.52,667.89,651.75,665.07,665.07,1776675
2024-12-02,664.47,678.34,661.5,669.47,669.47,1089452
2024-12-03,674.08,674.08,663.48,666.16,666.16,671497
2024-12-04,666.45,690.66,664.67,682.44,682.44,1860493
2024-12-05,685.96,685.96,660.81,668.43,668.43,1369054
2024-12-06,671.8,671.8,660.61,662.49,662.49,659081
