date,open,high,low,close,adj_close,volume
2024-07-11,1570.97,1572.44,1542.81,1552.08,1552.08,
2024-07-12,1557.25,1562.51,1525.75,1552.62,1552.62,
2024-07-15,1555.23,1569.75,1552.62,1561.38,1561.38,
2024-07-16,1564.14,1570.04,1550.31,1554.59,1554.59,
2024-07-18,1550.36,1571.62,1545.68,1569.31,1569.31,
2024-07-19,1559.91,1564.88,1540.66,1544.11,1544.11,
2024-07-22,1530.72,1564.63,1530.72,1562.51,1562.51,
2024-07-23,1562.17,1580.53,1549.67,1576.54,1576.54,
2024-07-24,1576.94,1599.53,1567.09,1594.11,1594.11,
2024-07-25,1589.58,1654.99,1577.13,1639.74,1639.74,
2024-07-26,1644.31,1696.83,1638.95,1687.43,1687.43,
2024-07-29,1688.41,1701.7,1666.27,1696.29,1696.29,
2024-07-30,1689.25,1698.45,1670.45,1674.98,1674.98,
2024-07-31,1675.47,1703.87,1668.68,1692.45,1692.45,
2024-08-01,1698.5,1719.12,1654.99,1688.36,1688.36,
2024-08-02,1673.4,1714.55,1657.5,1704.56,1704.56,
2024-08-05,1698.01,1730.49,1688.17,1693.43,1693.43,
2024-08-06,1698.01,1706.87,1677.29,1680.83,1680.83,
2024-08-07,1693.09,1709.68,1682.65,1707.31,1707.31,
2024-08-08,1707.85,1721.29,1701.31,1709.87,1709.87,
2024-08-09,1722.42,1722.42,1702.98,1708.15,1708.15,
2024-08-12,1707.85,1721.14,1702.98,1706.72,1706.72,
2024-08-13,1712.78,1724.44,1698.6,1712.87,1712.87,
2024-08-14,1720.16,1725.57,1705.49,1714.4,1714.4,
2024-08-16,1722.23,1723.75,1701.6,1715.48,1715.48,
2024-08-19,1725.42,1725.42,1713.42,1720.45,1720.45,
2024-08-20,1724.39,1743.09,1717.85,1738.71,1738.71,
2024-08-21,1742.31,1744.23,1729.81,1737.04,1737.04,
2024-08-22,1741.81,1741.81,1721.04,1723.26,1723.26,
2024-08-23,1726.31,1753.58,1724.49,1747.97,1747.97,
2024-08-26,1752.15,1752.15,1736.89,1744.72,1744.72,
2024-08-27,1750.18,1764.55,1739.5,1761.4,1761.4,
2024-08-28,1768.79,1794.48,1758.4,1783.5,1783.5,
2024-08-29,1781.58,1798.27,1762.24,1771.05,1771.05,
2024-08-30,1770.02,1799.55,1763.27,1793.15,1793.15,
2024-09-02,1801.32,1808.26,1776.96,1787.54,1787.54,
2024-09-03,1791.52,1810.77,1776.86,1783.16,1783.16,
2024-09-04,1783.16,1806.29,1773.12,1804.17,1804.17,
2024-09-05,1804.52,1815.05,1791.52,1797.92,1797.92,
2024-09-06,1791.08,1821.05,1776.76,1796.0,1796.0,
2024-09-09,1796.0,1806.68,1784.49,1793.35,1793.35,
2024-09-10,1801.37,1813.43,1797.13,1807.62,1807.62,
2024-09-11,1807.67,1828.44,1802.45,1816.82,1816.82,
2024-09-12,1826.12,1842.22,1811.6,1836.21,1836.21,
2024-09-13,1835.82,1835.82,1822.43,1824.75,1824.75,
2024-09-16,1832.87,1844.04,1821.94,1833.8,1833.8,
2024-09-17,1833.85,1840.4,1830.16,1836.9,1836.9,
2024-09-18,1838.77,1838.77,1800.97,1807.27,1807.27,
2024-09-19,1816.33,1826.96,1806.29,1817.17,1817.17,
2024-09-20,1822.14,1841.73,1813.08,1836.56,1836.56,
2024-09-23,1837.79,1845.66,1828.44,1833.56,1833.56,
2024-09-24,1826.96,1851.23,1826.96,1838.87,1838.87,
2024-09-25,1844.68,1846.65,1829.47,1841.28,1841.28,
2024-09-26,1841.28,1875.19,1837.84,1868.7,1868.7,
2024-09-27,1887.94,1928.64,1885.28,1918.21,1918.21,
2024-09-30,1918.51,1929.68,1890.99,1896.55,1896.55,
2024-10-01,1894.73,1904.48,1872.59,1889.91,1889.91,
2024-10-03,1871.06,1906.0,1866.38,1880.95,1880.95,
2024-10-04,1880.95,1921.7,1873.87,1880.17,1880.17,
2024-10-07,1880.17,1887.94,1858.51,1875.44,1875.44,
2024-10-08,1874.21,1891.39,1871.8,1887.15,1887.15,
2024-10-09,1864.91,1916.54,1864.86,1900.64,1900.64,
2024-10-10,1899.41,1907.63,1854.42,1858.21,1858.21,
2024-10-11,1869.29,1879.48,1860.92,1872.19,1872.19,
2024-10-14,1873.23,1885.78,1865.45,1879.87,1879.87,
2024-10-15,1887.99,1890.35,1865.01,1868.75,1868.75,
2024-10-16,1879.08,1884.74,1857.48,1868.8,1868.8,
2024-10-17,1893.45,1893.55,1850.24,1859.99,1859.99,
2024-10-18,1870.27,1887.89,1843.4,1880.46,1880.46,
2024-10-21,1888.78,1890.5,1860.97,1867.32,1867.32,
2024-10-22,1862.4,1876.18,1851.57,1858.02,1858.02,
2024-10-23,1850.63,1859.99,1803.34,1810.57,1810.57,
2024-10-24,1801.37,1830.46,1800.83,1819.97,1819.97,
2024-10-25,1827.75,1846.25,1821.15,1831.29,1831.29,
2024-10-28,1834.05,1886.02,1806.29,1873.13,1873.13,
2024-10-29,1891.93,1892.62,1832.87,1842.32,1842.32,
2024-10-30,1839.27,1851.47,1791.52,1823.12,1823.12,
2024-10-31,1830.9,1843.2,1813.28,1819.97,1819.97,
2024-11-01,1830.9,1835.77,1802.89,1829.32,1829.32,
2024-11-04,1816.13,1816.13,1732.56,1780.6,1780.6,
2024-11-05,1776.76,1804.32,1771.3,1775.38,1775.38,
2024-11-06,1787.14,1811.21,1774.0,1798.86,1798.86,
2024-11-07,1816.13,1816.13,1750.97,1762.93,1762.93,
2024-11-08,1771.64,1786.65,1762.93,1781.29,1781.29,
2024-11-11,1788.96,1789.21,1763.91,1766.52,1766.52,
2024-11-12,1773.71,1796.45,1767.01,1772.67,1772.67,
2024-11-13,1762.98,1769.18,1742.75,1751.17,1751.17,
2024-11-14,1751.85,1767.9,1735.56,1740.53,1740.53,
2024-11-18,1770.85,1770.85,1715.93,1720.4,1720.4,
2024-11-19,1702.98,1778.48,1702.93,1749.44,1749.44,
2024-11-21,1744.28,1763.42,1730.54,1752.15,1752.15,
2024-11-22,1757.07,1786.55,1740.39,1767.21,1767.21,
2024-11-25,1777.74,1801.37,1756.23,1770.75,1770.75,
2024-11-26,1778.48,1778.48,1725.77,1734.04,1734.04,
2024-11-27,1732.56,1750.77,1713.02,1722.08,1722.08,
2024-11-28,1722.08,1733.15,1696.44,1707.12,1707.12,
