date,open,high,low,close,adj_close,volume
2024-07-11,55.0,55.0,54.2,54.72,54.72,
2024-07-12,55.0,55.43,53.65,54.63,54.63,
2024-07-15,55.0,55.0,54.02,54.62,54.62,
2024-07-16,54.9,56.0,54.43,55.88,55.88,
2024-07-18,55.5,55.72,53.82,55.39,55.39,
2024-07-19,55.38,55.87,53.82,54.55,54.55,
2024-07-22,54.66,55.44,53.5,55.08,55.08,
2024-07-23,57.2,57.83,54.0,57.83,57.83,
2024-07-24,59.7,60.72,59.63,60.72,60.72,
2024-07-25,62.29,63.75,60.8,61.47,61.47,
2024-07-26,62.68,63.0,61.0,61.89,61.89,
2024-07-29,62.95,64.98,62.38,64.98,64.98,
2024-07-30,65.81,68.22,65.63,68.22,68.22,
2024-07-31,70.11,70.89,68.28,69.38,69.38,
2024-08-01,69.93,70.99,66.22,67.98,67.98,
2024-08-02,67.8,71.37,67.05,71.35,71.35,
2024-08-05,69.9,71.64,67.78,67.85,67.85,
2024-08-06,68.75,70.85,65.6,66.27,66.27,
2024-08-07,69.0,69.58,68.11,69.58,69.58,
2024-08-08,71.0,73.05,70.58,72.92,72.92,
2024-08-09,74.6,76.56,73.0,76.54,76.54,
2024-08-12,77.15,80.36,74.65,80.36,80.36,
2024-08-13,81.97,84.29,78.35,80.79,80.79,
2024-08-14,82.19,82.41,76.75,76.77,76.77,
2024-08-16,77.95,80.5,74.12,79.95,79.95,
2024-08-19,80.64,82.45,79.21,80.71,80.71,
2024-08-20,81.31,81.58,78.5,79.43,79.43,
2024-08-21,79.4,80.15,78.61,78.85,78.85,
2024-08-22,79.23,79.59,77.3,77.57,77.57,
2024-08-23,77.7,80.5,77.7,78.84,78.84,
2024-08-26,79.34,79.79,75.66,76.4,76.4,
2024-08-27,77.24,78.3,76.6,77.5,77.5,
2024-08-28,77.95,79.73,77.66,78.96,78.96,
2024-08-29,78.67,78.69,76.2,77.0,77.0,
2024-08-30,77.3,77.58,75.12,75.84,75.84,
2024-09-02,75.84,76.1,72.5,73.81,73.81,
2024-09-03,73.81,76.37,73.54,74.47,74.47,
2024-09-04,74.4,74.9,73.3,74.16,74.16,
2024-09-05,75.7,77.09,74.66,76.0,76.0,
2024-09-06,76.75,77.35,74.51,74.72,74.72,
2024-09-09,75.28,77.28,72.82,74.34,74.34,
2024-09-10,75.83,78.05,75.34,78.05,78.05,
2024-09-11,79.34,81.95,79.1,81.95,81.95,
