date,open,high,low,close,adj_close,volume
2024-07-11,1132.5,1135.31,1107.85,1113.65,1113.65,1883264
2024-07-12,1117.2,1135.9,1112.32,1134.18,1134.18,1092749
2024-07-15,1134.42,1138.85,1121.92,1130.78,1130.78,1201063
2024-07-16,1130.78,1160.51,1124.83,1157.8,1157.8,2152821
2024-07-18,1142.37,1161.43,1137.51,1160.26,1160.26,2591377
2024-07-19,1166.68,1166.77,1150.15,1155.01,1155.01,1402279
2024-07-22,1152.09,1177.27,1149.42,1171.34,1171.34,1719663
2024-07-23,1181.26,1227.54,1166.92,1222.0,1222.0,5204189
2024-07-24,1222.09,1222.77,1183.59,1197.06,1197.06,3367339
2024-07-25,1197.79,1200.7,1175.28,1189.62,1189.62,2529080
2024-07-26,1196.98,1199.83,1186.49,1194.61,1194.61,802492
2024-07-29,1195.94,1202.83,1166.41,1182.56,1182.56,1944124
2024-07-30,1187.08,1192.4,1170.55,1176.16,1176.16,1331004
2024-07-31,1174.29,1174.29,1148.69,1170.3,1170.3,2994289
2024-08-01,1170.3,1196.93,1169.37,1189.4,1189.4,1675363
2024-08-02,1181.18,1200.86,1171.33,1174.93,1174.93,1262150
2024-08-05,1157.55,1194.56,1132.95,1180.59,1180.59,3718458
2024-08-06,1181.18,1193.09,1164.3,1167.0,1167.0,1304014
2024-08-07,1164.0,1188.81,1164.0,1180.78,1180.78,759323
2024-08-08,1173.3,1176.26,1155.58,1159.82,1159.82,1298997
2024-08-09,1170.25,1170.25,1161.49,1167.54,1167.54,489864
2024-08-12,1157.55,1165.77,1147.76,1152.44,1152.44,787584
2024-08-13,1154.31,1164.2,1149.29,1160.31,1160.31,785371
2024-08-14,1168.38,1168.48,1140.52,1149.24,1149.24,991108
2024-08-16,1149.68,1171.97,1149.68,1169.12,1169.12,831846
2024-08-19,1179.21,1181.18,1153.17,1158.93,1158.93,682374
2024-08-20,1164.39,1164.39,1148.45,1152.83,1152.83,673329
2024-08-21,1153.57,1162.48,1148.74,1159.08,1159.08,802420
2024-08-22,1165.48,1190.87,1162.47,1186.89,1186.89,2041300
2024-08-23,1192.99,1195.94,1176.16,1178.03,1178.03,852159
2024-08-26,1186.1,1202.68,1175.32,1200.91,1200.91,1045317
2024-08-27,1200.86,1201.4,1189.05,1190.63,1190.63,483025
2024-08-28,1191.02,1196.29,1177.83,1182.31,1182.31,779730
2024-08-29,1182.31,1189.94,1166.66,1179.65,1179.65,1062444
2024-08-30,1176.26,1188.56,1176.26,1181.32,1181.32,2550399
2024-09-02,1181.18,1207.75,1178.42,1180.88,1180.88,1852516
2024-09-03,1190.04,1199.24,1177.54,1180.19,1180.19,1884428
2024-09-04,1177.29,1180.14,1156.57,1176.21,1176.21,1633635
2024-09-05,1180.68,1187.92,1167.05,1170.01,1170.01,1062421
2024-09-06,1169.37,1173.06,1150.42,1155.44,1155.44,989655
2024-09-09,1155.44,1177.19,1151.55,1173.35,1173.35,1969830
2024-09-10,1181.18,1193.92,1177.49,1185.26,1185.26,1815998
2024-09-11,1190.92,1199.88,1182.41,1185.51,1185.51,1837013
2024-09-12,1191.02,1206.72,1180.54,1203.57,1203.57,2635403
2024-09-13,1206.77,1207.75,1189.1,1191.32,1191.32,1569211
2024-09-16,1200.86,1204.55,1188.07,1199.39,1199.39,984584
2024-09-17,1203.82,1214.94,1193.14,1201.11,1201.11,1450593
2024-09-18,1201.11,1204.21,1175.27,1182.01,1182.01,930896
2024-09-19,1188.07,1206.38,1185.16,1196.19,1196.19,2737652
2024-09-20,1200.86,1211.64,1194.32,1197.76,1197.76,3533125
2024-09-23,1202.83,1214.3,1191.27,1192.55,1192.55,2818001
2024-09-24,1196.93,1208.64,1191.07,1192.64,1192.64,3393528
2024-09-25,1194.86,1196.93,1163.51,1170.94,1170.94,2448744
2024-09-26,1176.26,1197.91,1172.47,1194.42,1194.42,2323705
2024-09-27,1194.91,1196.63,1180.19,1182.7,1182.7,2177204
2024-09-30,1176.21,1194.61,1176.21,1178.17,1178.17,1223096
2024-10-01,1178.17,1186.54,1172.91,1177.49,1177.49,892381
2024-10-03,1167.4,1171.33,1132.11,1134.67,1134.67,1912206
2024-10-04,1131.96,1136.64,1107.55,1112.67,1112.67,1773781
2024-10-07,1112.67,1124.73,1089.59,1093.97,1093.97,1542124
2024-10-08,1093.97,1106.76,1088.11,1101.5,1101.5,1738272
2024-10-09,1109.32,1114.24,1092.59,1100.27,1100.27,1322027
2024-10-10,1100.27,1111.29,1093.97,1096.67,1096.67,1176370
2024-10-11,1100.46,1104.74,1084.37,1095.64,1095.64,569469
2024-10-14,1102.43,1120.15,1088.26,1096.08,1096.08,513799
2024-10-15,1098.49,1101.45,1088.75,1097.76,1097.76,768815
2024-10-16,1097.71,1102.43,1084.81,1096.48,1096.48,738403
2024-10-17,1095.54,1099.48,1070.59,1073.05,1073.05,975432
2024-10-18,1073.05,1080.92,1055.23,1076.1,1076.1,953926
2024-10-21,1030.58,1042.83,970.88,1001.1,1001.1,11484692
2024-10-22,1007.25,1007.79,978.9,982.59,982.59,2742491
2024-10-23,984.31,1000.85,979.39,998.64,998.64,1936612
2024-10-24,1001.98,1006.07,979.29,980.82,980.82,2014701
2024-10-25,981.26,987.81,955.28,957.79,957.79,2258366
2024-10-28,957.79,967.93,948.88,960.59,960.59,2364081
2024-10-29,966.6,979.69,958.53,976.49,976.49,1256095
2024-10-30,975.7,1010.89,972.65,1006.66,1006.66,2048134
2024-10-31,1008.92,1011.78,981.46,986.82,986.82,1381633
2024-11-01,986.82,996.13,984.31,988.35,988.35,212772
2024-11-04,982.35,985.25,960.74,979.0,979.0,1427199
2024-11-05,969.65,997.21,969.65,985.05,985.05,1163041
2024-11-06,986.28,994.8,982.25,991.25,991.25,683591
2024-11-07,991.7,994.16,968.12,969.4,969.4,1144864
2024-11-08,973.49,981.66,960.1,977.37,977.37,973252
2024-11-11,977.62,982.3,957.98,960.64,960.64,1108758
2024-11-12,960.64,970.88,950.4,952.37,952.37,968082
2024-11-13,949.86,954.74,935.1,937.81,937.81,948691
2024-11-14,935.1,940.27,907.54,910.49,910.49,1950720
2024-11-18,915.22,927.72,901.63,916.15,916.15,2193819
2024-11-19,920.33,925.75,900.7,902.76,902.76,1844903
2024-11-21,902.76,907.54,886.37,897.4,897.4,1550618
2024-11-22,901.88,933.62,898.53,930.37,930.37,1427895
2024-11-25,935.1,947.65,931.75,940.71,940.71,2468847
2024-11-26,944.94,952.27,937.02,948.44,948.44,638057
2024-11-27,948.88,949.96,937.76,944.99,944.99,786040
2024-11-28,944.94,957.44,923.58,926.29,926.29,1834887
2024-11-29,927.03,949.27,926.73,943.61,943.61,1482253
2024-12-02,943.61,947.75,932.44,941.99,941.99,916920
2024-12-03,943.02,944.7,933.77,940.02,940.02,1346981
2024-12-04,941.0,948.73,934.75,946.12,946.12,1236061
2024-12-05,949.86,955.72,931.41,951.29,951.29,2043341
2024-12-06,954.78,961.08,948.98,959.16,959.16,1893714
2024-12-09,958.72,958.72,916.89,919.3,919.3,3679131
2024-12-10,923.78,923.88,910.69,912.21,912.21,1990270
2024-12-11,916.79,928.16,914.82,920.38,920.38,1356603
2024-12-12,922.3,923.73,901.63,906.8,906.8,1913140
2024-12-13,904.83,916.4,893.17,915.12,915.12,1278151
2024-12-16,915.12,919.99,902.62,905.91,905.91,848667
2024-12-17,905.91,907.54,885.88,890.71,890.71,1597108
2024-12-18,890.8,902.52,890.26,895.09,895.09,1154541
2024-12-19,893.76,903.6,886.97,892.87,892.87,2589001
2024-12-20,892.77,902.12,869.05,875.5,875.5,2441036
2024-12-23,880.91,891.79,876.04,888.59,888.59,1054695
2024-12-24,890.76,898.63,882.73,893.07,893.07,1038280
2024-12-26,893.76,897.05,884.5,886.82,886.82,595956
2024-12-27,887.85,897.1,884.9,893.71,893.71,870974
2024-12-30,893.71,897.69,884.6,889.33,889.33,1830048
2024-12-31,884.9,902.76,879.09,900.35,900.35,1120133
2025-01-01,898.68,908.03,896.71,905.86,905.86,641424
2025-01-02,906.55,916.64,898.73,915.07,915.07,1705632
2025-01-03,918.07,927.13,911.47,924.71,924.71,1832664
2025-01-06,920.33,940.02,914.53,932.05,932.05,2692614
2025-01-07,937.07,956.75,934.85,940.02,940.02,2413582
2025-01-08,940.02,948.73,930.62,946.52,946.52,1235226
2025-01-09,942.43,967.38,939.53,954.88,954.88,2130681
2025-01-10,950.06,964.63,943.96,957.54,957.54,1443387
2025-01-13,930.37,953.85,930.18,950.31,950.31,1876479
2025-01-14,950.55,961.67,943.56,948.04,948.04,1558290
2025-01-15,948.04,948.04,929.78,940.56,940.56,3190709
2025-01-16,944.94,944.94,911.52,922.99,922.99,2019985
2025-01-17,927.22,944.3,920.68,939.48,939.48,677451
2025-01-20,944.94,953.41,929.64,945.24,945.24,702848
2025-01-21,945.98,962.66,942.87,956.85,956.85,2281022
2025-01-22,961.58,966.3,943.12,952.23,952.23,1759236
2025-01-23,952.18,977.92,946.07,968.47,968.47,1235360
2025-01-24,973.24,988.25,970.93,976.78,976.78,2201712
2025-01-27,973.54,982.74,944.94,950.65,950.65,1806238
2025-01-28,955.72,963.89,942.97,946.17,946.17,1647098
2025-01-29,946.17,951.49,923.29,945.43,945.43,1479070
2025-01-30,950.8,959.71,938.05,951.54,951.54,1706978
2025-01-31,954.78,1015.02,952.72,1008.58,1008.58,5028986
2025-02-01,1009.91,1058.14,998.83,1053.07,1053.07,3077657
2025-02-03,1050.61,1057.6,1017.44,1020.04,1020.04,1298543
2025-02-04,1023.69,1027.43,1003.07,1017.98,1017.98,2251233
2025-02-05,1018.86,1019.01,994.7,999.37,999.37,1628436
2025-02-06,1004.39,1010.2,994.3,1007.3,1007.3,1172479
2025-02-07,1015.71,1015.71,996.67,1005.18,1005.18,941811
2025-02-10,1004.0,1020.59,999.87,1011.38,1011.38,1418998
2025-02-11,1013.75,1019.21,993.27,997.9,997.9,1204012
2025-02-12,1003.02,1022.7,994.21,1013.6,1013.6,1082392
2025-02-13,1013.6,1020.73,1000.9,1006.76,1006.76,1169309
2025-02-14,1011.78,1021.57,1002.03,1006.51,1006.51,2032391
2025-02-17,1005.97,1011.33,989.28,1007.2,1007.2,925113
2025-02-18,1003.11,1011.83,1002.57,1010.84,1010.84,789814
2025-02-19,1007.94,1016.65,1005.28,1009.22,1009.22,782204
2025-02-20,1004.0,1014.09,987.91,993.07,993.07,878748
2025-02-21,992.19,997.75,975.9,988.25,988.25,1330146
2025-02-24,974.47,995.24,974.47,986.68,986.68,1002365
2025-02-25,978.41,994.16,977.57,989.09,989.09,1663313
2025-02-27,989.24,994.31,982.59,992.19,992.19,1362115
2025-02-28,979.39,985.79,942.33,948.58,948.58,5082193
2025-03-03,948.58,954.78,933.52,938.94,938.94,1323481
2025-03-04,930.28,942.83,928.36,939.58,939.58,1916433
2025-03-05,933.62,950.8,933.13,941.79,941.79,2773457
2025-03-06,948.88,949.86,928.26,943.12,943.12,2421530
2025-03-07,941.99,952.23,935.25,946.96,946.96,945675
2025-03-10,944.94,954.1,938.05,942.28,942.28,1660207
2025-03-11,941.0,947.3,915.51,944.79,944.79,2748541
2025-03-12,936.72,946.66,928.55,930.62,930.62,1619168
2025-03-13,935.1,940.02,925.4,931.26,931.26,907521
2025-03-17,931.26,941.5,919.94,925.7,925.7,993027
2025-03-18,925.7,925.7,925.7,925.7,925.7,0
2025-03-19,932.64,944.79,930.42,934.95,934.95,1650477
2025-03-20,938.15,952.52,935.34,950.7,950.7,2403031
2025-03-21,952.82,956.9,941.59,946.12,946.12,3155551
2025-03-24,950.11,960.84,941.5,955.23,955.23,1475967
2025-03-25,963.64,964.53,943.96,955.47,955.47,1569597
2025-03-26,959.71,960.99,941.94,944.6,944.6,1399118
2025-03-27,947.89,965.02,937.56,958.28,958.28,2585170
2025-03-28,960.2,999.08,959.71,986.18,986.18,2313101
2025-04-01,987.27,998.64,973.73,976.69,976.69,1045548
2025-04-02,1002.03,1056.32,999.08,1046.03,1046.03,8717812
2025-04-03,1033.43,1058.38,1031.66,1054.2,1054.2,1595000
