date,open,high,low,close,adj_close,volume
2024-07-11,6820.16,6836.57,6733.07,6758.43,6758.43,
2024-07-12,6760.9,6930.61,6751.24,6863.43,6863.43,
2024-07-15,6876.5,6900.59,6803.64,6817.05,6817.05,
2024-07-16,6817.05,6842.45,6785.19,6798.01,6798.01,
2024-07-18,6797.82,6848.33,6743.42,6833.17,6833.17,
2024-07-19,6848.33,6872.52,6746.33,6780.87,6780.87,
2024-07-22,6779.31,6779.31,6705.53,6765.03,6765.03,
2024-07-23,6726.22,6866.93,6702.62,6794.08,6794.08,
2024-07-24,6751.19,6818.22,6726.9,6739.58,6739.58,
2024-07-25,6708.45,6738.22,6655.99,6673.19,6673.19,
2024-07-26,6674.45,6775.43,6674.45,6762.46,6762.46,
2024-07-29,6775.47,6809.47,6723.02,6731.96,6731.96,
2024-07-30,6736.62,6756.05,6718.16,6727.49,6727.49,
2024-07-31,6726.9,6790.05,6726.9,6784.7,6784.7,
2024-08-01,6799.76,6811.27,6721.42,6744.34,6744.34,
2024-08-02,6720.1,6741.48,6692.95,6713.35,6713.35,
2024-08-05,6635.79,6673.48,6537.48,6583.91,6583.91,
2024-08-06,6583.91,6691.45,6475.31,6504.46,6504.46,
2024-08-07,6556.91,6683.14,6523.88,6648.66,6648.66,
2024-08-08,6648.66,6667.65,6586.05,6624.42,6624.42,
2024-08-09,6682.22,6702.52,6600.62,6679.06,6679.06,
2024-08-12,6679.06,6690.96,6595.86,6638.9,6638.9,
2024-08-13,6638.9,6638.9,6532.29,6596.74,6596.74,
2024-08-14,6603.54,6644.34,6538.45,6632.44,6632.44,
2024-08-16,6632.58,6678.33,6562.74,6605.14,6605.14,
2024-08-19,6605.14,6771.59,6586.05,6729.33,6729.33,
2024-08-20,6729.33,6780.33,6703.59,6731.13,6731.13,
2024-08-21,6731.76,6792.91,6697.76,6728.36,6728.36,
2024-08-22,6748.96,6838.61,6722.05,6764.5,6764.5,
2024-08-23,6775.47,6934.78,6731.86,6885.39,6885.39,
2024-08-26,6944.5,7712.87,6899.81,7463.27,7463.27,
2024-08-27,7576.87,8820.26,7528.3,8714.77,8714.77,
2024-08-28,8645.41,8645.41,7943.09,7992.15,7992.15,
2024-08-29,7944.06,7991.66,7636.13,7695.82,7695.82,
2024-08-30,7732.35,8106.28,7723.75,7771.83,7771.83,
2024-09-02,7779.9,7819.72,7547.73,7572.89,7572.89,
2024-09-03,7585.57,7750.75,7547.73,7642.3,7642.3,
2024-09-04,7499.16,7589.41,7499.16,7526.99,7526.99,
2024-09-05,7565.31,7639.04,7485.76,7506.01,7506.01,
2024-09-06,7508.88,7632.68,7350.64,7372.35,7372.35,
2024-09-09,7372.88,7751.72,7275.74,7614.81,7614.81,
2024-09-10,7654.54,7794.47,7606.89,7626.12,7626.12,
2024-09-11,7654.59,7656.09,7479.73,7496.35,7496.35,
2024-09-12,7535.49,7644.87,7530.25,7565.61,7565.61,
2024-09-13,7601.16,7606.02,7474.88,7494.21,7494.21,
2024-09-16,7528.3,7545.79,7457.39,7468.81,7468.81,
2024-09-17,7468.81,7561.91,7432.18,7487.12,7487.12,
2024-09-18,7487.51,7499.11,7402.02,7420.97,7420.97,
2024-09-19,7462.25,7535.1,7282.25,7307.94,7307.94,
2024-09-20,7353.45,7711.9,7344.13,7634.57,7634.57,
2024-09-23,7659.49,7749.78,7579.11,7608.93,7608.93,
2024-09-24,7625.44,7734.24,7566.19,7693.68,7693.68,
2024-09-25,7722.58,7722.58,7576.87,7605.14,7605.14,
2024-09-26,7603.1,7698.1,7576.87,7610.19,7610.19,
2024-09-27,7635.16,7909.24,7382.6,7587.95,7587.95,
2024-09-30,7557.45,7575.9,7470.99,7503.49,7503.49,
2024-10-01,7504.02,7584.6,7504.02,7543.12,7543.12,
2024-10-03,7469.1,7511.79,7353.45,7372.78,7372.78,
2024-10-04,7371.91,7410.67,7237.86,7359.38,7359.38,
2024-10-07,7363.17,7409.75,7141.69,7218.09,7218.09,
2024-10-08,7217.46,7381.62,7168.89,7334.12,7334.12,
2024-10-09,7367.05,7552.59,7324.65,7396.49,7396.49,
2024-10-10,7408.82,7797.38,7408.82,7537.34,7537.34,
2024-10-11,7576.87,7756.58,7436.22,7455.6,7455.6,
2024-10-14,7507.32,7527.33,7343.84,7356.85,7356.85,
2024-10-15,7358.31,7413.05,7241.74,7255.44,7255.44,
2024-10-16,7236.89,7332.96,7159.17,7188.8,7188.8,
2024-10-17,7208.13,7332.08,7120.95,7154.42,7154.42,
2024-10-18,7149.46,7151.45,7066.89,7119.06,7119.06,
2024-10-21,7154.32,7270.88,7082.34,7197.25,7197.25,
2024-10-22,7198.03,7222.32,6897.92,6922.64,6922.64,
2024-10-23,6933.76,7063.01,6817.05,7010.7,7010.7,
2024-10-24,7040.37,7040.37,6751.19,6767.12,6767.12,
2024-10-25,6790.04,6846.82,6674.06,6790.68,6790.68,
2024-10-28,6865.81,6928.95,6806.56,6858.04,6858.04,
2024-10-29,6877.47,6886.21,6769.65,6837.59,6837.59,
2024-10-30,6828.9,6927.4,6769.65,6897.87,6897.87,
2024-10-31,6896.9,6897.87,6799.76,6820.98,6820.98,
2024-11-01,6866.79,6929.93,6828.9,6904.18,6904.18,
2024-11-04,6942.51,6942.51,6769.65,6833.85,6833.85,
2024-11-05,6838.61,6876.35,6792.96,6830.46,6830.46,
2024-11-06,6828.9,7057.18,6828.85,7025.46,7025.46,
2024-11-07,7139.02,7178.6,6932.5,6959.99,6959.99,
2024-11-08,6954.55,7031.48,6626.51,6742.25,6742.25,
2024-11-11,6742.25,6810.49,6308.23,6338.25,6338.25,
2024-11-12,6372.35,6503.44,6297.84,6445.69,6445.69,
2024-11-13,6440.34,6527.67,6197.11,6233.73,6233.73,
2024-11-14,6260.93,6324.75,6156.89,6192.2,6192.2,
2024-11-18,6221.83,6377.2,6106.18,6271.32,6271.32,
2024-11-19,6306.49,6409.26,6288.66,6361.66,6361.66,
2024-11-21,6367.49,6427.91,6273.26,6310.27,6310.27,
2024-11-22,6314.11,6430.63,6311.73,6398.04,6398.04,
2024-11-25,6498.63,6678.33,6421.06,6597.13,6597.13,
2024-11-26,6652.11,6682.22,6497.66,6521.7,6521.7,
2024-11-27,6543.31,6635.54,6479.2,6561.77,6561.77,
2024-11-28,6554.97,6608.93,6514.17,6563.71,6563.71,
2024-11-29,6576.24,6585.37,6463.95,6479.93,6479.93,
2024-12-02,6479.93,6581.2,6423.83,6520.92,6520.92,
2024-12-03,6556.96,6972.67,6547.2,6895.49,6895.49,
2024-12-04,6920.45,6993.07,6858.43,6934.73,6934.73,
2024-12-05,6994.04,7260.2,6946.44,7156.99,7156.99,
2024-12-06,7174.28,7216.49,7114.93,7184.87,7184.87,
2024-12-09,7188.32,7246.6,7110.61,7145.58,7145.58,
2024-12-10,7115.46,7204.98,7115.46,7191.38,7191.38,
2024-12-11,7198.03,7202.89,7117.06,7139.99,7139.99,
2024-12-12,7149.51,7235.87,7078.06,7110.31,7110.31,
2024-12-13,7104.78,7201.92,7005.65,7153.73,7153.73,
2024-12-16,7161.6,7211.97,7108.03,7146.55,7146.55,
2024-12-17,7141.69,7188.32,7025.71,7065.58,7065.58,
2024-12-18,7057.18,7152.86,7008.17,7023.71,7023.71,
2024-12-19,6945.47,7099.34,6892.09,7028.33,7028.33,
2024-12-20,7092.2,7115.46,6702.62,6723.6,6723.6,
2024-12-23,6836.38,6836.38,6629.76,6703.35,6703.35,
2024-12-24,6731.76,6814.33,6632.73,6661.58,6661.58,
2024-12-26,6668.62,6720.59,6570.9,6698.93,6698.93,
2024-12-27,6722.05,6775.28,6635.59,6689.36,6689.36,
2024-12-30,6684.16,6766.44,6619.13,6727.44,6727.44,
2024-12-31,6708.74,6727.44,6531.75,6602.13,6602.13,
2025-01-01,6615.68,6644.34,6519.61,6550.84,6550.84,
2025-01-02,6550.84,6586.0,6322.03,6513.44,6513.44,
2025-01-03,6518.05,6566.43,6418.0,6457.39,6457.39,
2025-01-06,6498.63,6518.93,6285.07,6300.9,6300.9,
2025-01-07,6352.92,6389.59,6238.78,6355.2,6355.2,
2025-01-08,6386.92,6403.28,6156.7,6288.32,6288.32,
2025-01-09,6338.35,6445.2,6241.21,6255.73,6255.73,
2025-01-10,5779.8,6022.64,5751.62,5828.95,5828.95,
2025-01-13,5804.08,5914.77,5750.65,5771.64,5771.64,
2025-01-14,5789.41,5949.79,5789.41,5910.74,5910.74,
2025-01-15,5919.58,5959.55,5854.2,5940.8,5940.8,
2025-01-16,5964.36,6066.55,5954.65,6007.34,6007.34,
2025-01-17,6012.93,6072.04,5974.07,6034.4,6034.4,
2025-01-20,6040.13,6050.86,5946.34,6022.45,6022.45,
2025-01-21,6042.27,6095.5,5964.36,5977.91,5977.91,
2025-01-22,5993.5,6001.27,5887.33,5990.93,5990.93,
2025-01-23,5991.07,6241.21,5974.07,6172.19,6172.19,
2025-01-24,6172.19,6210.07,6110.07,6190.4,6190.4,
2025-01-27,6139.16,6146.54,5952.85,5979.95,5979.95,
2025-01-28,5974.07,6026.43,5904.18,5950.18,5950.18,
2025-01-29,5953.87,6043.97,5920.6,5997.24,5997.24,
2025-01-30,6017.79,6038.14,5915.79,5960.18,5960.18,
2025-01-31,5969.22,6168.35,5954.74,6154.75,6154.75,
2025-02-01,6187.78,6216.92,6089.72,6198.71,6198.71,
2025-02-03,6148.92,6236.35,6071.89,6213.28,6213.28,
2025-02-04,6231.49,6282.01,6132.07,6188.85,6188.85,
2025-02-05,6188.85,6259.62,6163.54,6201.87,6201.87,
