date,open,high,low,close,adj_close,volume
2024-07-11,436.38,441.9,433.55,437.82,437.82,
2024-07-12,439.22,439.56,429.82,431.51,431.51,
2024-07-15,433.85,440.01,428.48,436.78,436.78,
2024-07-16,437.82,442.64,433.55,434.34,434.34,
2024-07-18,438.32,438.42,426.49,427.43,427.43,
2024-07-19,427.43,427.43,410.43,411.73,411.73,
2024-07-22,412.57,422.51,407.2,421.57,421.57,
2024-07-23,426.14,426.14,397.66,414.01,414.01,
2024-07-24,414.01,422.51,412.82,417.49,417.49,
2024-07-25,413.91,423.26,410.24,420.87,420.87,
2024-07-26,429.47,443.59,427.63,442.1,442.1,
2024-07-29,444.33,447.37,438.42,439.66,439.66,
2024-07-30,439.66,446.57,437.43,441.5,441.5,
2024-07-31,443.79,452.34,442.4,450.95,450.95,
2024-08-01,452.29,463.12,451.39,461.68,461.68,
2024-08-02,457.61,468.24,449.7,457.66,457.66,
2024-08-05,443.39,450.25,427.58,432.26,432.26,
2024-08-06,435.44,446.77,430.96,434.14,434.14,
2024-08-07,441.4,442.69,423.61,427.78,427.78,
2024-08-08,429.97,429.97,414.56,415.5,415.5,
2024-08-09,422.41,422.51,413.62,415.31,415.31,
2024-08-12,414.66,420.43,408.64,415.7,415.7,
2024-08-13,417.54,417.54,404.02,405.86,405.86,
2024-08-14,407.6,410.48,400.74,403.08,403.08,
2024-08-16,406.51,411.93,404.37,411.23,411.23,
2024-08-19,414.26,418.44,412.62,416.35,416.35,
2024-08-20,415.7,421.42,414.26,419.83,419.83,
2024-08-21,424.8,424.8,419.18,422.02,422.02,
2024-08-22,423.31,423.31,419.08,420.48,420.48,
2024-08-23,420.13,420.67,414.76,415.5,415.5,
2024-08-26,417.54,421.02,414.56,420.03,420.03,
2024-08-27,420.03,426.94,418.54,425.64,425.64,
2024-08-28,427.48,431.66,426.09,428.88,428.88,
2024-08-29,428.88,430.57,422.22,428.38,428.38,
2024-08-30,429.87,434.84,428.83,432.11,432.11,
2024-09-02,433.3,434.19,426.99,430.67,430.67,
2024-09-03,430.96,432.11,428.78,431.41,431.41,
2024-09-04,427.19,427.19,417.19,418.44,418.44,
2024-09-05,418.64,421.52,416.7,418.44,418.44,
2024-09-06,417.54,418.83,411.93,414.56,414.56,
2024-09-09,414.56,416.7,408.89,415.41,415.41,
2024-09-10,419.93,444.53,418.04,442.74,442.74,
2024-09-11,443.29,446.37,430.27,433.1,433.1,
2024-09-12,435.98,440.81,433.55,437.33,437.33,
2024-09-13,443.39,446.97,438.47,439.22,439.22,
2024-09-16,440.91,449.26,437.92,440.76,440.76,
2024-09-17,440.76,448.26,436.98,442.5,442.5,
2024-09-18,442.89,444.48,435.39,438.02,438.02,
2024-09-19,440.11,447.96,428.28,437.03,437.03,
2024-09-20,439.22,443.89,436.78,441.55,441.55,
2024-09-23,442.35,457.31,441.9,451.79,451.79,
2024-09-24,452.88,471.48,450.7,466.01,466.01,
2024-09-25,466.01,468.14,457.71,465.36,465.36,
2024-09-26,467.25,475.05,462.83,473.26,473.26,
2024-09-27,479.68,491.95,474.71,482.66,482.66,
2024-09-30,482.56,486.14,470.58,479.78,479.78,
2024-10-01,483.95,488.33,476.6,478.43,478.43,
2024-10-03,466.31,475.15,461.78,469.04,469.04,
2024-10-04,468.74,471.67,457.91,463.92,463.92,
2024-10-07,465.16,466.16,436.13,438.72,438.72,
2024-10-08,439.02,458.25,437.03,454.23,454.23,
2024-10-09,457.26,467.65,449.95,458.15,458.15,
2024-10-10,457.31,475.1,453.53,462.93,462.93,
2024-10-11,462.93,464.62,456.66,458.45,458.45,
2024-10-14,461.09,462.08,455.67,459.6,459.6,
2024-10-15,460.79,471.62,458.35,460.79,460.79,
2024-10-16,460.54,466.75,454.62,457.76,457.76,
2024-10-17,458.3,459.89,446.37,447.57,447.57,
2024-10-18,447.27,453.83,440.46,450.9,450.9,
2024-10-21,452.88,462.83,447.02,451.14,451.14,
2024-10-22,451.14,451.44,431.46,433.3,433.3,
2024-10-23,433.95,440.56,427.88,435.14,435.14,
2024-10-24,434.54,438.67,429.52,435.44,435.44,
2024-10-25,435.44,436.53,412.07,419.63,419.63,
2024-10-28,421.02,426.99,412.57,423.21,423.21,
2024-10-29,425.5,426.04,412.82,422.91,422.91,
2024-10-30,423.56,430.76,419.38,424.5,424.5,
2024-10-31,427.98,442.2,418.34,437.48,437.48,
2024-11-01,441.4,445.83,439.51,442.84,442.84,
2024-11-04,443.64,444.19,423.56,426.54,426.54,
2024-11-05,426.49,432.31,423.36,431.56,431.56,
2024-11-06,434.54,449.36,433.95,446.67,446.67,
2024-11-07,448.86,452.09,440.41,442.3,442.3,
2024-11-08,444.19,444.19,427.48,430.22,430.22,
2024-11-11,429.42,435.19,425.55,428.98,428.98,
2024-11-12,429.52,433.8,410.09,411.73,411.73,
2024-11-13,410.58,413.76,394.63,397.01,397.01,
2024-11-14,399.6,409.44,398.16,402.28,402.28,
2024-11-18,405.61,408.5,395.27,402.33,402.33,
2024-11-19,403.87,415.36,403.87,405.71,405.71,
2024-11-21,409.09,410.98,395.07,405.66,405.66,
2024-11-22,412.47,414.46,406.86,411.33,411.33,
2024-11-25,418.98,420.97,407.6,409.94,409.94,
2024-11-26,411.48,412.97,405.61,407.9,407.9,
2024-11-27,409.39,416.05,406.86,415.21,415.21,
2024-11-28,415.9,418.54,409.69,412.07,412.07,
2024-11-29,412.07,415.06,408.05,411.73,411.73,
2024-12-02,410.58,416.45,409.59,414.06,414.06,
2024-12-03,415.95,427.38,415.16,426.04,426.04,
2024-12-04,426.04,429.47,421.82,423.16,423.16,
2024-12-05,423.16,430.76,417.05,428.33,428.33,
2024-12-06,431.26,439.91,430.72,437.13,437.13,
2024-12-09,440.41,445.08,436.53,438.17,438.17,
2024-12-10,439.36,440.06,429.52,432.65,432.65,
2024-12-11,433.05,436.03,431.76,432.26,432.26,
2024-12-12,432.45,434.19,426.49,431.01,431.01,
2024-12-13,429.47,429.87,417.84,425.94,425.94,
2024-12-16,425.45,427.88,421.87,423.01,423.01,
2024-12-17,422.91,425.5,416.85,418.44,418.44,
2024-12-18,418.44,418.54,410.58,412.57,412.57,
2024-12-19,407.6,411.48,404.32,410.19,410.19,
2024-12-20,410.19,412.97,397.71,398.75,398.75,
2024-12-23,402.48,403.62,394.53,397.56,397.56,
2024-12-24,398.5,402.88,395.92,397.06,397.06,
2024-12-26,398.65,405.61,395.37,401.93,401.93,
2024-12-27,403.62,405.61,395.82,396.67,396.67,
2024-12-30,397.26,397.96,384.74,387.47,387.47,
2024-12-31,387.22,392.69,383.24,390.1,390.1,
2025-01-01,390.2,391.89,387.02,390.05,390.05,
2025-01-02,389.71,394.68,384.84,393.19,393.19,
2025-01-03,393.68,400.59,393.14,394.33,394.33,
2025-01-06,394.68,394.68,374.79,376.43,376.43,
2025-01-07,377.78,382.2,375.34,376.53,376.53,
2025-01-08,377.28,378.22,369.87,371.86,371.86,
2025-01-09,371.86,373.8,363.86,365.0,365.0,
2025-01-10,365.0,366.34,352.97,354.27,354.27,
2025-01-13,347.95,352.77,336.42,337.96,337.96,
2025-01-14,339.0,356.05,339.0,354.86,354.86,
2025-01-15,357.89,369.43,353.87,363.31,363.31,
2025-01-16,369.62,371.81,365.9,366.74,366.74,
2025-01-17,366.29,373.2,363.16,371.41,371.41,
2025-01-20,372.66,374.0,368.83,372.26,372.26,
2025-01-21,372.26,373.9,363.06,363.76,363.76,
2025-01-22,365.85,366.49,350.09,356.75,356.75,
2025-01-23,355.41,363.76,353.02,360.63,360.63,
2025-01-24,360.63,368.53,360.08,361.27,361.27,
2025-01-27,358.89,358.89,348.05,349.84,349.84,
2025-01-28,353.42,354.02,340.94,344.32,344.32,
2025-01-29,344.32,350.39,342.98,348.9,348.9,
2025-01-30,349.94,354.17,346.36,350.09,350.09,
2025-01-31,350.93,364.8,348.05,362.37,362.37,
2025-02-01,365.75,376.78,359.24,366.24,366.24,
2025-02-03,364.85,364.85,349.44,352.82,352.82,
2025-02-04,356.9,361.47,351.68,359.93,359.93,
2025-02-05,364.31,372.81,360.38,364.06,364.06,
2025-02-06,368.63,369.67,360.38,363.21,363.21,
2025-02-07,363.41,370.62,361.72,364.95,364.95,
2025-02-10,364.9,366.79,354.76,356.1,356.1,
2025-02-11,356.1,356.6,345.12,347.06,347.06,
2025-02-12,346.96,348.85,337.02,346.06,346.06,
2025-02-13,349.34,355.36,344.37,345.81,345.81,
2025-02-14,347.01,349.1,330.06,335.18,335.18,
2025-02-17,335.13,336.52,324.44,335.23,335.23,
2025-02-18,335.23,338.81,327.72,337.61,337.61,
2025-02-19,335.03,347.95,332.74,345.62,345.62,
2025-02-20,345.96,358.89,342.53,355.86,355.86,
2025-02-21,355.86,360.33,351.63,355.11,355.11,
