date,open,high,low,close,adj_close,volume
2024-07-11,166.13,167.05,164.83,165.07,165.07,
2024-07-12,166.32,166.51,164.18,164.85,164.85,
2024-07-15,164.85,165.14,162.02,162.96,162.96,
2024-07-16,163.98,165.95,162.9,163.26,163.26,
2024-07-18,163.79,163.79,160.69,162.57,162.57,
2024-07-19,162.22,162.3,153.62,154.17,154.17,
2024-07-22,154.79,157.04,152.85,156.67,156.67,
2024-07-23,157.92,158.28,151.47,156.37,156.37,
2024-07-24,156.37,158.33,155.56,156.66,156.66,
2024-07-25,154.89,154.89,153.32,153.8,153.8,
2024-07-26,155.13,159.24,154.6,158.85,158.85,
2024-07-29,160.95,160.95,158.63,159.16,159.16,
2024-07-30,159.19,161.53,157.63,160.33,160.33,
2024-07-31,162.5,162.71,159.82,161.56,161.56,
2024-08-01,164.37,165.1,157.23,159.34,159.34,
2024-08-02,157.33,157.52,151.19,154.61,154.61,
2024-08-05,150.16,150.49,145.6,146.41,146.41,
2024-08-06,147.76,150.3,146.2,146.89,146.89,
2024-08-07,150.2,150.78,148.44,150.35,150.35,
2024-08-08,149.9,149.94,146.58,146.86,146.86,
2024-08-09,149.51,149.51,147.8,148.35,148.35,
2024-08-12,147.56,149.9,146.46,148.59,148.59,
2024-08-13,148.63,149.46,145.12,145.49,145.49,
2024-08-14,146.48,146.48,139.11,142.84,142.84,
2024-08-16,144.63,146.58,143.12,146.11,146.11,
2024-08-19,147.41,150.78,146.96,150.45,150.45,
2024-08-20,152.15,152.15,149.32,150.42,150.42,
2024-08-21,149.51,150.67,148.31,148.46,148.46,
2024-08-22,149.03,150.83,149.03,150.63,150.63,
2024-08-23,150.49,150.87,149.07,150.69,150.69,
2024-08-26,151.09,152.84,150.2,152.15,152.15,
2024-08-27,152.25,152.93,151.08,151.17,151.17,
2024-08-28,151.17,151.47,149.56,150.2,150.2,
2024-08-29,149.72,150.06,147.75,149.48,149.48,
2024-08-30,149.51,151.71,149.0,149.28,149.28,
2024-09-02,150.39,150.39,148.67,149.4,149.4,
2024-09-03,149.36,149.95,148.55,148.68,148.68,
2024-09-04,146.09,148.71,145.76,147.73,147.73,
2024-09-05,147.56,149.31,147.56,148.26,148.26,
2024-09-06,148.48,149.42,146.24,147.77,147.77,
2024-09-09,147.46,147.46,144.68,146.06,146.06,
2024-09-10,147.07,148.14,145.42,146.01,146.01,
2024-09-11,146.48,146.78,144.26,144.79,144.79,
2024-09-12,148.54,148.97,145.36,148.28,148.28,
2024-09-13,149.3,151.86,149.02,149.99,149.99,
2024-09-16,151.47,152.11,150.0,150.7,150.7,
2024-09-17,150.49,150.73,148.8,149.34,149.34,
2024-09-18,148.93,149.49,146.2,147.17,147.17,
2024-09-19,148.43,148.72,144.42,146.13,146.13,
2024-09-20,147.56,149.85,147.22,148.56,148.56,
2024-09-23,150.86,150.87,149.32,150.48,150.48,
2024-09-24,151.61,157.82,151.32,156.87,156.87,
2024-09-25,157.82,158.98,155.88,157.98,157.98,
2024-09-26,158.31,162.12,156.82,161.84,161.84,
2024-09-27,163.19,165.16,162.11,162.75,162.75,
2024-09-30,163.68,166.3,163.45,164.71,164.71,
2024-10-01,165.63,165.63,161.34,163.22,163.22,
2024-10-03,161.73,166.12,160.77,163.17,163.17,
2024-10-04,163.19,165.25,160.26,162.95,162.95,
2024-10-07,163.29,164.12,158.63,160.61,160.61,
2024-10-08,159.29,159.86,153.13,155.88,155.88,
2024-10-09,155.88,158.5,154.51,155.44,155.44,
2024-10-10,154.69,157.51,153.03,156.08,156.08,
2024-10-11,155.67,160.05,155.57,157.0,157.0,
2024-10-14,158.19,159.66,154.44,154.71,154.71,
2024-10-15,155.87,155.89,151.52,152.08,152.08,
2024-10-16,151.65,152.98,150.51,151.7,151.7,
2024-10-17,152.1,152.74,148.63,148.93,148.93,
2024-10-18,148.93,152.64,147.66,151.85,151.85,
2024-10-21,152.54,154.33,151.07,151.5,151.5,
2024-10-22,151.37,151.37,146.68,146.96,146.96,
2024-10-23,146.87,148.49,144.68,145.39,145.39,
2024-10-24,146.08,146.42,144.64,145.58,145.58,
2024-10-25,145.6,146.09,141.14,142.54,142.54,
2024-10-28,142.67,146.32,141.43,145.98,145.98,
2024-10-29,146.44,147.02,143.21,146.64,146.64,
2024-10-30,144.72,147.51,144.72,145.58,145.58,
