date,open,high,low,close,adj_close,volume
2024-07-11,999.04,1007.02,996.24,999.19,999.19,693392
2024-07-12,1003.67,1026.8,999.24,1017.35,1017.35,2878465
2024-07-15,1023.85,1027.69,1006.13,1009.43,1009.43,1098815
2024-07-16,1011.4,1016.96,996.53,999.49,999.49,802135
2024-07-18,1003.42,1004.16,992.35,993.48,993.48,655960
2024-07-19,982.5,990.18,974.63,981.72,981.72,1176579
2024-07-22,981.72,982.5,975.12,977.29,977.29,594894
2024-07-23,979.55,991.36,967.74,981.17,981.17,761466
2024-07-24,979.55,992.0,978.57,981.77,981.77,366520
2024-07-25,980.53,986.44,978.57,984.03,984.03,382077
2024-07-26,984.47,988.41,981.62,983.49,983.49,736307
2024-07-29,986.44,991.71,983.54,984.96,984.96,400954
2024-07-30,988.9,988.9,982.5,983.54,983.54,434066
2024-07-31,984.47,988.41,983.44,983.83,983.83,323172
2024-08-01,985.46,988.41,978.57,979.94,979.94,578837
2024-08-02,977.58,981.72,975.42,976.6,976.6,355341
2024-08-05,965.77,970.2,955.04,961.14,961.14,1058840
2024-08-06,961.09,978.52,960.85,967.79,967.79,656501
2024-08-07,974.63,986.39,967.83,983.64,983.64,564967
2024-08-08,984.47,988.71,976.79,983.29,983.29,445571
2024-08-09,989.1,994.27,972.17,974.28,974.28,391532
2024-08-12,969.71,979.45,965.13,977.68,977.68,386111
2024-08-13,977.58,981.42,972.66,979.01,979.01,438966
2024-08-14,978.61,980.53,964.78,976.99,976.99,347203
2024-08-16,979.5,996.29,977.73,983.54,983.54,1201484
2024-08-19,991.71,991.71,980.53,983.19,983.19,344295
2024-08-20,985.46,1023.85,982.5,988.8,988.8,3447339
2024-08-21,991.36,1032.47,984.92,1009.53,1009.53,5021319
2024-08-22,1020.41,1028.77,986.84,991.56,991.56,3583853
2024-08-23,997.22,1038.42,997.22,1020.85,1020.85,17489571
2024-08-26,1036.65,1048.36,1023.85,1032.37,1032.37,9134874
2024-08-27,1021.88,1089.81,1005.69,1082.33,1082.33,23579885
2024-08-28,1089.81,1097.69,1058.36,1062.05,1062.05,11550853
2024-08-29,1063.23,1072.98,1040.98,1044.82,1044.82,4381449
2024-08-30,1052.4,1063.23,1037.83,1049.05,1049.05,5294901
2024-09-02,1058.31,1059.29,1031.73,1034.63,1034.63,3261188
2024-09-03,1040.59,1057.62,1029.32,1052.2,1052.2,4403973
2024-09-04,1041.57,1051.42,1035.27,1039.8,1039.8,2328712
2024-09-05,1046.49,1071.11,1041.82,1058.21,1058.21,4763630
