date,open,high,low,close,adj_close,volume
2024-07-11,1395.86,1395.86,1363.0,1381.3,1381.3,
2024-07-12,1394.92,1429.72,1381.73,1423.34,1423.34,
2024-07-15,1437.57,1444.57,1411.0,1417.66,1417.66,
2024-07-16,1421.73,1436.53,1408.25,1433.88,1433.88,
2024-07-18,1425.18,1461.78,1423.29,1455.78,1455.78,
2024-07-19,1481.45,1483.32,1431.84,1436.56,1436.56,
2024-07-22,1425.53,1450.48,1421.82,1440.56,1440.56,
2024-07-23,1436.17,1447.44,1406.31,1438.49,1438.49,
2024-07-24,1438.49,1483.37,1419.22,1476.92,1476.92,
2024-07-25,1468.92,1490.64,1449.56,1473.74,1473.74,
2024-07-26,1473.74,1487.85,1391.14,1484.48,1484.48,
2024-07-29,1488.81,1497.53,1454.52,1469.26,1469.26,
2024-07-30,1464.11,1494.88,1464.11,1481.49,1481.49,
2024-07-31,1481.45,1504.32,1478.56,1497.24,1497.24,
2024-08-01,1497.24,1511.31,1481.06,1487.66,1487.66,
2024-08-02,1469.4,1477.16,1447.06,1452.26,1452.26,
2024-08-05,1415.95,1429.67,1374.29,1402.8,1402.8,
2024-08-06,1411.61,1447.73,1411.61,1428.85,1428.85,
2024-08-07,1445.61,1459.53,1416.91,1419.46,1419.46,
2024-08-08,1415.95,1433.43,1408.24,1412.53,1412.53,
2024-08-09,1430.35,1453.75,1426.11,1451.3,1451.3,
2024-08-12,1451.3,1468.44,1434.63,1456.88,1456.88,
2024-08-13,1452.84,1467.62,1440.17,1448.12,1448.12,
2024-08-14,1456.4,1473.21,1449.66,1468.35,1468.35,
2024-08-16,1501.09,1530.57,1474.99,1527.01,1527.01,
2024-08-19,1529.46,1543.77,1517.9,1536.01,1536.01,
2024-08-20,1542.13,1573.58,1536.59,1568.71,1568.71,
2024-08-21,1556.58,1568.14,1543.09,1545.64,1545.64,
2024-08-22,1546.03,1561.06,1537.31,1552.0,1552.0,
2024-08-23,1553.74,1557.49,1534.47,1539.62,1539.62,
2024-08-26,1550.8,1582.58,1549.83,1579.84,1579.84,
2024-08-27,1583.55,1584.51,1562.45,1564.86,1564.86,
2024-08-28,1560.43,1603.78,1556.77,1567.51,1567.51,
2024-08-29,1560.48,1595.35,1560.48,1586.77,1586.77,
2024-08-30,1586.44,1602.57,1571.12,1576.32,1576.32,
2024-09-02,1576.32,1600.89,1575.41,1586.1,1586.1,
2024-09-03,1578.73,1598.24,1572.08,1583.64,1583.64,
2024-09-04,1560.19,1589.33,1549.74,1584.8,1584.8,
2024-09-05,1592.22,1596.94,1572.86,1579.21,1579.21,
2024-09-06,1579.21,1590.48,1554.6,1563.56,1563.56,
2024-09-09,1563.51,1571.31,1516.84,1521.13,1521.13,
2024-09-10,1533.46,1554.36,1520.46,1548.29,1548.29,
2024-09-11,1552.72,1567.17,1539.34,1543.67,1543.67,
2024-09-12,1560.33,1588.94,1546.94,1582.82,1582.82,
2024-09-13,1589.23,1598.86,1577.77,1595.15,1595.15,
2024-09-16,1590.39,1608.59,1585.96,1588.36,1588.36,
2024-09-17,1588.36,1610.52,1580.75,1590.82,1590.82,
2024-09-18,1587.54,1587.54,1530.57,1546.37,1546.37,
2024-09-19,1560.43,1575.22,1528.69,1536.69,1536.69,
2024-09-20,1548.87,1569.39,1524.21,1562.4,1562.4,
2024-09-23,1565.2,1571.03,1535.87,1548.05,1548.05,
2024-09-24,1542.66,1583.07,1539.34,1576.9,1576.9,
2024-09-25,1576.9,1582.68,1531.58,1543.81,1543.81,
2024-09-26,1550.8,1560.29,1537.31,1547.86,1547.86,
2024-09-27,1565.25,1603.58,1545.55,1550.08,1550.08,
2024-09-30,1546.94,1546.94,1510.2,1519.2,1519.2,
2024-10-01,1521.9,1582.49,1521.9,1565.63,1565.63,
2024-10-03,1555.61,1571.17,1537.46,1545.07,1545.07,
2024-10-04,1532.5,1587.79,1532.5,1557.01,1557.01,
2024-10-07,1565.2,1572.04,1541.36,1559.03,1559.03,
2024-10-08,1565.25,1574.88,1544.63,1569.2,1569.2,
2024-10-09,1578.73,1608.4,1572.04,1597.8,1597.8,
2024-10-10,1611.48,1614.32,1552.1,1560.14,1560.14,
2024-10-11,1544.05,1589.33,1544.05,1586.49,1586.49,
2024-10-14,1587.4,1634.6,1587.4,1630.26,1630.26,
2024-10-15,1637.49,1640.81,1602.33,1613.74,1613.74,
2024-10-16,1608.59,1615.77,1592.02,1599.25,1599.25,
2024-10-17,1599.63,1647.02,1595.11,1636.52,1636.52,
2024-10-18,1632.67,1639.8,1585.09,1625.83,1625.83,
2024-10-21,1680.83,1697.06,1627.9,1638.64,1638.64,
2024-10-22,1640.76,1663.45,1629.25,1634.17,1634.17,
2024-10-23,1634.16,1684.69,1623.62,1672.12,1672.12,
2024-10-24,1671.25,1683.72,1664.51,1671.92,1671.92,
2024-10-25,1671.92,1678.33,1647.46,1653.33,1653.33,
2024-10-28,1647.12,1664.41,1630.94,1639.94,1639.94,
2024-10-29,1646.16,1660.7,1618.56,1636.04,1636.04,
2024-10-30,1641.44,1649.19,1620.39,1622.99,1622.99,
2024-10-31,1619.74,1622.85,1550.68,1563.42,1563.42,
2024-11-01,1573.47,1573.47,1553.84,1558.56,1558.56,
2024-11-04,1568.61,1594.13,1562.83,1592.33,1592.33,
2024-11-05,1592.23,1607.49,1578.14,1586.74,1586.74,
2024-11-06,1603.55,1650.01,1589.02,1645.93,1645.93,
2024-11-07,1647.34,1667.26,1598.11,1604.57,1604.57,
2024-11-08,1613.32,1639.03,1603.65,1634.07,1634.07,
2024-11-11,1625.76,1667.21,1619.2,1656.23,1656.23,
2024-11-12,1661.92,1662.4,1636.65,1639.56,1639.56,
2024-11-13,1632.76,1641.51,1616.87,1628.48,1628.48,
2024-11-14,1616.24,1644.42,1616.24,1640.05,1640.05,
2024-11-18,1637.38,1640.53,1587.32,1614.1,1614.1,
2024-11-19,1618.08,1675.91,1617.31,1651.86,1651.86,
2024-11-21,1663.86,1676.49,1637.42,1654.38,1654.38,
2024-11-22,1666.53,1700.64,1654.38,1698.31,1698.31,
2024-11-25,1710.51,1718.09,1679.26,1683.88,1683.88,
2024-11-26,1683.88,1712.45,1682.37,1696.32,1696.32,
2024-11-27,1692.04,1717.31,1686.75,1707.4,1707.4,
2024-11-28,1707.59,1710.51,1658.81,1665.17,1665.17,
2024-11-29,1659.97,1681.35,1652.68,1664.15,1664.15,
2024-12-02,1661.92,1698.85,1657.93,1696.85,1696.85,
2024-12-03,1710.51,1711.48,1688.74,1700.3,1700.3,
2024-12-04,1693.11,1724.7,1691.65,1710.12,1710.12,
2024-12-05,1710.12,1743.5,1705.75,1736.7,1736.7,
2024-12-06,1746.47,1746.47,1725.67,1732.67,1732.67,
2024-12-09,1729.07,1750.11,1721.39,1727.86,1727.86,
2024-12-10,1716.53,1727.03,1704.0,1713.96,1713.96,
2024-12-11,1715.37,1719.99,1700.84,1713.23,1713.23,
2024-12-12,1718.33,1756.87,1711.53,1739.28,1739.28,
2024-12-13,1730.92,1753.86,1711.48,1745.89,1745.89,
2024-12-16,1743.07,1743.07,1716.34,1725.62,1725.62,
2024-12-17,1727.47,1738.84,1711.48,1720.96,1720.96,
2024-12-18,1712.5,1737.67,1711.04,1728.88,1728.88,
2024-12-19,1691.02,1719.16,1686.21,1705.02,1705.02,
2024-12-20,1720.23,1721.05,1632.86,1638.64,1638.64,
2024-12-23,1643.35,1676.49,1638.44,1664.25,1664.25,
2024-12-24,1669.3,1676.83,1648.02,1656.96,1656.96,
2024-12-26,1659.1,1666.43,1643.11,1650.93,1650.93,
2024-12-27,1657.01,1668.23,1650.93,1663.52,1663.52,
2024-12-30,1666.77,1723.73,1646.17,1691.9,1691.9,
2024-12-31,1680.38,1680.38,1635.14,1658.22,1658.22,
2025-01-01,1652.78,1669.3,1643.69,1655.94,1655.94,
2025-01-02,1660.94,1686.89,1648.31,1678.39,1678.39,
2025-01-03,1664.05,1681.21,1634.07,1641.94,1641.94,
2025-01-06,1656.81,1663.18,1627.9,1638.88,1638.88,
2025-01-07,1645.39,1657.06,1614.78,1624.16,1624.16,
2025-01-08,1621.05,1622.99,1588.05,1616.97,1616.97,
2025-01-09,1616.92,1622.55,1592.13,1596.6,1596.6,
