date,open,high,low,close,adj_close,volume
2024-07-11,4579.01,4579.01,4213.89,4238.53,4238.53,
2024-07-12,4238.53,4257.14,4100.16,4143.76,4143.76,
2024-07-15,4150.04,4150.79,4049.43,4069.49,4069.49,
2024-07-16,4076.22,4134.73,4055.27,4085.4,4085.4,
2024-07-18,4085.0,4145.05,3972.47,4083.4,4083.4,
2024-07-19,4080.21,4086.0,3970.47,3992.77,3992.77,
2024-07-22,3980.45,4144.85,3945.13,4109.74,4109.74,
2024-07-23,4131.59,4183.34,3934.05,4005.45,4005.45,
2024-07-24,4018.82,4051.76,3933.0,3947.37,3947.37,
2024-07-25,3932.1,4068.72,3903.21,4021.82,4021.82,
2024-07-26,4041.78,4176.5,4041.78,4154.5,4154.5,
2024-07-29,4166.52,4201.45,4060.89,4150.11,4150.11,
2024-07-30,4139.63,4229.65,4117.37,4175.41,4175.41,
2024-07-31,4211.43,4211.43,4112.93,4130.15,4130.15,
2024-08-01,4159.54,4162.68,4026.96,4081.55,4081.55,
2024-08-02,4080.7,4122.61,3992.98,4041.98,4041.98,
2024-08-05,3958.7,4100.56,3851.66,3998.12,3998.12,
2024-08-06,4036.79,4101.66,3898.07,4021.97,4021.97,
2024-08-07,4051.66,4121.52,4007.0,4091.38,4091.38,
2024-08-08,4099.66,4102.5,3971.97,3999.66,3999.66,
2024-08-09,4006.95,4046.67,3976.91,3999.01,3999.01,
2024-08-12,3999.36,4004.75,3893.38,3910.24,3910.24,
2024-08-13,3941.43,4037.29,3918.18,3965.88,3965.88,
2024-08-14,3986.64,3986.64,3892.08,3915.58,3915.58,
2024-08-16,3936.19,4021.77,3936.19,4003.11,4003.11,
2024-08-19,4003.11,4051.41,3956.95,3975.71,3975.71,
2024-08-20,4004.4,4119.62,3975.71,4105.2,4105.2,
2024-08-21,4120.62,4120.62,4026.81,4042.58,4042.58,
2024-08-22,4059.99,4140.48,4053.3,4129.4,4129.4,
2024-08-23,4151.55,4151.55,4041.78,4056.15,4056.15,
2024-08-26,4061.74,4142.57,4019.37,4111.73,4111.73,
2024-08-27,4130.6,4176.5,4097.76,4150.21,4150.21,
2024-08-28,4158.64,4188.48,4076.86,4145.77,4145.77,
2024-08-29,4145.57,4154.75,3984.94,3996.42,3996.42,
2024-08-30,4041.78,4049.76,3977.01,4022.62,4022.62,
2024-09-02,4049.76,4108.64,4013.83,4091.88,4091.88,
2024-09-03,4103.65,4160.39,4052.9,4077.26,4077.26,
2024-09-04,4066.73,4127.65,4043.82,4113.18,4113.18,
2024-09-05,4126.6,4136.58,4046.97,4064.28,4064.28,
2024-09-06,4073.61,4133.59,3884.15,3904.46,3904.46,
2024-09-09,3924.72,3977.91,3863.74,3888.94,3888.94,
2024-09-10,3901.71,3966.73,3892.08,3913.74,3913.74,
2024-09-11,3897.07,3946.37,3874.37,3911.69,3911.69,
2024-09-12,3924.47,3958.95,3908.15,3937.04,3937.04,
2024-09-13,3970.87,4133.54,3954.11,4089.53,4089.53,
2024-09-16,4091.48,4124.06,4010.14,4038.88,4038.88,
2024-09-17,4069.42,4158.34,4038.88,4127.25,4127.25,
2024-09-18,4127.25,4130.6,3995.12,4014.83,4014.83,
2024-09-19,4026.86,4040.93,3931.6,3971.32,3971.32,
2024-09-20,4010.84,4441.61,3973.07,4283.24,4283.24,
2024-09-23,4177.55,4284.28,4177.55,4274.55,4274.55,
2024-09-24,4274.2,4357.78,4221.36,4233.49,4233.49,
2024-09-25,4247.36,4296.21,4123.61,4137.83,4137.83,
2024-09-26,4173.51,4173.51,4073.71,4108.19,4108.19,
2024-09-27,4116.33,4198.41,4101.91,4138.53,4138.53,
2024-09-30,4150.56,4397.05,4139.13,4327.25,4327.25,
2024-10-01,4297.26,4391.07,4237.93,4331.79,4331.79,
2024-10-03,4241.47,4286.48,4143.57,4180.3,4180.3,
2024-10-04,4169.57,4169.57,4034.59,4070.12,4070.12,
2024-10-07,4119.27,4119.27,3919.03,4014.43,4014.43,
2024-10-08,4014.43,4071.72,3957.25,4047.52,4047.52,
2024-10-09,4105.65,4301.95,4077.8,4175.36,4175.36,
2024-10-10,4197.31,4234.34,4103.65,4117.87,4117.87,
2024-10-11,4139.58,4250.5,4079.35,4217.07,4217.07,
2024-10-14,4231.34,4268.32,4158.59,4220.06,4220.06,
2024-10-15,4211.53,4327.2,4153.1,4318.17,4318.17,
2024-10-16,4311.98,4526.79,4282.74,4501.64,4501.64,
2024-10-17,4491.06,4500.84,4391.07,4452.29,4452.29,
2024-10-18,4411.82,4507.83,4391.42,4479.64,4479.64,
2024-10-21,4479.89,4516.11,4358.58,4378.54,4378.54,
2024-10-22,4343.16,4512.82,4343.16,4477.24,4477.24,
2024-10-23,4432.13,4801.03,4425.8,4625.54,4625.54,
2024-10-24,4512.82,4745.4,4456.93,4707.02,4707.02,
