date,open,high,low,close,adj_close,volume
2024-07-11,999.41,1016.76,998.47,1012.1,1012.1,11983571
2024-07-12,1015.12,1017.15,1006.35,1008.08,1008.08,7339644
2024-07-15,1012.64,1021.02,1008.63,1015.72,1015.72,5847297
2024-07-16,1016.76,1020.82,1010.51,1012.45,1012.45,4824555
2024-07-18,1014.23,1018.25,999.41,1015.82,1015.82,8010324
2024-07-19,1015.27,1015.27,978.24,981.56,981.56,7400178
2024-07-22,981.56,999.41,968.23,994.6,994.6,7396198
2024-07-23,999.31,1000.05,958.96,993.26,993.26,10384177
2024-07-24,989.29,1025.43,986.67,1018.94,1018.94,11469098
2024-07-25,1020.23,1084.67,1015.62,1081.65,1081.65,32766835
2024-07-26,1102.47,1110.95,1074.36,1108.77,1108.77,21232845
2024-07-29,1114.42,1130.18,1109.06,1114.42,1114.42,11850624
2024-07-30,1116.2,1168.95,1109.06,1151.95,1151.95,28592304
2024-07-31,1154.08,1157.94,1135.54,1146.79,1146.79,10860623
2024-08-01,1157.05,1165.98,1126.81,1134.64,1134.64,14375948
2024-08-02,1110.45,1110.45,1080.76,1087.3,1087.3,21967812
2024-08-05,1050.91,1055.92,1005.41,1007.79,1007.79,26651144
2024-08-06,1021.22,1051.61,999.8,1005.11,1005.11,16726393
2024-08-07,1027.22,1031.33,1006.4,1016.56,1016.56,9978703
2024-08-08,1026.13,1047.39,1018.25,1032.87,1032.87,19529790
2024-08-09,1046.01,1073.72,1043.08,1058.99,1058.99,15443008
2024-08-12,1055.92,1070.69,1046.01,1066.98,1066.98,11311050
2024-08-13,1065.69,1066.33,1039.26,1044.47,1044.47,7508231
2024-08-14,1047.99,1057.95,1038.07,1053.29,1053.29,8211830
2024-08-16,1062.86,1090.57,1060.88,1088.99,1088.99,11435650
2024-08-19,1096.47,1097.56,1075.75,1078.43,1078.43,6911441
2024-08-20,1087.65,1088.69,1072.83,1077.63,1077.63,5625723
2024-08-21,1079.72,1085.96,1074.07,1075.95,1075.95,4869876
