date,open,high,low,close,adj_close,volume
2024-07-11,2897.82,2923.84,2867.59,2904.2,2904.2,
2024-07-12,2915.4,2929.34,2875.39,2894.44,2894.44,
2024-07-15,2895.96,2923.94,2893.01,2899.59,2899.59,
2024-07-16,2899.59,2949.95,2891.69,2920.55,2920.55,
2024-07-18,2923.15,3017.64,2898.95,3002.27,3002.27,
2024-07-19,2998.59,3003.16,2881.33,2892.38,2892.38,
2024-07-22,2903.42,2988.87,2817.42,2974.3,2974.3,
2024-07-23,2979.4,3118.36,2939.01,3081.2,3081.2,
2024-07-24,3102.11,3133.97,2947.55,3088.27,3088.27,
2024-07-25,3035.36,3101.08,3018.67,3028.73,3028.73,
2024-07-26,3033.93,3197.48,3031.38,3136.37,3136.37,
2024-07-29,3136.47,3167.88,3079.24,3139.81,3139.81,
2024-07-30,3140.05,3180.6,3046.16,3054.16,3054.16,
2024-07-31,3070.11,3152.03,3065.0,3113.65,3113.65,
2024-08-01,3113.94,3196.7,3102.16,3146.29,3146.29,
2024-08-02,3131.56,3215.5,3121.16,3168.96,3168.96,
2024-08-05,3115.07,3190.46,3098.63,3109.47,3109.47,
2024-08-06,3115.36,3237.58,3114.92,3161.55,3161.55,
2024-08-07,3170.88,3268.02,3170.88,3262.76,3262.76,
2024-08-08,3270.52,3311.06,3240.09,3272.33,3272.33,
2024-08-09,3278.18,3302.13,3239.64,3277.24,3277.24,
2024-08-12,3277.24,3302.33,3250.54,3276.11,3276.11,
2024-08-13,3278.76,3321.91,3249.36,3301.78,3301.78,
2024-08-14,3321.03,3321.03,3201.16,3287.4,3287.4,
2024-08-16,3303.36,3318.03,3232.72,3286.86,3286.86,
2024-08-19,3287.6,3308.22,3267.08,3287.99,3287.99,
2024-08-20,3303.36,3317.59,3283.77,3300.9,3300.9,
2024-08-21,3300.9,3309.74,3276.85,3289.37,3289.37,
2024-08-22,3292.41,3308.22,3263.16,3301.0,3301.0,
2024-08-23,3303.36,3329.81,3279.84,3287.99,3287.99,
2024-08-26,3292.36,3315.14,3250.79,3281.56,3281.56,
2024-08-27,3281.56,3312.19,3250.35,3300.41,3300.41,
2024-08-28,3298.5,3387.78,3298.5,3356.81,3356.81,
2024-08-29,3365.2,3382.77,3348.02,3371.63,3371.63,
2024-08-30,3398.53,3508.53,3383.9,3421.3,3421.3,
2024-09-02,3439.27,3458.46,3353.62,3366.92,3366.92,
2024-09-03,3372.61,3426.07,3357.35,3363.34,3363.34,
2024-09-04,3338.7,3405.89,3332.81,3399.41,3399.41,
2024-09-05,3386.85,3432.69,3367.21,3379.44,3379.44,
2024-09-06,3391.22,3401.52,3345.42,3354.11,3354.11,
2024-09-09,3353.42,3380.37,3302.52,3368.25,3368.25,
2024-09-10,3322.99,3428.81,3322.99,3363.39,3363.39,
2024-09-11,3391.71,3406.43,3357.45,3372.61,3372.61,
2024-09-12,3396.62,3460.42,3387.09,3398.04,3398.04,
2024-09-13,3417.03,3434.71,3361.72,3388.47,3388.47,
2024-09-16,3397.01,3419.24,3377.62,3390.63,3390.63,
2024-09-17,3405.35,3413.01,3381.35,3389.99,3389.99,
2024-09-18,3403.49,3412.81,3286.91,3298.05,3298.05,
2024-09-19,3286.77,3332.66,3260.11,3290.5,3290.5,
2024-09-20,3303.65,3418.11,3293.59,3394.46,3394.46,
2024-09-23,3414.24,3455.86,3362.01,3394.31,3394.31,
2024-09-24,3405.06,3430.88,3393.08,3407.32,3407.32,
2024-09-25,3426.16,3428.03,3351.51,3365.25,3365.25,
2024-09-26,3362.26,3386.5,3302.42,3349.79,3349.79,
2024-09-27,3349.69,3434.51,3333.1,3418.8,3418.8,
2024-09-30,3392.69,3438.09,3314.74,3334.33,3334.33,
2024-10-01,3346.06,3370.55,3270.42,3308.17,3308.17,
2024-10-03,3272.34,3344.83,3272.34,3330.01,3330.01,
2024-10-04,3342.57,3430.83,3293.59,3409.92,3409.92,
2024-10-07,3426.07,3455.52,3327.21,3342.72,3342.72,
2024-10-08,3352.44,3473.19,3318.96,3453.01,3453.01,
2024-10-09,3469.26,3524.92,3439.86,3492.08,3492.08,
2024-10-10,3501.66,3514.42,3343.56,3380.17,3380.17,
2024-10-11,3416.25,3455.52,3379.93,3432.99,3432.99,
2024-10-14,3445.75,3445.99,3385.08,3426.02,3426.02,
2024-10-15,3433.92,3467.05,3413.84,3433.53,3433.53,
2024-10-16,3433.53,3463.57,3426.07,3450.95,3450.95,
2024-10-17,3457.48,3457.48,3322.99,3334.43,3334.43,
2024-10-18,3334.43,3418.85,3324.46,3386.31,3386.31,
2024-10-21,3391.66,3394.75,3318.08,3330.35,3330.35,
2024-10-22,3327.95,3340.41,3267.67,3278.47,3278.47,
2024-10-23,3278.47,3316.02,3246.62,3258.15,3258.15,
2024-10-24,3264.09,3306.55,3235.62,3260.46,3260.46,
2024-10-25,3268.95,3384.98,3268.95,3369.96,3369.96,
