date,open,high,low,close,adj_close,volume
2024-07-11,1507.34,1510.81,1477.93,1492.56,1492.56,146226
2024-07-12,1484.76,1497.34,1463.35,1473.01,1473.01,140951
2024-07-15,1473.01,1487.59,1458.96,1482.18,1482.18,165401
2024-07-16,1480.76,1510.71,1470.08,1507.64,1507.64,374305
2024-07-18,1513.1,1645.62,1482.71,1504.86,1504.86,3254915
2024-07-19,1504.86,1550.51,1470.76,1489.05,1489.05,476631
2024-07-22,1482.91,1510.07,1466.23,1472.18,1472.18,231364
2024-07-23,1569.72,1569.72,1420.33,1456.37,1456.37,577864
2024-07-24,1468.03,1511.93,1455.45,1482.18,1482.18,314215
2024-07-25,1470.81,1505.68,1465.3,1497.3,1497.3,159592
2024-07-26,1502.51,1535.39,1499.25,1518.66,1518.66,270472
2024-07-29,1530.51,1568.26,1512.03,1553.14,1553.14,424061
2024-07-30,1572.46,1599.62,1547.04,1562.02,1562.02,785634
2024-07-31,1658.3,1861.19,1628.06,1820.66,1820.66,15274443
2024-08-01,1819.25,1849.49,1755.84,1782.47,1782.47,3746881
2024-08-02,1774.91,1829.88,1742.19,1805.93,1805.93,1829423
2024-08-05,1765.6,1784.08,1700.29,1719.75,1719.75,1097432
2024-08-06,1736.33,1779.21,1707.12,1724.68,1724.68,868056
2024-08-07,1760.72,1784.08,1721.99,1727.6,1727.6,734738
2024-08-08,1731.46,1778.82,1689.51,1704.53,1704.53,824083
2024-08-09,1735.36,1804.62,1712.0,1747.55,1747.55,1710447
2024-08-12,1736.43,1746.24,1701.56,1708.44,1708.44,538222
2024-08-13,1717.17,1731.36,1661.37,1670.2,1670.2,407712
2024-08-14,1676.44,1680.44,1632.93,1637.42,1637.42,307264
2024-08-16,1652.44,1690.49,1633.91,1646.69,1646.69,940549
2024-08-19,1653.47,1687.27,1616.35,1631.76,1631.76,483283
2024-08-20,1637.71,1768.82,1630.25,1753.26,1753.26,1930032
2024-08-21,1760.72,1774.08,1676.83,1680.83,1680.83,956087
2024-08-22,1688.68,1697.32,1647.27,1656.88,1656.88,479020
2024-08-23,1663.03,1668.05,1625.03,1630.98,1630.98,395370
2024-08-26,1635.86,1644.64,1580.31,1587.72,1587.72,675850
2024-08-27,1593.09,1664.05,1592.94,1647.42,1647.42,831236
2024-08-28,1653.32,1658.3,1625.08,1632.5,1632.5,380258
2024-08-29,1636.64,1648.54,1610.6,1618.64,1618.64,325729
2024-08-30,1624.06,1726.58,1617.38,1700.73,1700.73,1450689
2024-09-02,1700.73,1731.46,1667.08,1722.82,1722.82,751347
2024-09-03,1722.82,1724.63,1664.73,1670.83,1670.83,623308
2024-09-04,1667.08,1698.29,1638.88,1691.12,1691.12,826409
2024-09-05,1697.66,1707.07,1621.52,1632.35,1632.35,525716
2024-09-06,1636.3,1663.17,1622.2,1653.27,1653.27,546682
2024-09-09,1646.64,1669.95,1619.08,1629.47,1629.47,633571
2024-09-10,1634.84,1672.05,1634.5,1646.93,1646.93,600504
2024-09-11,1648.54,1671.95,1643.91,1658.59,1658.59,427830
2024-09-12,1667.08,1699.27,1665.27,1683.51,1683.51,457946
2024-09-13,1682.68,1732.43,1676.0,1719.75,1719.75,663591
2024-09-16,1726.48,1752.92,1702.24,1737.11,1737.11,621144
2024-09-17,1763.65,1853.39,1716.82,1736.38,1736.38,3895585
2024-09-18,1794.86,1921.58,1759.01,1885.48,1885.48,6172266
2024-09-19,1884.61,1884.61,1775.35,1797.15,1797.15,1228563
2024-09-20,1810.81,1872.9,1794.96,1855.39,1855.39,1489978
2024-09-23,1862.41,1873.97,1804.62,1816.32,1816.32,550984
2024-09-24,1820.22,1882.65,1819.25,1868.32,1868.32,1057400
2024-09-25,1862.22,1882.61,1821.25,1840.61,1840.61,564052
2024-09-26,1843.64,1869.97,1807.2,1843.05,1843.05,748505
2024-09-27,1887.48,1909.28,1848.56,1861.0,1861.0,925681
2024-09-30,1853.39,1901.63,1821.93,1831.93,1831.93,750958
2024-10-01,1833.88,1841.59,1805.69,1816.03,1816.03,479862
2024-10-03,1797.3,1819.25,1785.11,1812.27,1812.27,295260
2024-10-04,1812.32,1853.39,1747.06,1844.32,1844.32,545903
2024-10-07,1844.42,1853.39,1729.6,1755.31,1755.31,499299
2024-10-08,1750.58,1777.25,1710.68,1772.08,1772.08,508863
2024-10-09,1854.37,1936.01,1839.78,1887.68,1887.68,4857383
2024-10-10,1897.29,1901.97,1821.15,1837.98,1837.98,569426
2024-10-11,1842.66,1854.17,1801.84,1840.12,1840.12,302649
2024-10-14,1843.64,1929.48,1843.64,1892.65,1892.65,1521615
2024-10-15,1898.26,1913.33,1880.7,1905.29,1905.29,393681
2024-10-16,1905.29,1926.16,1888.56,1900.55,1900.55,433097
2024-10-17,1902.16,1906.26,1874.85,1892.21,1892.21,1086885
2024-10-18,1884.61,1944.11,1858.32,1925.23,1925.23,739060
2024-10-21,1930.26,1942.55,1902.16,1918.8,1918.8,424087
2024-10-22,1930.45,1987.03,1870.95,1904.65,1904.65,2101262
2024-10-23,1897.29,1973.57,1860.32,1908.99,1908.99,1287350
2024-10-24,1904.41,1955.81,1897.29,1906.75,1906.75,1068959
2024-10-25,1906.75,1948.94,1860.66,1876.61,1876.61,355939
