date,open,high,low,close,adj_close,volume
2024-07-11,5541.8,5659.73,5541.8,5632.0,5632.0,
2024-07-12,5661.63,5692.71,5607.86,5647.99,5647.99,
2024-07-15,5686.72,5751.63,5642.49,5672.27,5672.27,
2024-07-16,5696.66,5722.15,5624.1,5644.04,5644.04,
2024-07-18,5646.64,5656.98,5279.9,5305.44,5305.44,
2024-07-19,5305.44,5305.44,5103.1,5163.37,5163.37,
2024-07-22,5107.05,5235.93,5080.62,5207.19,5207.19,
2024-07-23,5207.19,5307.19,4952.79,5260.76,5260.76,
2024-07-24,5281.95,5376.9,5260.06,5283.8,5283.8,
2024-07-25,5271.86,5332.37,5222.98,5306.89,5306.89,
2024-07-26,5356.91,5408.43,5321.93,5390.24,5390.24,
2024-07-29,5411.83,5546.75,5361.9,5514.22,5514.22,
2024-07-30,5546.8,5656.73,5516.81,5617.26,5617.26,
2024-07-31,5621.8,5915.88,5621.8,5835.63,5835.63,
2024-08-01,5890.6,5890.6,5719.65,5767.47,5767.47,
2024-08-02,5721.7,5802.5,5520.81,5535.05,5535.05,
2024-08-05,5356.91,5421.22,5223.03,5343.81,5343.81,
2024-08-06,5352.01,5464.54,5191.55,5217.69,5217.69,
2024-08-07,5285.95,5496.63,5271.56,5469.29,5469.29,
2024-08-08,5511.82,5724.09,5486.83,5640.84,5640.84,
2024-08-09,5735.54,6370.17,5623.35,6271.73,6271.73,
2024-08-12,6299.31,6430.29,6273.38,6378.67,6378.67,
2024-08-13,6371.32,6439.28,6326.35,6378.02,6378.02,
2024-08-14,6396.31,6448.28,6287.47,6434.63,6434.63,
2024-08-16,6436.28,6544.22,6436.28,6498.65,6498.65,
2024-08-19,6571.21,6746.1,6518.54,6686.04,6686.04,
2024-08-20,6706.13,6815.76,6601.24,6789.98,6789.98,
2024-08-21,6796.08,6821.06,6736.11,6779.29,6779.29,
2024-08-22,6821.06,7006.0,6786.08,6985.77,6985.77,
2024-08-23,7015.95,7025.94,6907.76,6944.74,6944.74,
2024-08-26,6995.96,7093.85,6903.91,6921.6,6921.6,
2024-08-27,6965.93,6968.98,6775.34,6865.94,6865.94,
2024-08-28,6985.97,7320.77,6946.24,7237.92,7237.92,
2024-08-29,7265.76,7287.74,7088.86,7166.51,7166.51,
2024-08-30,7205.84,7270.55,7125.94,7154.62,7154.62,
2024-09-02,7175.11,7263.56,7107.25,7144.08,7144.08,
2024-09-03,7174.86,7175.86,6990.96,7038.74,7038.74,
2024-09-04,7038.94,7164.81,6946.04,7135.78,7135.78,
2024-09-05,7165.76,7204.84,7086.16,7163.51,7163.51,
2024-09-06,7180.75,7185.8,7055.93,7099.45,7099.45,
2024-09-09,7099.9,7151.57,7043.98,7132.53,7132.53,
2024-09-10,7151.87,7195.85,7091.41,7133.83,7133.83,
2024-09-11,7156.82,7215.48,7103.6,7144.73,7144.73,
2024-09-12,7193.85,7304.78,7138.73,7206.34,7206.34,
2024-09-13,7244.32,7276.9,7195.9,7228.98,7228.98,
2024-09-16,7265.81,7380.69,7206.84,7314.58,7314.58,
2024-09-17,7410.72,7504.47,7320.77,7399.18,7399.18,
2024-09-18,7430.71,7448.7,7241.67,7331.77,7331.77,
2024-09-19,7451.7,7451.7,7179.4,7321.92,7321.92,
2024-09-20,7345.76,7503.67,7277.65,7460.84,7460.84,
