date,open,high,low,close,adj_close,volume
2024-07-11,2425.63,2472.97,2425.63,2456.89,2456.89,2112524
2024-07-12,2461.16,2472.07,2406.67,2420.91,2420.91,742628
2024-07-15,2426.42,2436.89,2405.88,2432.23,2432.23,320518
2024-07-16,2440.32,2454.06,2418.38,2436.74,2436.74,424872
2024-07-18,2441.31,2446.22,2364.89,2389.31,2389.31,894461
2024-07-19,2392.23,2399.33,2351.99,2386.28,2386.28,858204
2024-07-22,2386.53,2422.4,2352.98,2407.67,2407.67,510664
2024-07-23,2407.47,2471.08,2342.02,2453.42,2453.42,836325
2024-07-24,2466.12,2466.12,2402.75,2430.94,2430.94,542901
2024-07-25,2426.97,2439.82,2402.6,2430.69,2430.69,395417
2024-07-26,2430.89,2509.59,2420.22,2488.94,2488.94,1328315
2024-07-29,2509.78,2520.65,2447.01,2465.72,2465.72,715525
2024-07-30,2465.67,2492.86,2451.83,2477.73,2477.73,635216
2024-07-31,2473.16,2537.62,2473.16,2511.77,2511.77,1913288
2024-08-01,2512.76,2582.38,2500.85,2564.56,2564.56,2477455
2024-08-02,2555.24,2565.26,2505.81,2549.88,2549.88,907741
2024-08-05,2496.29,2541.54,2442.8,2474.4,2474.4,1605272
2024-08-06,2495.79,2510.73,2408.56,2459.97,2459.97,2149602
2024-08-07,2515.74,2598.75,2515.74,2554.99,2554.99,2338106
2024-08-08,2559.4,2570.97,2485.12,2509.83,2509.83,608596
2024-08-09,2522.29,2569.92,2514.8,2561.84,2561.84,554497
2024-08-12,2558.81,2563.47,2515.74,2558.41,2558.41,788200
2024-08-13,2569.23,2634.83,2536.08,2615.77,2615.77,2005430
2024-08-14,2615.77,2632.99,2574.79,2585.7,2585.7,1364898
2024-08-16,2605.05,2615.13,2553.3,2580.49,2580.49,1089926
2024-08-19,2602.62,2605.05,2565.61,2587.79,2587.79,464963
2024-08-20,2604.06,2627.28,2592.2,2616.17,2616.17,546115
2024-08-21,2616.17,2616.17,2585.8,2611.5,2611.5,968366
2024-08-22,2626.89,2694.57,2609.37,2685.69,2685.69,1415927
2024-08-23,2739.03,2796.59,2730.3,2745.98,2745.98,2526589
2024-08-26,2760.56,2767.81,2719.88,2754.11,2754.11,694903
2024-08-27,2763.84,2765.67,2701.47,2720.27,2720.27,917102
2024-08-28,2735.46,2741.21,2701.27,2716.45,2716.45,615924
2024-08-29,2729.1,2744.49,2704.84,2730.64,2730.64,545401
2024-08-30,2757.88,2802.54,2736.89,2791.92,2791.92,1691050
2024-09-02,2837.77,2838.27,2759.22,2769.5,2769.5,1086763
2024-09-03,2784.68,2784.68,2756.25,2761.46,2761.46,732254
2024-09-04,2735.75,2762.45,2725.18,2753.82,2753.82,512770
2024-09-05,2749.94,2781.21,2731.39,2740.72,2740.72,472195
2024-09-06,2740.67,2761.9,2712.08,2731.39,2731.39,638798
2024-09-09,2732.93,2750.54,2695.41,2744.09,2744.09,420546
2024-09-10,2757.69,2767.91,2726.77,2734.07,2734.07,361187
2024-09-11,2743.79,2758.88,2705.68,2738.68,2738.68,451598
2024-09-12,2758.93,2806.51,2744.34,2801.4,2801.4,640298
2024-09-13,2813.31,2821.99,2796.94,2807.16,2807.16,372568
2024-09-16,2819.21,2828.29,2783.69,2820.16,2820.16,237258
2024-09-17,2828.34,2828.34,2761.95,2797.33,2797.33,998069
2024-09-18,2798.52,2813.46,2751.14,2763.59,2763.59,537825
2024-09-19,2788.45,2795.5,2707.37,2749.55,2749.55,541355
2024-09-20,2763.84,2803.44,2745.93,2794.21,2794.21,1029376
2024-09-23,2811.37,2857.12,2792.07,2823.58,2823.58,1352527
2024-09-24,2810.98,2863.97,2806.56,2846.9,2846.9,716361
