date,open,high,low,close,adj_close,volume
2024-07-11,11457.99,11498.49,11359.21,11414.48,11414.48,366819
2024-07-12,11413.54,11538.01,11330.61,11461.25,11461.25,366274
2024-07-15,11610.02,11753.36,11520.13,11689.79,11689.79,394470
2024-07-16,11762.3,11762.3,11490.49,11516.97,11516.97,556056
2024-07-18,11508.37,11541.81,11335.5,11505.66,11505.66,731274
2024-07-19,11503.43,11503.43,11092.14,11121.43,11121.43,514154
2024-07-22,11152.65,11429.34,11094.76,11375.7,11375.7,573833
2024-07-23,11508.32,11592.73,11191.37,11405.44,11405.44,525157
2024-07-24,11399.71,11420.21,11217.6,11314.16,11314.16,268139
2024-07-25,11279.19,11337.28,11153.74,11302.41,11302.41,254683
2024-07-26,11302.41,11599.7,11257.06,11531.14,11531.14,333210
2024-07-29,11538.01,11794.85,11531.14,11729.45,11729.45,496437
2024-07-30,11783.31,11783.31,11571.15,11732.08,11732.08,438108
2024-07-31,11744.51,11839.95,11676.34,11812.33,11812.33,322531
2024-08-01,11812.33,11956.51,11729.15,11909.01,11909.01,250126
2024-08-02,11758.52,11873.74,11626.3,11690.4,11690.4,273420
2024-08-05,11626.3,11626.3,11279.7,11345.33,11345.33,400844
2024-08-06,11377.83,11502.89,11201.1,11253.96,11253.96,368949
2024-08-07,11426.57,11516.95,11358.2,11470.49,11470.49,230210
2024-08-08,11427.56,11451.61,11158.02,11187.09,11187.09,290349
2024-08-09,11376.88,11376.88,11160.31,11229.17,11229.17,189230
2024-08-12,11218.89,11308.12,11140.58,11231.66,11231.66,200411
2024-08-13,11292.42,11292.42,11163.89,11200.21,11200.21,189972
2024-08-14,11129.45,11129.45,10894.05,10933.3,10933.3,404673
2024-08-16,10970.46,11253.67,10881.23,11224.55,11224.55,435631
2024-08-19,11248.7,11395.87,11200.75,11244.08,11244.08,244264
2024-08-20,11293.41,11452.41,11206.42,11278.21,11278.21,421084
2024-08-21,11202.99,11241.29,11091.25,11130.35,11130.35,456794
2024-08-22,11189.08,11305.74,11134.42,11238.17,11238.17,305457
2024-08-23,11243.73,11308.32,11133.88,11270.36,11270.36,258730
2024-08-26,11268.57,11289.39,11200.4,11265.69,11265.69,234215
2024-08-27,11317.36,11377.88,11215.36,11229.17,11229.17,184428
2024-08-28,11208.95,11246.31,11140.38,11164.03,11164.03,201101
2024-08-29,11159.27,11185.8,11045.39,11151.32,11151.32,406261
2024-08-30,11154.35,11289.34,11151.31,11230.71,11230.71,462185
2024-09-02,11253.67,11392.78,11253.67,11352.94,11352.94,248673
2024-09-03,11362.48,11431.59,11289.44,11388.61,11388.61,181723
2024-09-04,11320.24,11564.15,11310.16,11507.51,11507.51,198185
2024-09-05,11557.19,11748.28,11441.67,11469.95,11469.95,406821
2024-09-06,11427.56,11452.41,11248.7,11360.84,11360.84,245248
2024-09-09,11328.19,11445.9,11236.77,11421.95,11421.95,154665
2024-09-10,11467.21,11566.14,11388.31,11468.36,11468.36,237496
2024-09-11,11497.12,11537.87,11388.02,11415.09,11415.09,141341
2024-09-12,11435.36,11661.08,11370.18,11636.49,11636.49,455934
2024-09-13,11621.34,11688.51,11551.98,11644.14,11644.14,279660
2024-09-16,11601.46,11723.64,11530.91,11569.32,11569.32,257856
2024-09-17,11529.47,11644.79,11502.09,11572.3,11572.3,202725
2024-09-18,11609.41,11689.21,11463.19,11557.64,11557.64,185067
2024-09-19,11557.64,11666.2,11467.31,11554.26,11554.26,227247
2024-09-20,11586.56,11769.3,11506.66,11723.99,11723.99,608787
