date,open,high,low,close,adj_close,volume
2024-07-11,131.27,131.41,128.16,128.89,128.89,9215193
2024-07-12,128.63,131.03,127.97,128.26,128.26,9543098
2024-07-15,128.63,132.87,127.59,131.15,131.15,22327366
2024-07-16,132.1,134.51,130.99,131.6,131.6,13617156
2024-07-18,131.93,133.62,131.02,131.74,131.74,14015928
2024-07-19,132.51,132.9,130.67,131.21,131.21,9426470
2024-07-22,130.24,134.41,129.14,131.71,131.71,12569391
2024-07-23,132.49,132.69,124.87,130.32,130.32,12529462
2024-07-24,129.62,131.88,129.08,130.11,130.11,8709147
2024-07-25,129.49,129.49,127.35,127.7,127.7,9428228
2024-07-26,127.97,128.98,126.53,128.52,128.52,8580365
2024-07-29,129.85,132.63,129.85,132.38,132.38,15178338
2024-07-30,132.03,132.96,130.24,130.48,130.48,11787457
2024-07-31,130.82,131.06,129.72,130.38,130.38,7821311
2024-08-01,131.24,131.63,130.0,130.83,130.83,7500594
2024-08-02,129.9,130.0,127.47,128.9,128.9,8343959
2024-08-05,125.26,125.59,121.08,121.61,121.61,22510832
2024-08-06,122.84,124.29,118.06,118.71,118.71,10663265
2024-08-07,120.9,121.33,116.88,118.17,118.17,17701548
2024-08-08,118.78,120.66,116.16,116.46,116.46,12293949
2024-08-09,118.34,119.33,117.26,118.99,118.99,10893251
2024-08-12,118.5,118.85,116.37,117.59,117.59,12166477
2024-08-13,118.0,118.32,115.12,115.46,115.46,12424537
2024-08-14,115.58,115.99,112.49,112.88,112.88,14750576
2024-08-16,113.88,115.04,112.88,113.68,113.68,8032926
2024-08-19,114.63,117.22,114.34,116.25,116.25,8738303
2024-08-20,117.44,122.84,116.09,121.45,121.45,18480067
2024-08-21,121.87,122.11,119.99,120.77,120.77,6350192
2024-08-22,121.29,123.81,120.78,123.5,123.5,10170504
2024-08-23,123.52,123.83,121.75,122.92,122.92,7380835
2024-08-26,122.94,123.56,120.13,120.48,120.48,9410059
2024-08-27,120.71,121.26,119.84,120.45,120.45,5719506
2024-08-28,120.51,121.15,118.88,119.3,119.3,6711889
