date,open,high,low,close,adj_close,volume
2024-07-11,1258.18,1272.04,1252.97,1262.61,1262.61,682041
2024-07-12,1267.54,1275.63,1256.39,1272.62,1272.62,703819
2024-07-15,1272.62,1290.73,1259.1,1286.49,1286.49,551101
2024-07-16,1290.73,1300.06,1275.24,1281.45,1281.45,1048505
2024-07-18,1280.86,1284.81,1265.91,1282.29,1282.29,558296
2024-07-19,1288.76,1297.29,1271.83,1280.62,1280.62,1365917
2024-07-22,1277.95,1297.64,1275.44,1290.83,1290.83,1066896
2024-07-23,1300.11,1318.02,1246.87,1314.41,1314.41,1093010
2024-07-24,1342.04,1398.59,1324.28,1364.59,1364.59,6354785
2024-07-25,1355.86,1430.86,1320.19,1424.74,1424.74,3367113
2024-07-26,1422.02,1423.65,1392.12,1396.71,1396.71,892506
2024-07-29,1411.12,1416.0,1387.73,1402.34,1402.34,860229
2024-07-30,1391.38,1411.12,1385.86,1390.64,1390.64,394332
2024-07-31,1395.18,1405.69,1387.68,1394.64,1394.64,940385
2024-08-01,1392.37,1402.24,1387.49,1395.08,1395.08,489925
2024-08-02,1381.52,1412.11,1375.69,1402.24,1402.24,1436552
2024-08-05,1367.7,1416.89,1364.39,1381.76,1381.76,1199119
2024-08-06,1381.81,1409.59,1372.63,1392.47,1392.47,396031
2024-08-07,1406.28,1446.64,1402.49,1443.49,1443.49,1689987
2024-08-08,1450.59,1450.99,1436.09,1440.53,1440.53,552871
2024-08-09,1440.63,1460.85,1427.01,1435.74,1435.74,528351
2024-08-12,1430.81,1430.86,1395.33,1399.28,1399.28,1029967
2024-08-13,1406.09,1410.38,1381.52,1384.67,1384.67,778303
2024-08-14,1387.44,1389.36,1372.83,1386.01,1386.01,363536
2024-08-16,1386.45,1398.74,1376.98,1387.73,1387.73,904222
2024-08-19,1390.69,1404.95,1380.38,1384.38,1384.38,828423
2024-08-20,1384.38,1392.81,1380.28,1388.67,1388.67,410409
2024-08-21,1394.25,1418.08,1383.49,1412.75,1412.75,614100
2024-08-22,1424.93,1443.68,1413.29,1432.63,1432.63,1011531
2024-08-23,1438.75,1438.75,1406.09,1410.77,1410.77,487071
2024-08-26,1419.01,1440.67,1405.69,1438.21,1438.21,833325
2024-08-27,1445.66,1447.14,1406.19,1410.08,1410.08,580798
2024-08-28,1430.91,1438.6,1413.09,1429.18,1429.18,1221654
2024-08-29,1438.75,1438.75,1411.32,1429.72,1429.72,409294
2024-08-30,1437.76,1464.75,1413.73,1454.88,1454.88,2319735
2024-09-02,1465.39,1476.2,1455.13,1465.25,1465.25,817883
2024-09-03,1470.33,1483.3,1455.53,1459.37,1459.37,702946
2024-09-04,1455.53,1487.1,1445.95,1479.55,1479.55,590555
2024-09-05,1494.01,1494.01,1462.19,1465.39,1465.39,689394
2024-09-06,1462.48,1470.23,1434.26,1442.4,1442.4,712351
2024-09-09,1444.33,1487.0,1444.33,1484.19,1484.19,1791287
2024-09-10,1498.5,1499.68,1480.29,1488.29,1488.29,591925
2024-09-11,1492.09,1511.03,1485.97,1503.19,1503.19,622732
2024-09-12,1508.17,1516.66,1499.64,1509.01,1509.01,475277
2024-09-13,1509.01,1522.63,1495.59,1503.24,1503.24,551554
2024-09-16,1513.65,1532.4,1505.26,1526.82,1526.82,516123
2024-09-17,1526.57,1538.66,1520.46,1535.21,1535.21,1224149
2024-09-18,1539.9,1541.33,1504.91,1517.45,1517.45,320652
2024-09-19,1543.35,1549.27,1502.2,1509.55,1509.55,1528204
2024-09-20,1523.61,1561.11,1511.92,1553.37,1553.37,1821157
2024-09-23,1564.07,1615.39,1540.54,1606.75,1606.75,670632
2024-09-24,1613.61,1622.84,1591.01,1613.96,1613.96,964946
2024-09-25,1613.96,1616.82,1586.42,1605.12,1605.12,898849
2024-09-26,1609.47,1625.75,1585.78,1622.89,1622.89,774246
2024-09-27,1589.73,1589.73,1553.22,1575.52,1575.52,2273207
2024-09-30,1575.03,1589.48,1554.3,1568.91,1568.91,668068
2024-10-01,1568.91,1592.89,1564.62,1589.68,1589.68,473000
2024-10-03,1573.94,1574.04,1523.17,1543.45,1543.45,658824
2024-10-04,1544.34,1551.15,1507.09,1511.13,1511.13,1019377
2024-10-07,1511.13,1529.54,1477.28,1486.41,1486.41,755578
2024-10-08,1475.36,1510.79,1472.05,1498.94,1498.94,1607560
2024-10-09,1506.84,1517.69,1493.76,1503.34,1503.34,336186
2024-10-10,1505.85,1526.53,1482.51,1487.89,1487.89,369677
2024-10-11,1495.34,1501.91,1471.41,1499.49,1499.49,316816
2024-10-14,1519.67,1525.79,1499.83,1520.11,1520.11,426793
2024-10-15,1519.27,1531.81,1501.26,1527.36,1527.36,441089
2024-10-16,1529.54,1540.39,1516.76,1532.79,1532.79,546976
2024-10-17,1532.4,1532.5,1500.72,1507.97,1507.97,537173
2024-10-18,1504.87,1506.79,1482.17,1499.19,1499.19,709462
2024-10-21,1497.02,1512.61,1471.22,1475.46,1475.46,272480
