date,open,high,low,close,adj_close,volume
2024-07-11,1064.17,1064.67,1037.89,1051.08,1051.08,1433123
2024-07-12,1056.4,1068.15,1005.43,1017.38,1017.38,1660996
2024-07-15,1024.15,1037.29,994.48,1020.86,1020.86,1592002
2024-07-16,1025.24,1046.3,1011.46,1016.53,1016.53,1521575
2024-07-18,1013.4,1029.87,985.62,989.26,989.26,1935761
2024-07-19,988.31,990.5,939.73,948.29,948.29,1713190
2024-07-22,947.7,989.51,943.71,974.38,974.38,1116260
2024-07-23,981.14,1013.4,952.28,1006.78,1006.78,749187
2024-07-24,1010.66,1028.28,1004.09,1018.82,1018.82,1026790
2024-07-25,996.48,1027.88,996.48,1011.46,1011.46,338667
2024-07-26,1011.95,1046.25,1001.4,1037.64,1037.64,572467
2024-07-29,1047.44,1059.19,1030.57,1054.31,1054.31,614345
2024-07-30,1059.99,1071.98,1049.04,1054.71,1054.71,489106
2024-07-31,1054.71,1071.38,1031.76,1036.29,1036.29,729482
2024-08-01,1045.15,1045.15,1015.49,1034.2,1034.2,922303
2024-08-02,1022.36,1029.28,1004.04,1013.8,1013.8,505970
2024-08-05,895.93,990.5,895.93,970.49,970.49,2404132
2024-08-06,970.59,992.0,960.69,965.76,965.76,661068
2024-08-07,973.43,992.44,958.2,987.57,987.57,810283
2024-08-08,994.48,1011.06,960.74,981.1,981.1,923851
2024-08-09,983.53,1005.14,966.11,1001.65,1001.65,811479
2024-08-12,995.48,1046.7,992.74,1040.33,1040.33,636117
2024-08-13,1035.3,1045.25,1025.39,1043.16,1043.16,794561
2024-08-14,1043.16,1115.73,1035.35,1102.0,1102.0,2298195
2024-08-16,1112.95,1154.76,1108.62,1151.22,1151.22,1471405
2024-08-19,1159.73,1176.56,1146.44,1168.59,1168.59,909761
2024-08-20,1168.59,1174.37,1137.34,1153.81,1153.81,635979
2024-08-21,1144.8,1186.61,1141.52,1162.67,1162.67,955371
2024-08-22,1169.49,1169.49,1124.89,1132.71,1132.71,409517
2024-08-23,1132.71,1132.71,1096.27,1110.81,1110.81,607836
2024-08-26,1121.86,1131.86,1088.51,1093.24,1093.24,307607
2024-08-27,1093.83,1115.93,1073.82,1110.61,1110.61,513247
2024-08-28,1117.67,1134.85,1087.76,1123.05,1123.05,792988
2024-08-29,1123.05,1153.41,1114.89,1121.76,1121.76,864193
2024-08-30,1122.8,1180.64,1112.95,1168.59,1168.59,1267640
2024-09-02,1182.63,1249.33,1131.36,1163.02,1163.02,3835152
2024-09-03,1169.69,1178.35,1147.59,1166.8,1166.8,1094340
2024-09-04,1148.34,1178.55,1139.43,1162.32,1162.32,632592
2024-09-05,1139.77,1159.49,1122.1,1127.78,1127.78,1206109
2024-09-06,1124.89,1149.78,1077.11,1096.72,1096.72,1090150
2024-09-09,1088.61,1095.58,1054.21,1066.16,1066.16,780567
2024-09-10,1066.16,1084.72,1021.96,1031.42,1031.42,1382764
2024-09-11,1038.24,1039.28,1002.2,1022.36,1022.36,1221810
2024-09-12,1024.1,1030.67,1003.29,1021.46,1021.46,592887
2024-09-13,1022.36,1065.66,1021.46,1053.07,1053.07,886357
2024-09-16,1067.1,1076.46,1041.27,1059.49,1059.49,601011
2024-09-17,1064.96,1075.12,1033.46,1047.69,1047.69,665856
2024-09-18,1047.24,1057.1,1023.9,1025.89,1025.89,572310
2024-09-19,1030.12,1063.17,1028.38,1053.32,1053.32,740624
2024-09-20,1054.21,1134.85,1038.98,1120.66,1120.66,1482411
2024-09-23,1120.61,1142.81,1100.8,1134.85,1134.85,722139
2024-09-24,1138.53,1156.95,1125.19,1150.43,1150.43,728416
2024-09-25,1149.53,1169.09,1127.78,1145.15,1145.15,542869
2024-09-26,1161.72,1173.22,1135.2,1144.8,1144.8,744653
2024-09-27,1144.8,1144.8,1099.46,1110.86,1110.86,594249
2024-09-30,1104.98,1123.5,1079.7,1096.67,1096.67,810560
2024-10-01,1096.67,1112.7,1072.13,1077.56,1077.56,1298580
2024-10-03,1067.2,1073.03,1036.39,1038.98,1038.98,1024627
2024-10-04,1040.28,1063.67,1028.43,1036.39,1036.39,437313
2024-10-07,1041.27,1045.5,985.92,988.31,988.31,1077306
2024-10-08,985.97,992.69,961.63,989.51,989.51,1280472
2024-10-09,999.46,1022.76,990.95,1008.52,1008.52,791894
2024-10-10,1012.4,1015.04,990.3,998.32,998.32,751012
2024-10-11,1005.83,1005.83,974.87,981.29,981.29,937214
2024-10-14,981.54,1019.47,970.59,1017.53,1017.53,1516367
2024-10-15,1026.29,1028.28,979.05,997.07,997.07,891527
2024-10-16,998.27,999.41,983.04,996.33,996.33,475768
2024-10-17,996.33,996.38,949.64,954.17,954.17,665316
2024-10-18,955.66,961.78,935.95,950.93,950.93,921425
2024-10-21,955.71,967.11,931.77,935.95,935.95,507616
2024-10-22,936.75,940.68,908.38,919.47,919.47,689791
2024-10-23,912.81,942.72,899.66,932.27,932.27,455898
2024-10-24,929.83,948.05,921.81,944.01,944.01,354639
2024-10-25,944.01,950.48,912.66,929.18,929.18,535175
2024-10-28,915.84,937.74,903.9,930.38,930.38,364664
2024-10-29,930.38,967.31,929.13,962.93,962.93,416189
2024-10-30,962.93,973.73,940.83,961.73,961.73,390162
2024-10-31,961.73,985.23,951.93,978.86,978.86,204017
2024-11-01,980.55,989.61,953.77,973.63,973.63,53373
2024-11-04,970.59,993.49,951.73,955.61,955.61,562208
2024-11-05,949.69,963.48,934.46,941.38,941.38,369138
2024-11-06,949.94,975.92,945.76,971.29,971.29,313579
2024-11-07,971.29,988.81,942.32,945.21,945.21,445158
2024-11-08,947.65,955.61,926.79,931.47,931.47,233007
2024-11-11,926.89,938.94,911.91,917.68,917.68,243268
2024-11-12,924.8,1010.41,924.8,998.07,998.07,8793032
2024-11-13,989.56,1038.24,943.91,959.94,959.94,4397818
2024-11-14,959.99,1004.34,937.05,990.65,990.65,1726665
2024-11-18,991.5,1010.41,972.09,993.59,993.59,694166
2024-11-19,1003.24,1043.26,996.33,1035.6,1035.6,1218991
2024-11-21,1042.91,1082.98,1024.65,1074.82,1074.82,2174350
2024-11-22,1089.01,1089.01,1046.45,1061.88,1061.88,660668
2024-11-25,1076.81,1129.17,1060.63,1072.48,1072.48,1963155
2024-11-26,1055.21,1104.63,1055.16,1072.58,1072.58,629773
2024-11-27,1082.09,1087.11,1028.33,1041.77,1041.77,716742
2024-11-28,1046.75,1052.22,1023.55,1031.47,1031.47,512922
2024-11-29,1031.47,1052.02,1004.89,1046.5,1046.5,548426
2024-12-02,1045.25,1045.25,1013.4,1017.18,1017.18,415022
2024-12-03,1026.14,1057.2,1007.43,1045.35,1045.35,827989
2024-12-04,1050.58,1088.91,1043.26,1085.47,1085.47,1114462
2024-12-05,1085.47,1099.56,1073.23,1089.15,1089.15,655802
2024-12-06,1077.21,1100.2,1076.16,1082.88,1082.88,442701
2024-12-09,1082.88,1095.97,1060.53,1073.18,1073.18,696125
2024-12-10,1076.51,1085.07,1047.24,1067.5,1067.5,296635
2024-12-11,1072.43,1087.26,1063.17,1073.28,1073.28,248546
2024-12-12,1073.28,1077.06,1048.89,1059.14,1059.14,363326
2024-12-13,1058.2,1059.14,1030.32,1036.59,1036.59,554878
2024-12-16,1046.5,1058.1,1037.34,1044.91,1044.91,290572
2024-12-17,1044.86,1052.17,1014.44,1018.57,1018.57,294360
2024-12-18,1023.55,1037.29,1019.37,1027.73,1027.73,260030
2024-12-19,1012.35,1049.63,1007.43,1041.72,1041.72,361697
2024-12-20,1049.04,1085.97,1025.34,1047.24,1047.24,1216627
2024-12-23,1040.28,1043.76,1013.45,1018.43,1018.43,605795
2024-12-24,1015.39,1061.18,1007.18,1054.21,1054.21,492846
2024-12-26,1050.23,1055.71,1020.42,1038.43,1038.43,534623
2024-12-27,1038.48,1043.96,1011.26,1026.69,1026.69,515393
2024-12-30,1027.24,1049.24,1020.37,1034.35,1034.35,325028
2024-12-31,1026.34,1054.21,1021.41,1048.44,1048.44,239343
2025-01-01,1053.22,1067.55,1035.3,1054.06,1054.06,215442
2025-01-02,1060.19,1062.23,1047.05,1049.68,1049.68,159733
2025-01-03,1049.68,1068.4,1043.26,1061.73,1061.73,309080
2025-01-06,1070.14,1073.67,1052.92,1059.34,1059.34,515499
2025-01-07,1055.21,1064.32,1030.52,1055.51,1055.51,389826
2025-01-08,1060.68,1090.05,1039.28,1064.57,1064.57,798436
2025-01-09,1052.92,1073.53,1050.23,1061.48,1061.48,291553
2025-01-10,1051.82,1110.86,1043.71,1092.69,1092.69,849726
2025-01-13,1098.01,1104.98,1021.31,1031.22,1031.22,1593050
2025-01-14,1029.33,1070.04,1027.53,1045.6,1045.6,1299229
2025-01-15,1045.6,1080.0,1041.27,1049.78,1049.78,537799
2025-01-16,1051.87,1126.88,1051.87,1092.09,1092.09,1627706
2025-01-17,1092.09,1092.09,1068.75,1077.76,1077.76,433779
2025-01-20,1091.39,1099.96,1023.1,1033.86,1033.86,894653
2025-01-21,1035.3,1037.29,978.46,988.36,988.36,1404118
2025-01-22,993.49,1000.76,961.93,972.09,972.09,1165939
2025-01-23,964.52,983.53,948.0,963.57,963.57,528702
2025-01-24,964.57,965.42,901.9,909.47,909.47,1372098
2025-01-27,887.47,903.7,866.32,875.13,875.13,1953783
2025-01-28,876.02,901.95,846.21,884.43,884.43,685066
2025-01-29,884.43,910.57,881.55,891.05,891.05,354699
2025-01-30,899.22,913.85,894.99,902.95,902.95,601028
2025-01-31,911.86,946.55,911.81,941.33,941.33,433132
2025-02-01,949.89,996.23,931.22,985.33,985.33,416011
2025-02-03,985.08,985.08,944.21,957.8,957.8,718736
2025-02-04,967.41,999.36,966.41,996.97,996.97,554380
2025-02-05,996.97,1023.1,991.5,1019.67,1019.67,527956
2025-02-06,1023.25,1031.32,997.12,1025.49,1025.49,832490
2025-02-07,1025.34,1068.15,1010.96,1047.99,1047.99,1539257
2025-02-10,1056.8,1074.02,1033.01,1068.25,1068.25,939633
2025-02-11,1067.15,1067.2,970.84,982.04,982.04,1470657
2025-02-12,966.35,1014.32,950.41,986.82,986.82,1325082
2025-02-13,984.28,984.28,929.39,943.29,943.29,814792
2025-02-14,939.7,939.7,893.03,902.84,902.84,990856
2025-02-17,902.84,903.74,853.33,887.2,887.2,1441040
2025-02-18,896.31,905.58,855.42,862.14,862.14,1225598
2025-02-19,862.14,872.16,842.97,847.0,847.0,1044468
2025-02-20,846.75,878.53,825.13,866.08,866.08,1471392
2025-02-21,863.74,885.65,836.44,849.89,849.89,1140129
2025-02-24,849.89,858.26,832.26,846.0,846.0,677409
2025-02-25,846.0,859.75,837.29,849.89,849.89,492861
2025-02-27,849.89,851.73,813.23,826.18,826.18,906731
2025-02-28,823.89,831.56,804.01,822.79,822.79,850137
2025-03-03,822.79,830.36,797.24,825.48,825.48,1009434
2025-03-04,808.94,843.51,792.26,831.91,831.91,1786489
2025-03-05,831.91,852.53,824.88,850.29,850.29,519452
2025-03-06,852.28,875.0,852.28,867.67,867.67,373878
2025-03-07,867.72,881.17,858.36,867.37,867.37,489152
2025-03-10,863.79,873.7,845.95,852.53,852.53,709953
2025-03-11,841.82,859.7,837.89,852.18,852.18,663649
2025-03-12,852.18,862.64,841.82,857.46,857.46,335936
2025-03-13,857.51,913.55,852.53,899.45,899.45,1796555
2025-03-17,896.61,945.43,889.19,931.98,931.98,1729137
2025-03-18,931.98,931.98,931.98,931.98,931.98,0
2025-03-19,979.3,1013.07,972.23,1008.74,1008.74,820190
2025-03-20,1014.12,1032.1,962.91,974.62,974.62,942127
2025-03-21,966.35,981.04,951.41,970.43,970.43,828111
2025-03-24,974.22,989.96,941.49,948.17,948.17,1463755
2025-03-25,954.79,980.25,932.48,938.01,938.01,534611
2025-03-26,938.01,956.19,924.81,930.93,930.93,366203
2025-03-27,919.58,933.47,886.1,912.45,912.45,1512848
2025-03-28,912.45,929.34,849.44,872.21,872.21,1629549
2025-04-01,876.69,901.49,873.7,886.8,886.8,534777
2025-04-02,887.85,893.23,874.7,878.48,878.48,347807
2025-04-03,875.74,878.43,852.53,860.45,860.45,593897
2025-04-04,854.77,858.26,809.94,827.62,827.62,1182837
2025-04-07,782.05,808.89,764.71,799.83,799.83,1551419
2025-04-08,809.89,843.71,809.89,834.15,834.15,699453
2025-04-09,831.86,831.86,807.95,811.73,811.73,455016
2025-04-11,836.84,846.7,804.11,821.05,821.05,1333109
