date,open,high,low,close,adj_close,volume
2024-07-11,554.8,560.29,549.11,551.69,551.69,
2024-07-12,554.41,564.79,552.08,557.57,557.57,
2024-07-15,559.9,561.38,554.75,558.96,558.96,
2024-07-16,559.9,565.83,549.51,551.29,551.29,
2024-07-18,551.29,554.95,548.97,552.63,552.63,
2024-07-19,552.63,554.21,535.41,536.75,536.75,
2024-07-22,534.18,552.18,527.1,539.57,539.57,
2024-07-23,542.09,547.38,516.67,534.57,534.57,
2024-07-24,530.52,537.59,529.23,531.26,531.26,
2024-07-25,526.26,529.03,519.74,523.74,523.74,
2024-07-26,523.44,539.12,523.4,538.28,538.28,
2024-07-29,542.14,560.39,539.62,547.19,547.19,
2024-07-30,547.63,562.67,546.54,558.81,558.81,
2024-07-31,563.76,567.51,559.01,565.88,565.88,
2024-08-01,568.8,570.78,551.09,554.41,554.41,
2024-08-02,549.02,557.87,525.72,531.8,531.8,
2024-08-05,514.39,545.55,514.39,522.6,522.6,
2024-08-06,527.25,543.97,525.47,527.8,527.8,
2024-08-07,533.19,543.08,529.78,540.81,540.81,
2024-08-08,540.85,549.81,538.18,541.89,541.89,
2024-08-09,552.48,555.94,544.71,548.62,548.62,
2024-08-12,547.49,563.79,541.69,559.98,559.98,
2024-08-13,560.87,560.97,545.81,547.04,547.04,
2024-08-14,547.49,548.88,535.5,537.93,537.93,
2024-08-16,537.93,549.37,534.71,548.33,548.33,
2024-08-19,547.99,558.44,546.65,555.52,555.52,
2024-08-20,555.52,561.86,555.02,561.02,561.02,
2024-08-21,560.87,567.61,557.89,563.15,563.15,
2024-08-22,564.83,582.57,563.1,573.9,573.9,
2024-08-23,579.4,579.5,566.81,568.5,568.5,
2024-08-26,573.65,573.65,566.91,572.21,572.21,
2024-08-27,579.05,582.42,573.01,577.66,577.66,
2024-08-28,579.7,580.59,570.33,572.81,572.81,
2024-08-29,571.72,576.62,565.82,572.56,572.56,
2024-08-30,578.7,598.52,576.72,592.92,592.92,
2024-09-02,596.54,601.69,587.62,594.06,594.06,
2024-09-03,594.56,600.46,590.6,596.74,596.74,
2024-09-04,594.51,605.36,587.67,602.34,602.34,
2024-09-05,606.45,617.3,601.3,613.09,613.09,
2024-09-06,611.36,618.04,601.74,604.27,604.27,
2024-09-09,600.5,605.26,595.65,598.92,598.92,
2024-09-10,604.37,614.38,599.76,613.58,613.58,
2024-09-11,613.19,613.49,603.48,605.46,605.46,
2024-09-12,608.43,610.86,603.18,609.27,609.27,
2024-09-13,610.41,611.36,604.72,605.86,605.86,
2024-09-16,609.32,609.92,601.2,608.23,608.23,
2024-09-17,609.42,610.22,603.77,605.11,605.11,
2024-09-18,605.36,609.18,593.52,599.61,599.61,
2024-09-19,599.61,607.19,577.27,589.41,589.41,
2024-09-20,589.55,597.23,580.29,581.78,581.78,
2024-09-23,584.06,588.37,578.75,587.42,587.42,
2024-09-24,588.42,601.25,581.68,598.28,598.28,
2024-09-25,594.66,600.95,591.69,594.11,594.11,
2024-09-26,596.54,598.67,588.22,595.65,595.65,
2024-09-27,595.65,610.91,594.56,605.11,605.11,
2024-09-30,605.11,612.3,602.14,607.59,607.59,
2024-10-01,606.45,619.33,605.26,615.57,615.57,
2024-10-03,613.19,618.04,595.55,599.96,599.96,
2024-10-04,603.38,607.39,591.19,593.87,593.87,
2024-10-07,596.94,600.01,570.78,575.04,575.04,
2024-10-08,572.46,580.24,568.15,571.57,571.57,
2024-10-09,573.8,579.35,569.98,572.36,572.36,
2024-10-10,574.74,588.27,574.74,579.1,579.1,
2024-10-11,580.34,583.96,573.5,577.76,577.76,
2024-10-14,579.7,581.58,568.0,573.4,573.4,
2024-10-15,574.64,575.58,563.99,568.89,568.89,
2024-10-16,567.8,571.17,558.94,563.69,563.69,
2024-10-17,562.85,565.33,546.1,548.68,548.68,
2024-10-18,548.98,552.69,537.68,550.21,550.21,
2024-10-21,552.0,558.24,538.13,540.5,540.5,
