date,open,high,low,close,adj_close,volume
2024-07-11,636.24,639.22,630.28,633.24,633.24,3574145
2024-07-12,635.05,636.78,622.38,630.08,630.08,3614772
2024-07-15,628.29,649.36,625.11,647.31,647.31,4321137
2024-07-16,652.03,654.01,633.1,635.84,635.84,4350482
2024-07-18,636.24,639.42,630.71,632.52,632.52,4993527
2024-07-19,629.88,631.99,611.98,620.21,620.21,4749392
2024-07-22,620.33,624.91,617.55,621.35,621.35,3147147
2024-07-23,625.36,625.64,599.56,615.88,615.88,3619330
2024-07-24,615.88,644.25,609.02,641.01,641.01,6283777
2024-07-25,640.22,659.7,636.64,656.96,656.96,6304092
2024-07-26,662.52,673.22,657.14,666.72,666.72,7137772
2024-07-29,675.21,677.12,666.08,670.16,670.16,4701400
2024-07-30,674.06,675.93,623.02,627.25,627.25,31920582
2024-07-31,635.84,644.17,626.3,627.25,627.25,9797220
2024-08-01,632.68,633.46,621.55,626.6,626.6,4150442
2024-08-02,622.72,628.49,617.33,625.24,625.24,3152042
2024-08-05,612.18,616.16,596.47,598.36,598.36,5637807
2024-08-06,600.45,614.13,578.58,581.34,581.34,6017050
2024-08-07,596.08,610.39,588.92,604.37,604.37,5972500
2024-08-08,605.92,605.92,590.65,592.32,592.32,4552912
2024-08-09,600.98,607.92,597.0,600.4,600.4,2980895
2024-08-12,594.99,598.15,585.04,586.33,586.33,4781300
2024-08-13,586.63,596.98,579.11,592.8,592.8,4732935
2024-08-14,592.2,592.2,579.88,581.89,581.89,4143270
2024-08-16,568.34,579.07,562.15,565.87,565.87,11513025
2024-08-19,568.72,603.34,564.32,600.32,600.32,10188500
2024-08-20,602.83,602.83,587.46,593.63,593.63,4887227
2024-08-21,600.96,618.23,600.86,615.32,615.32,6801420
2024-08-22,622.84,640.54,618.21,634.47,634.47,9226335
2024-08-23,634.57,635.78,627.26,629.65,629.65,2628982
2024-08-26,626.82,630.17,612.9,627.22,627.22,3527255
2024-08-27,628.81,632.73,618.07,622.75,622.75,2223397
2024-08-28,622.71,628.0,606.71,608.12,608.12,4504235
2024-08-29,610.93,614.49,594.59,600.58,600.58,4918452
2024-08-30,607.64,611.6,596.6,597.33,597.33,5738305
2024-09-02,597.31,610.51,596.64,605.51,605.51,3946967
2024-09-03,612.9,614.49,595.78,596.92,596.92,4775225
2024-09-04,596.18,608.12,589.04,605.93,605.93,5223642
2024-09-05,604.14,610.07,597.59,599.14,599.14,5328972
2024-09-06,598.57,603.74,588.7,594.29,594.29,4540552
2024-09-09,596.98,608.66,592.76,607.26,607.26,3885172
2024-09-10,612.6,615.26,546.45,604.94,604.94,5859010
2024-09-11,602.95,632.52,597.41,624.5,624.5,10811830
2024-09-12,632.3,661.65,632.05,642.35,642.35,7254715
2024-09-13,646.72,664.63,641.75,643.39,643.39,7145096
2024-09-16,644.73,645.38,613.14,617.92,617.92,6982693
2024-09-17,617.92,649.66,613.59,646.38,646.38,8725231
2024-09-18,644.63,648.61,635.78,643.44,643.44,3641775
2024-09-19,637.77,658.12,628.62,648.86,648.86,6235971
2024-09-20,639.76,652.69,632.79,651.15,651.15,7292526
2024-09-23,651.15,654.19,645.28,650.8,650.8,2822389
2024-09-24,651.65,659.66,637.77,643.59,643.59,4960677
2024-09-25,646.72,646.72,626.33,630.11,630.11,3749146
2024-09-26,630.11,631.8,618.86,623.69,623.69,3307212
2024-09-27,619.86,622.75,602.95,605.48,605.48,6229241
2024-09-30,620.85,620.85,599.21,603.24,603.24,6713774
2024-10-01,604.94,614.89,602.45,609.16,609.16,5050652
2024-10-03,596.88,598.97,582.8,584.79,584.79,7488377
2024-10-04,591.95,596.98,567.62,575.98,575.98,11147666
2024-10-07,572.0,575.29,535.29,539.32,539.32,16517348
2024-10-08,537.58,591.95,534.14,587.03,587.03,19393475
2024-10-09,595.98,603.14,586.13,589.41,589.41,6884033
2024-10-10,595.93,598.87,575.09,585.68,585.68,5167165
2024-10-11,588.97,592.9,583.1,589.36,589.36,2001553
