date,open,high,low,close,adj_close,volume
2024-07-11,397.32,398.19,383.97,389.23,389.23,
2024-07-12,392.88,395.06,386.97,390.97,390.97,
2024-07-15,393.06,402.1,387.97,399.45,399.45,
2024-07-16,405.93,406.49,394.36,396.01,396.01,
2024-07-18,399.01,400.36,389.49,392.45,392.45,
2024-07-19,393.84,394.93,380.8,382.37,382.37,
2024-07-22,384.28,392.1,379.93,390.15,390.15,
2024-07-23,390.71,390.71,356.93,378.15,378.15,
2024-07-24,379.76,383.41,374.58,376.19,376.19,
2024-07-25,372.85,377.63,368.63,374.63,374.63,
2024-07-26,381.67,389.62,377.84,386.45,386.45,
2024-07-29,388.62,396.01,380.8,390.32,390.32,
2024-07-30,388.45,389.62,382.71,388.8,388.8,
2024-07-31,393.84,395.06,387.32,391.89,391.89,
2024-08-01,398.19,401.88,385.63,389.58,389.58,
2024-08-02,385.98,387.7,379.23,380.9,380.9,
2024-08-05,371.95,375.85,354.62,362.52,362.52,
2024-08-06,366.29,370.15,360.81,363.09,363.09,
2024-08-07,373.26,381.12,367.12,379.23,379.23,
2024-08-08,377.26,378.53,369.36,370.46,370.46,
2024-08-09,377.3,379.19,371.55,376.2,376.2,
2024-08-12,373.83,382.48,372.61,379.05,379.05,
2024-08-13,380.02,380.72,369.54,370.5,370.5,
2024-08-14,372.83,375.9,355.46,368.62,368.62,
2024-08-16,373.7,377.96,369.8,376.38,376.38,
2024-08-19,377.65,389.84,376.55,388.4,388.4,
2024-08-20,389.93,392.87,386.12,391.82,391.82,
2024-08-21,394.41,402.56,392.7,399.41,399.41,
2024-08-22,403.53,404.93,398.88,403.13,403.13,
2024-08-23,403.49,403.7,393.31,394.14,394.14,
2024-08-26,397.39,408.75,396.51,406.25,406.25,
2024-08-27,406.16,410.99,404.27,406.95,406.95,
2024-08-28,410.46,411.64,406.69,408.84,408.84,
2024-08-29,412.48,413.13,402.7,406.51,406.51,
2024-08-30,408.49,415.11,407.48,410.94,410.94,
2024-09-02,414.67,415.5,404.41,406.38,406.38,
2024-09-03,414.93,415.15,405.37,407.52,407.52,
2024-09-04,403.92,406.12,399.14,402.96,402.96,
2024-09-05,406.6,411.82,405.42,409.41,409.41,
2024-09-06,410.46,412.61,401.07,403.35,403.35,
2024-09-09,404.36,404.76,396.12,403.75,403.75,
2024-09-10,403.34,407.19,400.72,403.52,403.52,
2024-09-11,403.52,403.93,389.35,390.5,390.5,
2024-09-12,394.39,406.77,393.25,405.08,405.08,
2024-09-13,408.01,418.56,407.65,416.4,416.4,
2024-09-16,420.03,431.95,407.55,409.3,409.3,
2024-09-17,413.33,416.59,409.98,412.51,412.51,
2024-09-18,413.42,413.61,408.7,411.13,411.13,
2024-09-19,413.61,415.72,400.77,412.46,412.46,
2024-09-20,414.52,420.44,411.45,412.64,412.64,
2024-09-23,415.44,418.42,412.74,415.53,415.53,
2024-09-24,418.47,434.24,418.19,431.22,431.22,
2024-09-25,438.37,445.71,434.52,440.07,440.07,
2024-09-26,444.38,463.04,437.45,460.15,460.15,
2024-09-27,464.05,473.13,464.05,470.47,470.47,
2024-09-30,475.97,480.23,466.34,470.15,470.15,
2024-10-01,467.99,478.12,464.18,473.36,473.36,
2024-10-03,470.47,477.34,466.8,469.32,469.32,
2024-10-04,471.38,473.17,459.6,466.52,466.52,
2024-10-07,470.38,471.2,450.61,458.82,458.82,
2024-10-08,458.82,461.94,444.42,456.21,456.21,
2024-10-09,457.63,460.84,448.59,455.11,455.11,
2024-10-10,447.54,457.99,447.13,451.67,451.67,
2024-10-11,454.97,461.75,453.41,456.25,456.25,
2024-10-14,458.54,465.01,453.27,457.77,457.77,
2024-10-15,458.54,459.42,446.07,449.24,449.24,
2024-10-16,449.42,455.33,445.57,446.35,446.35,
2024-10-17,448.59,451.76,432.09,433.0,433.0,
2024-10-18,433.46,443.55,425.53,440.98,440.98,
2024-10-21,444.33,448.92,434.7,435.62,435.62,
2024-10-22,436.53,438.96,420.53,422.55,422.55,
2024-10-23,421.86,431.77,416.45,424.61,424.61,
2024-10-24,424.61,433.14,418.42,430.16,430.16,
2024-10-25,432.59,433.1,411.82,417.64,417.64,
2024-10-28,420.03,432.64,417.64,430.25,430.25,
2024-10-29,431.03,434.61,420.9,433.14,433.14,
2024-10-30,431.81,435.11,428.33,429.66,429.66,
2024-10-31,429.2,430.85,421.86,425.58,425.58,
2024-11-01,426.45,430.11,426.45,428.6,428.6,
2024-11-04,429.93,430.02,415.17,420.76,420.76,
2024-11-05,420.94,432.22,419.38,430.85,430.85,
2024-11-06,433.42,436.95,423.05,434.7,434.7,
2024-11-07,434.7,435.62,413.97,419.94,419.94,
2024-11-08,422.78,429.01,415.76,419.94,419.94,
2024-11-11,422.32,423.6,415.53,418.38,418.38,
2024-11-12,418.38,420.81,406.32,407.88,407.88,
2024-11-13,407.19,408.47,396.46,398.7,398.7,
2024-11-14,398.93,403.43,394.58,397.47,397.47,
2024-11-18,407.51,421.31,402.65,410.4,410.4,
2024-11-19,411.77,414.07,404.57,406.77,406.77,
2024-11-21,405.35,408.79,400.81,406.09,406.09,
2024-11-22,406.96,410.63,404.71,408.43,408.43,
2024-11-25,414.52,416.18,406.04,407.0,407.0,
2024-11-26,408.1,415.62,406.32,411.22,411.22,
2024-11-27,413.97,414.11,407.37,408.84,408.84,
2024-11-28,414.52,418.51,411.68,414.39,414.39,
2024-11-29,414.89,419.84,411.82,415.9,415.9,
2024-12-02,415.9,422.96,415.44,422.37,422.37,
2024-12-03,425.99,430.39,422.78,429.52,429.52,
2024-12-04,430.99,432.77,425.62,429.56,429.56,
2024-12-05,430.94,435.07,428.33,433.32,433.32,
2024-12-06,435.62,463.63,433.6,459.83,459.83,
2024-12-09,458.5,460.1,448.27,455.84,455.84,
2024-12-10,457.12,463.04,452.49,458.77,458.77,
2024-12-11,457.63,481.47,457.17,471.7,471.7,
2024-12-12,475.97,482.94,473.22,478.72,478.72,
2024-12-13,477.34,477.99,464.69,476.43,476.43,
2024-12-16,478.72,483.26,467.72,470.88,470.88,
2024-12-17,470.88,472.3,457.95,461.48,461.48,
2024-12-18,461.3,465.74,454.19,455.56,455.56,
2024-12-19,442.27,452.58,437.04,451.48,451.48,
2024-12-20,451.44,453.5,435.62,437.68,437.68,
2024-12-23,440.62,444.33,429.66,433.97,433.97,
2024-12-24,434.9,435.93,427.24,431.54,431.54,
2024-12-26,432.19,434.06,423.88,430.0,430.0,
2024-12-27,430.6,432.47,420.43,421.27,421.27,
2024-12-30,421.31,422.95,408.33,410.57,410.57,
2024-12-31,409.97,416.97,409.08,415.06,415.06,
2025-01-01,415.34,417.86,409.78,415.06,415.06,
2025-01-02,415.15,421.97,413.0,420.01,420.01,
2025-01-03,420.71,434.71,419.4,427.94,427.94,
2025-01-06,429.39,429.39,411.83,413.05,413.05,
2025-01-07,413.7,424.44,413.7,418.6,418.6,
2025-01-08,418.6,419.73,411.83,416.88,416.88,
2025-01-09,417.44,418.42,408.19,409.87,409.87,
2025-01-10,409.87,410.67,398.2,403.57,403.57,
2025-01-13,399.88,400.44,384.75,386.34,386.34,
2025-01-14,386.34,404.88,385.31,402.12,402.12,
2025-01-15,406.28,413.23,401.98,406.46,406.46,
2025-01-16,409.97,422.85,409.03,420.1,420.1,
2025-01-17,422.11,427.94,418.42,424.02,424.02,
2025-01-20,426.45,433.69,421.69,430.46,430.46,
2025-01-21,434.25,436.86,423.04,423.88,423.88,
2025-01-22,425.33,425.7,409.87,421.64,421.64,
2025-01-23,421.17,422.34,413.23,416.97,416.97,
2025-01-24,416.5,423.51,411.32,412.77,412.77,
2025-01-27,410.43,410.67,393.72,395.86,395.86,
2025-01-28,396.85,404.22,387.09,397.22,397.22,
2025-01-29,400.16,403.76,396.24,402.12,402.12,
2025-01-30,403.43,408.66,399.69,403.85,403.85,
2025-01-31,406.09,414.45,398.67,412.21,412.21,
2025-02-01,415.52,417.11,402.92,410.81,410.81,
2025-02-03,407.16,407.16,382.88,393.81,393.81,
2025-02-04,400.35,413.7,400.35,408.75,408.75,
2025-02-05,409.92,418.23,408.75,415.06,415.06,
2025-02-06,415.66,420.47,413.05,414.4,414.4,
2025-02-07,414.4,426.68,412.49,425.66,425.66,
2025-02-10,423.97,423.97,404.92,406.98,406.98,
2025-02-11,394.88,406.74,392.5,393.58,393.58,
2025-02-12,393.58,398.48,384.99,394.0,394.0,
2025-02-13,396.89,403.24,393.2,396.47,396.47,
2025-02-14,401.37,403.43,381.44,386.01,386.01,
2025-02-17,386.01,388.39,374.85,387.69,387.69,
2025-02-18,391.2,392.22,378.21,390.54,390.54,
2025-02-19,388.58,399.13,386.62,395.49,395.49,
2025-02-20,394.93,406.7,394.14,404.83,404.83,
2025-02-21,406.46,413.0,403.99,409.22,409.22,
2025-02-24,406.23,406.88,391.34,394.88,394.88,
2025-02-25,394.93,395.68,379.48,382.18,382.18,
2025-02-27,381.95,385.22,374.15,377.79,377.79,
2025-02-28,373.55,374.39,366.4,368.64,368.64,
2025-03-03,373.5,384.05,363.46,382.09,382.09,
2025-03-04,374.62,382.23,368.69,379.85,379.85,
2025-03-05,374.39,401.94,374.39,400.58,400.58,
2025-03-06,405.3,417.3,402.73,413.66,413.66,
2025-03-07,413.56,420.33,412.39,415.99,415.99,
2025-03-10,415.99,421.92,407.3,408.47,408.47,
2025-03-11,400.16,413.89,397.83,412.35,412.35,
2025-03-12,415.48,418.7,408.94,415.52,415.52,
2025-03-13,418.28,420.24,412.77,413.66,413.66,
2025-03-17,414.64,421.22,413.84,417.39,417.39,
2025-03-19,433.97,434.57,428.92,430.09,430.09,
2025-03-20,434.25,443.77,429.76,439.62,439.62,
2025-03-21,440.22,441.86,431.45,436.39,436.39,
2025-03-24,437.98,444.57,434.85,441.02,441.02,
2025-03-25,442.6,442.6,429.67,431.26,431.26,
2025-03-26,433.69,442.09,432.47,433.45,433.45,
2025-03-27,433.03,443.35,431.17,441.11,441.11,
2025-03-28,441.62,443.96,431.45,432.75,432.75,
2025-04-01,427.71,434.9,424.53,427.15,427.15,
2025-04-02,423.97,429.06,420.01,427.38,427.38,
2025-04-03,427.24,427.38,409.13,410.43,410.43,
2025-04-04,407.82,408.05,371.68,374.9,374.9,
2025-04-07,345.48,355.99,338.99,349.31,349.31,
2025-04-08,361.83,364.95,343.8,351.23,351.23,
2025-04-09,351.13,352.49,344.22,346.04,346.04,
2025-04-11,359.54,363.09,353.05,355.01,355.01,
2025-04-15,364.16,371.4,358.65,369.62,369.62,
2025-04-16,371.68,375.41,365.23,372.33,372.33,
2025-04-17,371.91,377.05,367.15,373.59,373.59,
2025-04-21,377.28,385.59,373.59,384.71,384.71,
2025-04-22,386.62,390.64,385.03,385.73,385.73,
2025-04-23,388.49,391.94,383.44,390.54,390.54,
2025-04-24,390.54,402.5,388.95,392.46,392.46,
2025-04-25,394.88,397.64,382.42,385.97,385.97,
2025-04-28,386.62,390.03,381.9,388.58,388.58,
2025-04-29,390.36,393.53,386.99,388.77,388.77,
2025-04-30,390.64,395.26,386.29,391.48,391.48,
2025-05-02,393.16,394.93,385.69,387.27,387.27,
2025-05-05,388.16,392.64,387.55,391.76,391.76,
2025-05-06,392.22,396.52,382.23,383.77,383.77,
2025-05-07,376.11,390.36,375.41,388.49,388.49,
2025-05-08,387.55,390.26,378.26,380.18,380.18,
2025-05-09,374.48,381.72,372.24,380.92,380.92,
2025-05-12,392.18,409.27,390.22,407.21,407.21,
2025-05-13,407.16,411.18,403.94,406.6,406.6,
2025-05-14,409.5,417.53,406.88,413.42,413.42,
2025-05-15,415.29,418.74,411.23,414.45,414.45,
2025-05-16,414.45,415.29,410.62,412.02,412.02,
2025-05-19,412.77,417.34,411.51,412.81,412.81,
2025-05-20,417.9,419.87,405.3,406.56,406.56,
2025-05-21,407.44,410.11,403.15,408.8,408.8,
2025-05-22,409.97,410.43,402.96,406.32,406.32,
2025-05-23,406.6,413.33,404.5,410.95,410.95,
2025-05-26,414.68,417.81,413.0,416.08,416.08,
2025-05-27,416.5,422.43,414.54,418.37,418.37,
2025-05-28,419.02,419.73,414.64,417.3,417.3,
2025-05-29,420.24,427.24,415.57,421.78,421.78,
2025-05-30,422.95,423.04,406.23,406.74,406.74,
2025-06-02,405.11,406.18,397.73,403.8,403.8,
2025-06-03,407.16,411.18,402.96,405.3,405.3,
2025-06-04,405.3,409.36,401.94,407.96,407.96,
2025-06-05,409.03,413.09,404.83,410.11,410.11,
2025-06-06,411.65,419.77,409.59,418.42,418.42,
2025-06-09,422.57,430.88,421.27,427.62,427.62,
2025-06-10,429.48,436.77,428.74,431.02,431.02,
2025-06-11,433.78,441.81,431.59,438.26,438.26,
2025-06-12,439.38,440.64,427.71,430.04,430.04,
2025-06-13,420.61,432.99,417.06,427.8,427.8,
2025-06-16,433.31,436.11,426.5,433.22,433.22,
2025-06-17,433.31,435.04,427.52,428.6,428.6,
2025-06-18,433.31,436.81,423.37,426.31,426.31,
2025-06-19,426.31,427.1,407.91,410.43,410.43,
2025-06-20,409.45,419.77,408.75,417.53,417.53,
2025-06-23,414.64,421.59,412.81,420.1,420.1,
