date,open,high,low,close,adj_close
2024-07-01,1459.44,1475.95,1427.52,1431.73,1431.73
2024-07-02,1433.42,1443.38,1404.23,1437.48,1437.48
2024-07-03,1447.05,1460.68,1434.06,1439.27,1439.27
2024-07-04,1443.33,1444.32,1424.99,1432.18,1432.18
2024-07-05,1427.52,1446.31,1427.52,1440.16,1440.16
2024-07-08,1440.16,1466.18,1426.58,1447.0,1447.0
2024-07-09,1454.29,1468.76,1443.38,1456.22,1456.22
2024-07-10,1462.22,1477.98,1436.0,1472.18,1472.18
2024-07-11,1472.18,1503.85,1468.36,1499.69,1499.69
2024-07-12,1508.81,1515.25,1490.12,1506.83,1506.83
2024-07-15,1506.93,1521.8,1501.92,1517.68,1517.68
2024-07-16,1515.95,1526.46,1501.72,1508.51,1508.51
2024-07-18,1508.46,1511.79,1473.67,1480.31,1480.31
2024-07-19,1479.52,1496.92,1457.31,1464.75,1464.75
2024-07-22,1457.26,1493.64,1408.84,1470.35,1470.35
2024-07-23,1473.67,1482.94,1421.47,1470.64,1470.64
2024-07-24,1470.64,1505.74,1458.35,1486.26,1486.26
2024-07-25,1477.09,1482.0,1438.43,1448.93,1448.93
2024-07-26,1452.21,1485.76,1448.93,1477.44,1477.44
2024-07-29,1487.0,1520.11,1479.77,1503.06,1503.06
2024-07-30,1503.06,1546.33,1503.06,1526.31,1526.31
2024-07-31,1528.64,1538.8,1519.81,1524.28,1524.28
2024-08-01,1526.66,1535.87,1506.78,1523.33,1523.33
2024-08-02,1506.83,1517.98,1469.11,1477.83,1477.83
2024-08-05,1462.22,1467.13,1420.53,1439.27,1439.27
2024-08-06,1443.28,1487.0,1442.59,1450.62,1450.62
2024-08-07,1469.16,1473.07,1452.9,1457.06,1457.06
2024-08-08,1457.26,1499.34,1409.53,1423.56,1423.56
2024-08-09,1431.49,1431.49,1406.26,1416.47,1416.47
2024-08-12,1487.0,1584.15,1450.47,1568.84,1568.84
2024-08-13,1568.84,1585.04,1555.21,1559.72,1559.72
2024-08-14,1566.31,1566.66,1533.05,1536.87,1536.87
2024-08-16,1556.4,1578.2,1513.67,1521.85,1521.85
2024-08-19,1539.49,1597.73,1534.64,1593.77,1593.77
2024-08-20,1607.5,1657.46,1578.2,1644.77,1644.77
2024-08-21,1640.66,1668.22,1636.4,1661.43,1661.43
2024-08-22,1661.48,1674.12,1651.61,1669.21,1669.21
2024-08-23,1665.44,1684.28,1655.63,1675.9,1675.9
2024-08-26,1675.45,1710.05,1669.66,1706.14,1706.14
2024-08-27,1703.36,1736.17,1700.68,1728.14,1728.14
2024-08-28,1729.88,1764.03,1708.22,1756.4,1756.4
2024-08-29,1756.4,1802.4,1736.87,1772.9,1772.9
2024-08-30,1770.03,1770.03,1718.83,1728.54,1728.54
2024-09-02,1739.59,1805.27,1735.38,1754.32,1754.32
2024-09-03,1761.6,1812.9,1758.68,1795.26,1795.26
2024-09-04,1774.49,1792.28,1761.4,1764.82,1764.82
2024-09-05,1773.5,1779.45,1763.19,1767.7,1767.7
2024-09-06,1767.7,1775.28,1739.69,1763.24,1763.24
2024-09-09,1770.52,1809.33,1754.66,1802.2,1802.2
2024-09-10,1814.14,1821.97,1789.41,1814.24,1814.24
2024-09-11,1806.31,1830.0,1801.35,1812.85,1812.85
2024-09-12,1828.02,1840.76,1819.84,1836.89,1836.89
2024-09-13,1848.34,1918.23,1840.02,1904.9,1904.9
2024-09-16,1913.28,1913.28,1890.97,1899.4,1899.4
2024-09-17,1903.31,1908.22,1879.62,1887.55,1887.55
2024-09-18,1891.47,1891.47,1866.78,1873.03,1873.03
2024-09-19,1882.54,1918.23,1866.63,1912.48,1912.48
2024-09-20,1922.05,1928.05,1876.45,1911.69,1911.69
2024-09-23,1914.22,1915.26,1862.42,1866.14,1866.14
2024-09-24,1878.58,1901.58,1869.26,1897.81,1897.81
2024-09-25,1900.34,1905.0,1881.11,1894.29,1894.29
2024-09-26,1893.55,1894.29,1824.35,1841.45,1841.45
2024-09-27,1850.67,1861.73,1825.89,1850.52,1850.52
2024-09-30,1845.87,1866.24,1820.09,1829.11,1829.11
2024-10-01,1829.01,1848.49,1824.06,1838.48,1838.48
2024-10-03,1818.11,1845.07,1807.45,1829.66,1829.66
2024-10-04,1829.11,1847.5,1781.68,1793.92,1793.92
2024-10-07,1793.32,1802.74,1737.76,1741.97,1741.97
2024-10-08,1734.84,1790.85,1734.84,1785.29,1785.29
2024-10-09,1794.27,1798.88,1765.42,1771.02,1771.02
2024-10-10,1779.89,1796.84,1749.66,1761.3,1761.3
2024-10-11,1769.93,1782.02,1741.82,1773.94,1773.94
2024-10-14,1780.44,1824.06,1750.85,1778.95,1778.95
2024-10-15,1783.46,1801.06,1768.99,1795.41,1795.41
2024-10-16,1824.25,1885.52,1811.07,1865.0,1865.0
2024-10-17,1872.53,1872.63,1812.16,1818.7,1818.7
2024-10-18,1814.14,1853.8,1794.32,1849.14,1849.14
2024-10-21,1858.41,1861.68,1785.84,1798.23,1798.23
2024-10-22,1804.23,1824.55,1774.09,1779.1,1779.1
2024-10-23,1778.26,1809.19,1756.69,1780.09,1780.09
2024-10-24,1784.4,1809.93,1755.7,1779.54,1779.54
2024-10-25,1787.38,1787.38,1723.78,1739.64,1739.64
2024-10-28,1736.82,1762.94,1713.57,1746.98,1746.98
2024-10-29,1751.69,1760.11,1708.07,1755.26,1755.26
2024-10-30,1764.58,1767.5,1635.6,1683.19,1683.19
2024-10-31,1690.13,1690.13,1603.68,1635.21,1635.21
2024-11-01,1648.59,1652.95,1620.93,1628.61,1628.61
2024-11-04,1623.91,1660.98,1604.23,1650.62,1650.62
2024-11-05,1646.16,1689.28,1627.52,1680.01,1680.01
2024-11-06,1681.85,1734.29,1674.41,1722.79,1722.79
2024-11-07,1723.93,1765.27,1718.97,1751.64,1751.64
2024-11-08,1759.62,1777.41,1735.88,1750.7,1750.7
2024-11-11,1753.47,1770.52,1723.04,1738.9,1738.9
2024-11-12,1744.75,1768.44,1675.36,1684.87,1684.87
2024-11-13,1685.27,1690.23,1657.36,1670.8,1670.8
2024-11-14,1682.74,1720.76,1670.4,1693.79,1693.79
2024-11-18,1705.1,1728.89,1675.06,1681.25,1681.25
2024-11-19,1694.19,1717.34,1657.61,1672.13,1672.13
2024-11-21,1682.29,1692.46,1645.86,1660.98,1660.98
2024-11-22,1660.98,1666.33,1633.42,1639.07,1639.07
2024-11-25,1683.29,1700.44,1608.04,1630.0,1630.0
2024-11-26,1655.53,1670.45,1628.17,1659.59,1659.59
2024-11-27,1655.53,1660.49,1627.97,1648.69,1648.69
2024-11-28,1648.69,1663.36,1622.91,1632.98,1632.98
2024-11-29,1630.84,1652.46,1625.99,1643.88,1643.88
2024-12-02,1652.55,1710.05,1641.65,1706.19,1706.19
2024-12-03,1706.43,1710.7,1665.44,1673.52,1673.52
2024-12-04,1675.36,1689.73,1662.02,1673.67,1673.67
2024-12-05,1675.36,1677.69,1641.85,1653.45,1653.45
2024-12-06,1655.43,1702.96,1648.59,1696.07,1696.07
2024-12-09,1699.25,1751.69,1698.6,1749.06,1749.06
2024-12-10,1745.79,1760.61,1739.3,1751.24,1751.24
2024-12-11,1744.75,1789.95,1739.79,1781.63,1781.63
2024-12-12,1781.13,1791.64,1764.58,1772.16,1772.16
2024-12-13,1769.23,1798.13,1740.78,1791.84,1791.84
2024-12-16,1804.23,1817.07,1786.43,1792.43,1792.43
2024-12-17,1794.22,1795.31,1747.82,1754.32,1754.32
2024-12-18,1746.09,1765.37,1722.34,1741.77,1741.77
2024-12-19,1731.86,1743.46,1715.65,1723.19,1723.19
2024-12-20,1724.48,1739.79,1664.65,1671.89,1671.89
2024-12-23,1672.48,1694.19,1669.56,1680.86,1680.86
2024-12-24,1685.27,1688.09,1654.09,1660.49,1660.49
2024-12-26,1662.22,1701.87,1645.96,1696.47,1696.47
2024-12-27,1696.52,1707.23,1686.41,1690.52,1690.52
2024-12-30,1675.41,1784.4,1660.49,1755.65,1755.65
2024-12-31,1721.75,1793.13,1716.55,1774.44,1774.44
2025-01-01,1774.49,1817.07,1747.33,1811.12,1811.12
2025-01-02,1815.93,1835.41,1799.47,1819.89,1819.89
2025-01-03,1814.14,1843.29,1797.34,1808.89,1808.89
2025-01-06,1810.18,1817.22,1752.43,1760.61,1760.61
2025-01-07,1756.64,1789.36,1749.36,1764.28,1764.28
2025-01-08,1758.73,1764.08,1692.51,1749.16,1749.16
2025-01-09,1739.89,1746.48,1706.43,1712.93,1712.93
2025-01-10,1705.19,1716.35,1640.66,1649.09,1649.09
2025-01-13,1630.75,1639.67,1563.48,1578.11,1578.11
2025-01-14,1571.46,1637.64,1571.46,1623.46,1623.46
2025-01-15,1620.83,1632.48,1590.55,1611.07,1611.07
2025-01-16,1619.1,1684.28,1560.01,1573.84,1573.84
2025-01-17,1566.61,1601.6,1564.92,1583.11,1583.11
2025-01-20,1586.14,1586.14,1517.49,1532.95,1532.95
