date,open,high,low,close,adj_close,volume
2024-07-11,251.55,252.89,248.41,250.33,250.33,
2024-07-12,255.44,264.72,253.82,262.54,262.54,
2024-07-15,265.71,265.71,260.67,262.33,262.33,
2024-07-16,263.34,263.69,260.78,262.33,262.33,
2024-07-18,260.86,269.22,260.76,268.66,268.66,
2024-07-19,271.8,271.8,259.99,261.16,261.16,
2024-07-22,244.19,246.89,235.08,237.07,237.07,
2024-07-23,238.1,238.1,227.95,234.61,234.61,
2024-07-24,235.52,237.33,234.28,234.4,234.4,
2024-07-25,232.48,237.87,231.21,237.56,237.56,
2024-07-26,239.04,247.73,238.33,245.97,245.97,
2024-07-29,247.47,248.67,245.06,245.79,245.79,
2024-07-30,245.79,246.98,243.61,244.43,244.43,
2024-07-31,244.57,246.02,243.47,244.66,244.66,
2024-08-01,245.13,246.91,242.55,244.45,244.45,
2024-08-02,241.38,243.37,234.82,235.36,235.36,
2024-08-05,229.66,232.41,225.09,227.32,227.32,
2024-08-06,229.55,234.05,228.07,229.43,229.43,
2024-08-07,233.74,234.4,230.91,233.13,233.13,
2024-08-08,231.54,231.54,227.95,228.4,228.4,
2024-08-09,232.17,232.69,229.5,230.27,230.27,
2024-08-12,230.39,231.54,228.44,229.22,229.22,
2024-08-13,229.22,230.93,228.33,229.9,229.9,
2024-08-14,231.07,232.87,229.87,232.08,232.08,
2024-08-16,234.82,242.53,233.39,241.97,241.97,
2024-08-19,241.85,245.22,240.77,243.61,243.61,
2024-08-20,243.68,247.29,243.56,245.9,245.9,
2024-08-21,245.32,247.52,244.22,246.7,246.7,
2024-08-22,247.38,248.67,242.81,243.26,243.26,
2024-08-23,243.68,244.4,239.67,240.16,240.16,
2024-08-26,241.85,245.97,241.83,243.72,243.72,
2024-08-27,243.72,245.25,241.85,242.39,242.39,
2024-08-28,243.72,252.21,242.72,250.57,250.57,
2024-08-29,250.75,254.01,250.31,252.49,252.49,
2024-08-30,253.89,254.04,251.08,252.35,252.35,
2024-09-02,252.35,254.04,249.28,249.56,249.56,
2024-09-03,249.82,253.5,248.18,251.25,251.25,
2024-09-04,247.47,247.59,242.2,243.33,243.33,
2024-09-05,244.29,246.54,243.49,246.0,246.0,
2024-09-06,246.0,248.36,243.0,244.01,244.01,
2024-09-09,242.36,244.54,240.65,241.31,241.31,
2024-09-10,242.22,247.47,240.91,246.42,246.42,
2024-09-11,246.07,246.65,240.56,241.08,241.08,
2024-09-12,243.94,249.35,242.67,248.43,248.43,
2024-09-13,250.19,258.96,248.81,258.07,258.07,
2024-09-16,259.19,261.0,257.32,258.68,258.68,
2024-09-17,257.32,260.08,256.4,258.68,258.68,
2024-09-18,257.34,257.34,249.65,252.23,252.23,
2024-09-19,255.07,258.46,248.01,249.98,249.98,
2024-09-20,252.11,253.45,248.88,252.68,252.68,
2024-09-23,252.68,253.29,249.35,250.71,250.71,
2024-09-24,249.44,253.99,248.11,252.89,252.89,
2024-09-25,252.54,252.82,248.76,251.32,251.32,
2024-09-26,252.49,254.55,251.08,253.99,253.99,
2024-09-27,257.27,261.96,253.43,253.94,253.94,
2024-09-30,252.16,255.21,250.29,253.78,253.78,
2024-10-01,253.19,257.6,253.19,256.26,256.26,
2024-10-03,253.15,254.22,246.65,248.48,248.48,
2024-10-04,247.5,254.01,247.5,250.08,250.08,
2024-10-07,252.16,253.89,246.51,249.09,249.09,
2024-10-08,249.14,250.19,243.86,246.98,246.98,
2024-10-09,248.32,252.49,247.71,248.95,248.95,
2024-10-10,250.75,251.97,245.34,246.07,246.07,
2024-10-11,243.89,250.47,243.89,247.61,247.61,
2024-10-14,252.49,258.65,251.36,257.57,257.57,
2024-10-15,259.12,259.12,248.81,249.79,249.79,
2024-10-16,249.82,252.54,247.94,249.42,249.42,
2024-10-17,250.73,252.16,246.09,247.83,247.83,
2024-10-18,249.35,261.72,245.97,257.15,257.15,
2024-10-21,258.54,263.36,256.38,256.89,256.89,
2024-10-22,257.69,260.36,254.9,255.65,255.65,
2024-10-23,256.61,259.89,254.13,256.47,256.47,
