date,open,high,low,close,adj_close,volume
2024-07-11,1186.42,1186.42,1139.28,1147.31,1147.31,1817742
2024-07-12,1154.86,1167.63,1147.36,1158.95,1158.95,2206263
2024-07-15,1157.82,1182.42,1155.55,1171.62,1171.62,1258197
2024-07-16,1176.5,1181.19,1161.37,1168.47,1168.47,890254
2024-07-18,1169.65,1174.14,1144.11,1169.31,1169.31,914361
2024-07-19,1148.94,1153.87,1121.47,1128.67,1128.67,1927523
2024-07-22,1119.35,1149.48,1107.72,1138.63,1138.63,1766804
2024-07-23,1140.06,1143.02,1108.8,1133.01,1133.01,997963
2024-07-24,1140.11,1167.04,1131.34,1163.19,1163.19,1043324
2024-07-25,1159.74,1193.32,1151.45,1189.18,1189.18,980665
2024-07-26,1198.27,1201.24,1183.25,1192.39,1192.39,1347634
2024-07-29,1213.1,1237.52,1196.79,1221.9,1221.9,2135683
2024-07-30,1221.9,1230.85,1201.24,1205.59,1205.59,1150511
2024-07-31,1211.13,1236.54,1211.13,1233.07,1233.07,1316598
2024-08-01,1245.78,1250.67,1221.56,1227.34,1227.34,1298036
2024-08-02,1219.48,1245.48,1213.8,1235.74,1235.74,1110657
2024-08-05,1196.35,1232.88,1196.35,1213.65,1213.65,1115164
2024-08-06,1222.99,1242.76,1207.72,1213.8,1213.8,1224820
2024-08-07,1233.27,1263.72,1225.96,1258.43,1258.43,2579230
2024-08-08,1266.49,1284.98,1255.67,1264.91,1264.91,2579443
2024-08-09,1279.25,1309.3,1268.52,1286.17,1286.17,4055249
2024-08-12,1283.3,1283.3,1206.28,1236.24,1236.24,2589989
2024-08-13,1243.75,1243.75,1155.76,1162.14,1162.14,5828811
2024-08-14,1174.35,1175.93,1144.09,1157.24,1157.24,3229996
2024-08-16,1169.6,1181.37,1154.92,1174.1,1174.1,2682837
2024-08-19,1184.38,1184.38,1164.71,1171.53,1171.53,1961205
2024-08-20,1180.28,1182.26,1157.74,1179.14,1179.14,1876826
2024-08-21,1179.49,1202.67,1174.35,1192.0,1192.0,2296195
2024-08-22,1204.21,1206.18,1189.38,1196.35,1196.35,1642199
2024-08-23,1201.14,1201.14,1160.7,1165.35,1165.35,2153807
2024-08-26,1117.2,1125.75,1092.58,1095.9,1095.9,7308194
2024-08-27,1122.15,1123.58,1096.64,1101.63,1101.63,3437214
2024-08-28,1138.95,1142.91,1113.25,1125.41,1125.41,5148274
2024-08-29,1125.41,1131.64,1106.43,1119.23,1119.23,2424171
2024-08-30,1126.99,1146.22,1101.04,1115.13,1115.13,32836286
2024-09-02,1114.24,1127.04,1095.5,1098.96,1098.96,2818251
2024-09-03,1102.97,1110.87,1098.91,1101.38,1101.38,1648183
2024-09-04,1099.6,1120.51,1094.46,1115.13,1115.13,2387605
2024-09-05,1115.18,1120.91,1101.14,1102.52,1102.52,1291074
2024-09-06,1106.18,1107.32,1084.77,1087.54,1087.54,1307399
2024-09-09,1087.54,1097.43,1076.62,1091.64,1091.64,1018082
2024-09-10,1096.44,1108.16,1095.45,1100.59,1100.59,1010547
2024-09-11,1106.62,1116.11,1096.54,1100.0,1100.0,1161528
2024-09-12,1110.28,1122.24,1102.92,1107.41,1107.41,1349529
2024-09-13,1112.85,1112.85,1098.86,1105.88,1105.88,1326747
2024-09-16,1120.17,1120.17,1101.63,1103.21,1103.21,897160
2024-09-17,1106.92,1112.26,1095.45,1098.37,1098.37,686827
2024-09-18,1099.31,1099.31,1054.42,1067.72,1067.72,1723558
2024-09-19,1082.6,1082.6,1030.3,1042.51,1042.51,2737320
2024-09-20,1042.16,1055.66,1034.99,1042.66,1042.66,2271977
2024-09-23,1050.76,1051.16,1035.78,1043.3,1043.3,858221
2024-09-24,1045.72,1051.75,1037.27,1039.64,1039.64,1453214
2024-09-25,1044.78,1053.63,1026.79,1051.41,1051.41,1540510
2024-09-26,1053.93,1057.83,1044.14,1055.9,1055.9,1861553
2024-09-27,1044.04,1066.29,1030.84,1063.76,1063.76,2797238
2024-09-30,1068.66,1076.52,1046.46,1056.45,1056.45,2129069
2024-10-01,1058.92,1070.34,1050.02,1068.11,1068.11,1173725
2024-10-03,1074.94,1074.94,1043.3,1056.94,1056.94,1966311
2024-10-04,1056.94,1064.8,1038.21,1045.37,1045.37,1503329
2024-10-07,1048.84,1053.38,1033.36,1038.75,1038.75,668721
2024-10-08,1030.3,1047.01,1024.86,1042.71,1042.71,1179960
2024-10-09,1042.95,1059.41,1040.09,1053.28,1053.28,1647954
2024-10-10,1059.32,1059.32,1036.03,1045.03,1045.03,968218
2024-10-11,1050.57,1058.38,1039.69,1052.35,1052.35,570962
2024-10-14,1053.23,1057.88,1043.4,1050.32,1050.32,703535
2024-10-15,1053.33,1059.61,1042.41,1046.17,1046.17,645409
2024-10-16,1018.33,1039.39,997.08,1008.55,1008.55,3802444
2024-10-17,1008.55,1015.27,999.65,1009.29,1009.29,1036269
2024-10-18,1015.91,1023.28,1002.42,1010.87,1010.87,1368450
2024-10-21,1010.87,1017.59,990.65,994.31,994.31,1015164
2024-10-22,1000.54,1001.58,972.81,977.01,977.01,1334114
2024-10-23,977.01,1004.69,973.94,989.66,989.66,1315625
2024-10-24,993.62,998.71,985.66,994.31,994.31,634232
2024-10-25,994.31,1000.49,974.93,979.38,979.38,531860
2024-10-28,979.38,1005.04,965.93,994.9,994.9,753928
2024-10-29,1005.28,1005.28,977.26,990.85,990.85,911619
2024-10-30,991.64,998.46,971.42,974.19,974.19,1299530
2024-10-31,973.84,993.07,973.84,989.91,989.91,732810
2024-11-01,997.82,1002.42,987.14,992.63,992.63,108283
2024-11-04,996.58,1000.19,983.39,993.07,993.07,1190497
2024-11-05,987.74,993.96,958.67,977.26,977.26,1897494
2024-11-06,977.26,991.74,974.73,983.83,983.83,1167347
2024-11-07,989.51,989.61,958.27,962.23,962.23,1367216
2024-11-08,962.97,969.79,954.07,959.36,959.36,477176
2024-11-11,959.01,964.75,951.4,956.79,956.79,874885
2024-11-12,959.01,978.79,922.43,938.99,938.99,3008146
2024-11-13,947.5,957.98,936.13,952.83,952.83,2093578
2024-11-14,946.36,965.74,942.7,946.56,946.56,840848
2024-11-18,953.13,955.06,928.02,934.0,934.0,1050199
2024-11-19,934.3,944.33,930.79,936.87,936.87,605361
2024-11-21,939.24,939.24,923.03,933.36,933.36,622867
2024-11-22,931.53,941.22,928.96,938.3,938.3,295547
2024-11-25,944.33,958.07,935.48,953.43,953.43,2656504
2024-11-26,954.02,958.92,940.08,942.21,942.21,428465
2024-11-27,944.18,949.08,938.65,940.18,940.18,495683
2024-11-28,939.24,944.13,934.3,937.96,937.96,498416
2024-11-29,940.08,961.73,938.6,955.01,955.01,1151163
2024-12-02,955.01,965.44,951.55,963.51,963.51,1305207
2024-12-03,965.89,976.27,962.28,970.98,970.98,1290594
2024-12-04,971.82,974.78,956.34,959.36,959.36,1385360
2024-12-05,967.02,968.9,950.66,966.92,966.92,697437
2024-12-06,974.83,985.36,960.99,983.83,983.83,749783
2024-12-09,983.83,988.67,969.89,971.32,971.32,1191543
2024-12-10,972.81,975.03,960.0,963.17,963.17,664912
2024-12-11,966.87,982.25,963.96,975.28,975.28,591808
2024-12-12,978.79,979.78,961.14,965.44,965.44,863825
2024-12-13,969.89,970.33,944.23,967.42,967.42,650878
2024-12-16,970.38,979.78,964.5,976.56,976.56,459731
2024-12-17,978.24,979.88,955.95,958.92,958.92,769906
2024-12-18,958.92,972.86,957.33,968.46,968.46,806464
2024-12-19,957.09,977.8,954.07,974.44,974.44,1389401
2024-12-20,978.89,979.73,959.31,962.47,962.47,910631
2024-12-23,967.67,970.88,951.2,962.33,962.33,758127
2024-12-24,962.33,966.82,950.36,953.87,953.87,841381
2024-12-26,954.17,958.17,942.31,946.8,946.8,1348311
2024-12-27,947.15,974.34,947.15,961.39,961.39,1074014
2024-12-30,962.18,968.51,941.71,946.11,946.11,4345745
2024-12-31,949.23,965.69,949.23,960.69,960.69,960218
2025-01-01,960.0,968.9,954.37,962.77,962.77,436960
2025-01-02,967.32,981.11,955.9,979.53,979.53,1012522
2025-01-03,980.77,986.1,960.69,964.75,964.75,849340
2025-01-06,963.71,964.75,944.09,950.56,950.56,845309
2025-01-07,959.01,1002.52,958.92,989.51,989.51,3691121
2025-01-08,997.52,1001.43,961.49,970.33,970.33,1389234
2025-01-09,993.62,1016.31,982.0,999.06,999.06,4533779
2025-01-10,997.62,1007.56,989.22,993.02,993.02,2314182
